No,Model_Type,Batch_Size,Max_Sequence_Length,Learning_Rate,Dropout,F1_Train,F1_Validation,Training_Time
1,mlp,16,77,2.00E-05,0.2,0.977,0.908,3.03
2,mlp,16,77,2.00E-05,0.3,0.939,0.893,1.82
3,mlp,16,77,3.00E-05,0.2,0.981,0.904,2.07
4,mlp,16,77,3.00E-05,0.3,0.958,0.9,1.97
5,mlp,16,128,2.00E-05,0.2,0.969,0.897,2.23
6,mlp,16,128,2.00E-05,0.3,0.922,0.883,2.28
7,mlp,16,128,3.00E-05,0.2,0.976,0.904,2.04
8,mlp,16,128,3.00E-05,0.3,0.948,0.89,2.03
9,mlp,32,77,2.00E-05,0.2,0.947,0.904,1.69
10,mlp,32,77,2.00E-05,0.3,0.912,0.879,1.7
11,mlp,32,77,3.00E-05,0.2,0.974,0.897,2.79
12,mlp,32,77,3.00E-05,0.3,0.933,0.893,1.95
13,mlp,32,128,2.00E-05,0.2,0.946,0.904,2.17
14,mlp,32,128,2.00E-05,0.3,0.908,0.88,2.29
15,mlp,32,128,3.00E-05,0.2,0.966,0.908,2.33
16,mlp,32,128,3.00E-05,0.3,0.925,0.883,3.24
17,cnn,16,77,2.00E-05,0.2,0.993,0.907,2.49
18,cnn,16,77,2.00E-05,0.3,0.991,0.904,2.4
19,cnn,16,77,3.00E-05,0.2,0.997,0.922,2.33
20,cnn,16,77,3.00E-05,0.3,0.997,0.907,2.27
21,cnn,16,128,2.00E-05,0.2,0.993,0.911,3.17
22,cnn,16,128,2.00E-05,0.3,0.992,0.893,2.21
23,cnn,16,128,3.00E-05,0.2,0.995,0.903,2.57
24,cnn,16,128,3.00E-05,0.3,0.993,0.9,2.39
25,cnn,32,77,2.00E-05,0.2,0.963,0.9,1.86
26,cnn,32,77,2.00E-05,0.3,0.988,0.9,1.91
27,cnn,32,77,3.00E-05,0.2,0.974,0.9,2.26
28,cnn,32,77,3.00E-05,0.3,0.994,0.896,1.75
29,cnn,32,128,2.00E-05,0.2,0.984,0.899,2.57
30,cnn,32,128,2.00E-05,0.3,0.98,0.907,2.35
31,cnn,32,128,3.00E-05,0.2,0.995,0.9,3.13
32,cnn,32,128,3.00E-05,0.3,0.992,0.896,2.16
33,lstm,16,77,2.00E-05,0.2,0.956,0.915,2.05
34,lstm,16,77,2.00E-05,0.3,0.961,0.911,1.94
35,lstm,16,77,3.00E-05,0.2,0.972,0.911,1.89
36,lstm,16,77,3.00E-05,0.3,0.974,0.9,1.9
37,lstm,16,128,2.00E-05,0.2,0.969,0.892,2.49
38,lstm,16,128,2.00E-05,0.3,0.963,0.904,2.16
39,lstm,16,128,3.00E-05,0.2,0.977,0.907,2.21
40,lstm,16,128,3.00E-05,0.3,0.976,0.907,2.06
41,lstm,32,77,2.00E-05,0.2,0.948,0.889,3.63
42,lstm,32,77,2.00E-05,0.3,0.932,0.889,1.59
43,lstm,32,77,3.00E-05,0.2,0.95,0.908,1.47
44,lstm,32,77,3.00E-05,0.3,0.954,0.9,1.57
45,lstm,32,128,2.00E-05,0.2,0.947,0.9,2.01
46,lstm,32,128,2.00E-05,0.3,0.943,0.893,1.78
47,lstm,32,128,3.00E-05,0.2,0.947,0.901,2.08
48,lstm,32,128,3.00E-05,0.3,0.948,0.893,1.79
49,cnn_lstm,16,77,2.00E-05,0.2,0.973,0.904,1.78
50,cnn_lstm,16,77,2.00E-05,0.3,0.974,0.903,1.98
51,cnn_lstm,16,77,3.00E-05,0.2,0.98,0.907,4.4
52,cnn_lstm,16,77,3.00E-05,0.3,0.943,0.896,2.63
53,cnn_lstm,16,128,2.00E-05,0.2,0.974,0.907,2.66
54,cnn_lstm,16,128,2.00E-05,0.3,0.97,0.926,3.47
55,cnn_lstm,16,128,3.00E-05,0.2,0.985,0.911,2.76
56,cnn_lstm,16,128,3.00E-05,0.3,0.977,0.919,3.15
57,cnn_lstm,32,77,2.00E-05,0.2,0.949,0.893,2.92
58,cnn_lstm,32,77,2.00E-05,0.3,0.945,0.893,2.65
59,cnn_lstm,32,77,3.00E-05,0.2,0.955,0.911,2.42
60,cnn_lstm,32,77,3.00E-05,0.3,0.953,0.903,2.51
61,cnn_lstm,32,128,2.00E-05,0.2,0.958,0.9,4.73
62,cnn_lstm,32,128,2.00E-05,0.3,0.955,0.9,3.27
63,cnn_lstm,32,128,3.00E-05,0.2,0.972,0.911,4.07
64,cnn_lstm,32,128,3.00E-05,0.3,0.974,0.907,3.67
