No,Model_Type,Batch_Size,Max_Sequence_Length,Learning_Rate,Dropout,F1_Train,F1_Validation,Training_Time
31,cnn,32,128,3e-05,0.2,0.995,0.9,3.13
32,cnn,32,128,3e-05,0.3,0.992,0.896,2.16
33,lstm,16,77,2e-05,0.2,0.956,0.915,2.05
34,lstm,16,77,2e-05,0.3,0.961,0.911,1.94
35,lstm,16,77,3e-05,0.2,0.972,0.911,1.89
36,lstm,16,77,3e-05,0.3,0.974,0.9,1.9
37,lstm,16,128,2e-05,0.2,0.969,0.892,2.49
38,lstm,16,128,2e-05,0.3,0.963,0.904,2.16
39,lstm,16,128,3e-05,0.2,0.977,0.907,2.21
40,lstm,16,128,3e-05,0.3,0.976,0.907,2.06
