No,Model_Type,Batch_Size,Max_Sequence_Length,Learning_Rate,Dropout,F1_Train,F1_Validation,Training_Time
41,lstm,32,77,2e-05,0.2,0.948,0.889,3.63
42,lstm,32,77,2e-05,0.3,0.932,0.889,1.59
43,lstm,32,77,3e-05,0.2,0.95,0.908,1.47
44,lstm,32,77,3e-05,0.3,0.954,0.9,1.57
45,lstm,32,128,2e-05,0.2,0.947,0.9,2.01
46,lstm,32,128,2e-05,0.3,0.943,0.893,1.78
47,lstm,32,128,3e-05,0.2,0.947,0.901,2.08
48,lstm,32,128,3e-05,0.3,0.948,0.893,1.79
49,cnn_lstm,16,77,2e-05,0.2,0.973,0.904,1.78
50,cnn_lstm,16,77,2e-05,0.3,0.974,0.903,1.98
