Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
ssnowy,@snowyndutt,2024-04-30T23:58:54.000Z,True,"Pas nonton DBD (anjir demam berdarah kali), sexual tensionnya sangat ketara sekali.

Lebih suka liat series/film western yang nunjukin sexual tension daripada naked dan sex scene",0,0,0,368,[],[],[],https://pbs.twimg.com/profile_images/1920796447374528512/gBJ9TZhc_normal.jpg,https://x.com/snowyndutt/status/1785458842417143950,tweet_id:1785458842417143950
dzikrulmaut,@hvtamaa,2024-04-30T17:51:22.000Z,False,Tapi katanya jam jam subuh itu lagi gencarnya nyamuk demam berdarah berkeliaran? Gimana itu pemirsa? Mohon dibantu koreksi & solusinya,0,0,0,693,[],[],['\\U0001f64f'],https://pbs.twimg.com/profile_images/1539336012014358528/g1l3oIKQ_normal.jpg,https://x.com/hvtamaa/status/1785366348673307133,tweet_id:1785366348673307133
SIN PO TV,@sinpotv,2024-04-30T17:40:00.000Z,True,Kasus Demam Berdarah kini jadi persoalan serius yang harus dihadapi oleh Masyarakat. Namun pemerintah dianggap oleh warga kurang memberikan informasi terkait dengan langkah penanggulangan penyakit.#penyakit #dbd #melonjak,0,0,0,119,"['#penyakit', '#dbd', '#melonjak']",[],[],https://pbs.twimg.com/profile_images/1671880049186996225/VyB7MMkg_normal.jpg,https://x.com/sinpotv/status/1785363486287294889,tweet_id:1785363486287294889
PK3D Dinas Kesehatan DKI Jakarta,@pk3ddinkesdki,2024-04-30T17:02:19.000Z,False,"Hai sobat sehat Tahukah kamu, salah satu penyebab demam berdarah terjadi adalah karena perilaku hidup yang kurang memperhatikan kebersihan lingkungan Memperhatikan kebersihan lingkungan dapat dilakukan dengan PSN 3M Plus Apa itu PSN 3M Plus?",1,0,0,170,[],[],"['\\U0001f44b', '\\U0001f625', '\\U0001f917']",https://pbs.twimg.com/profile_images/1744943554563383296/wkXIvdGS_normal.jpg,https://x.com/pk3ddinkesdki/status/1785354005885141353,tweet_id:1785354005885141353
SIN PO TV,@sinpotv,2024-04-30T17:00:01.000Z,True,Demam Berdarah Dengue yang sedang ramai diperbincangkan di Jakarta menyita perhatian banyak Masyarakat. Hal ini tentu menjadikan perhatian emak emak dan muda mudi untuk menjaga keluarga mereka dalam kondisi yang sehat dan bebas dari DBD.#dbd #demamberdarah #kesehatan,0,0,0,143,"['#dbd', '#demamberdarah', '#kesehatan']",[],[],https://pbs.twimg.com/profile_images/1671880049186996225/VyB7MMkg_normal.jpg,https://x.com/sinpotv/status/1785353423334056308,tweet_id:1785353423334056308
PK3D Dinas Kesehatan DKI Jakarta,@pk3ddinkesdki,2024-04-30T16:58:30.000Z,False,"Hai sobat sehat Tahukah kamu, jika tidak ditangani sedini mungkin Demam Berdarah Dengue (DBD) dapat berujung komplikasi seperti kerusakan hati, jantung, hingga otak.

Yuk kenali tanda dan gejala DBD agar dapat dilakukan penanganan sedini mungkin ",1,0,0,316,[],[],"['\\U0001f44b', '\\U0001f917']",https://pbs.twimg.com/profile_images/1744943554563383296/wkXIvdGS_normal.jpg,https://x.com/pk3ddinkesdki/status/1785353045272146398,tweet_id:1785353045272146398
jennie,@malahat1402,2024-04-30T15:28:15.000Z,False,Cek HIT Expert Raket Nyamuk - Raket Nyamuk - Bunuh Nyamuk Penyebab Demam Berdarah (DBD) dengan harga Rp94.100. Dapatkan di Shopee sekarang! https://shope.ee/2AsZUuo5Kd?share_channel_code=7…,0,0,0,32,[],[],[],https://pbs.twimg.com/profile_images/1762787869020868608/ws3uvhxH_normal.png,https://x.com/malahat1402/status/1785330330146312422,tweet_id:1785330330146312422
John Constantine,@BigDigDan,2024-04-30T15:23:51.000Z,False,Biar kena demam berdarah?,0,0,0,446,[],[],[],https://pbs.twimg.com/profile_images/1559929254561071112/NJ-6UY-S_normal.png,https://x.com/BigDigDan/status/1785329225450541105,tweet_id:1785329225450541105
Kodim0819Pasuruan,@0819Kodim,2024-04-30T14:45:54.000Z,False,Fogging Pencegahan Demam Berdarah di Koramil 0819/21 Purwosari   ,0,0,1,76,[],"['@Puspen_TNI', '@Pendam5', '@korem083', '@pemkot_pasuruan']",[],https://pbs.twimg.com/profile_images/1066933684727558145/HAiy_aBt_normal.jpg,https://x.com/0819Kodim/status/1785319672256286727,tweet_id:1785319672256286727
humaspolreswaykanan,@humaspolreswk,2024-04-30T11:46:35.000Z,False,"Polisi Bersama Dinkes Tengah Lakukan Fogging Cegah Penyakit DBD di Way Kanan 

Polres Way Kanan bersama Dinkes (Dinas Kesehatan) Kabupaten setempat tengah melakukan fogging, untuk mencegah terjadinya potensi penyebaran Demam Berdarah Dangue (DBD) yang disebabkan gigitan nyamuk",0,0,0,110,[],[],[],https://pbs.twimg.com/profile_images/767614519304609793/0gD5-u90_normal.jpg,https://x.com/humaspolreswk/status/1785274545970225446,tweet_id:1785274545970225446
Elisabeth Lilik,@elisabeth_lilik,2024-04-30T10:42:59.000Z,False,Bersyukurlah KPD Tuhan Yesus yg mana kita nikmati dan bersyukur hidup seperti apa adanya.kita bayangkan pagebluk penyakit yang sedang menular yaitu diare dan demam berdarah TDK ada tempat utk pasien yg menginap .,0,0,0,47,[],[],[],https://pbs.twimg.com/profile_images/1596455111295139842/3wLT9K_9_normal.png,https://x.com/elisabeth_lilik/status/1785258540497867084,tweet_id:1785258540497867084
u got this,@stayafloatpls,2024-04-30T09:53:00.000Z,False,"Wkwkwkwk reupload
Keluhan utamanya adalah demam tidak diketahui awalnya + GUSI BENGKAK BERNANAH BERDARAH + SUSAH MAKAN SUSAH NELAN
+ Ada bab hitam dan riwayat alkoholik
+ Hipotensi tapi ekstremitas dbn ",3,0,5,2.3K,[],[],['\\U0001f600'],https://pbs.twimg.com/profile_images/1909207264801759233/8DzTQjRW_normal.jpg,https://x.com/stayafloatpls/status/1785245964762300775,tweet_id:1785245964762300775
Dinas Kesehatan Kota Salatiga,@dinkes_sala3,2024-04-30T08:41:52.000Z,False,"Hai SobatSalsa..
Berikut kami sampaikan informasi jumlah pasien Demam Dengue dan Demam Berdarah Dengue di Kota Salatiga update Senin, 29 April 2024.",0,0,0,45,[],[],[],https://pbs.twimg.com/profile_images/1214025121230254081/3UIeywE9_normal.jpg,https://x.com/dinkes_sala3/status/1785228060381593690,tweet_id:1785228060381593690
AHS,@zettamangifera,2024-04-30T07:54:12.000Z,False,"Sekarang nembe luar biasa  kasus demam berdarah, hunian RS penuh, harus ngantre. Konsumsi madu sangat bagus baek kena ataupun gak kena DB. ",1,0,0,85,[],[],['\\U0001f44d'],https://pbs.twimg.com/profile_images/1833675961679958016/CSGrNrud_normal.jpg,https://x.com/zettamangifera/status/1785216063988543797,tweet_id:1785216063988543797
kodim 0703/cilacap,@pendim0703clp,2024-04-30T07:36:48.000Z,False,"Sertu Widiono Babinsa dari Koramil 06/Kesugihan bersama dengan Dinas Kesehatan Cilacap dan Puskesmas Kesugihan 1 serta Perangkat Desa melaksanakan fogging bagian dari upaya pencegahan penyakit Demam Berdarah Dengue (DBD) di Desa Dondong, Kecamatan Kesugihan, Kabupaten Cilacap.",0,0,0,56,[],[],[],https://pbs.twimg.com/profile_images/1536654012996472832/8ByN2qDg_normal.jpg,https://x.com/pendim0703clp/status/1785211687240609834,tweet_id:1785211687240609834
Humas Lapas Narkotika Bandung,@lpnbandung,2024-04-30T07:34:37.000Z,False,Lapas Narkotika Bandung Gandeng BPBD Kabupaten Bandung Lakukan Fogging Guna Cegah Demam Berdarah#kemenkumhamjabar,0,0,0,63,['#kemenkumhamjabar'],[],[],https://pbs.twimg.com/profile_images/1857607543071318016/ihBqoQfG_normal.jpg,https://x.com/lpnbandung/status/1785211135719039151,tweet_id:1785211135719039151
beritajatim,@beritajatimcom,2024-04-30T07:28:12.000Z,True,"4 Bulan, 313 Orang di Tuban Terjangkit Demam Berdarah, 3 Orang Meninggal Dunia. Kasus Demam Berdarah Dangue (DBD) di Kabupaten Tuban dalam beberapa bulan terakhir ini terus… http://dlvr.it/T6CDG5 #PendidikanKesehatan #DBD #demamberdarah #Tuban via ",0,0,0,63,"['#PendidikanKesehatan', '#DBD', '#demamberdarah', '#Tuban']",['@beritajatimcom'],['\\U0001f447'],https://pbs.twimg.com/profile_images/1383296141022810119/hvPUhWiS_normal.jpg,https://x.com/beritajatimcom/status/1785209522887512273,tweet_id:1785209522887512273
POLITEKNIK ANGKATAN DARAT,@penpoltekad,2024-04-30T06:51:48.000Z,False,"Dalam rangka mencegah terjangkitnya wabah demam berdarah, Poltekad Kodiklatad bekerjasama dengan Dinas Kesehatan Kota Batu melaksanakan Pemberantasan Sarang Nyamuk di lingkungan Poltekad Kodiklatad.",0,0,0,74,[],[],[],https://pbs.twimg.com/profile_images/1616087930258485256/4YSpmQu8_normal.jpg,https://x.com/penpoltekad/status/1785200361395171795,tweet_id:1785200361395171795
Putu Widhiartha,@arthawidhi,2024-04-30T06:04:03.000Z,False,Sebagian besar kenapa mas? Demam berdarah kah?,1,0,0,1.5K,[],[],[],https://pbs.twimg.com/profile_images/1636215211605790720/lEFyLdJY_normal.jpg,https://x.com/arthawidhi/status/1785188346857472371,tweet_id:1785188346857472371
DPP BANTENG MUDA INDONESIA,@DPPBMI,2024-04-30T05:45:01.000Z,True,Dr. Ketut Putra Sedana selaku ketua BMI yang juga wakil ketua DPC PDI Perjuangan Kab. Buleleng bersama relawan BMI dan LDC merespon cepat mencegah meluasnya demam berdarah di wilayah kampung kajanan Singaraja pada 28 April 2024.#PDIPerjuangan #BantengMudaIndonesia,0,0,0,69,"['#PDIPerjuangan', '#BantengMudaIndonesia']",[],[],https://pbs.twimg.com/profile_images/1815290652487462913/aB_Duvg9_normal.jpg,https://x.com/DPPBMI/status/1785183555393593662,tweet_id:1785183555393593662
KittenMommy,@zombiesqueenxxx,2024-04-30T04:55:01.000Z,False,"Berdarah dah 2 hari berdarah apakah ini dari usus? pantesan demam tinggi, pusing, dan lemes kemarin",0,0,0,35,[],[],"['\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1869100908245909504/d_W8D3Ia_normal.jpg,https://x.com/zombiesqueenxxx/status/1785170972691361935,tweet_id:1785170972691361935
Jawa Pos Radar Banyuwangi,@radarbwi,2024-04-30T04:50:32.000Z,False,RS Al Huda Banyuwangi Sediakan Layanan Deteksi Dini Demam Berdarah Dengue dengan NS1,0,0,0,28,[],[],[],https://pbs.twimg.com/profile_images/1200371850905174016/AigbUS3P_normal.jpg,https://x.com/radarbwi/status/1785169845887373649,tweet_id:1785169845887373649
DPP BANTENG MUDA INDONESIA,@DPPBMI,2024-04-30T04:21:02.000Z,True,Demam berdarah adalah infeksi virus yang dibawa oleh nyamuk lalu ditularkan ke manusia. Ini gejalanya dan cara pengobatan yang tepat. Ayo bersama kita lawan DBD!!#PDIPerjuangan #BantengMudaIndonesia #MudaBerjuang #GenerasiGotongRoyong#CegahPenyakitDBD,0,0,0,56,"['#PDIPerjuangan', '#BantengMudaIndonesia', '#MudaBerjuang', '#GenerasiGotongRoyong', '#CegahPenyakitDBD']",[],[],https://pbs.twimg.com/profile_images/1815290652487462913/aB_Duvg9_normal.jpg,https://x.com/DPPBMI/status/1785162419888931109,tweet_id:1785162419888931109
Kodim 0720/Rembang,@KodimRembang,2024-04-30T04:17:51.000Z,False,Babinsa desa Japerejo Serka Edi W melaksanakan Komsos dengan warga desa Japerejo dengan pembahasan waspada demam berdarah bertempat di wilayah desa Japerejo kecamatan Pamotan.,0,0,0,35,[],[],[],https://pbs.twimg.com/profile_images/1320585122177896448/kemYp5kB_normal.jpg,https://x.com/KodimRembang/status/1785161620978884765,tweet_id:1785161620978884765
Kodim 0720/Rembang,@KodimRembang,2024-04-30T04:15:35.000Z,False,Babinsa Desa Sumbermulyo Serka Kuwat Sujoko melaksanakan Komsos dengan Ibu Mujiyati Kepala sekolah SD Ngandang Sumbermulyo menghimbau supaya menjaga kebersihan sekolah karena musim penghujan guna menghindari penyakit Demam Berdarah.,0,0,0,58,[],[],[],https://pbs.twimg.com/profile_images/1320585122177896448/kemYp5kB_normal.jpg,https://x.com/KodimRembang/status/1785161048687096111,tweet_id:1785161048687096111
Ikfina Fahmawati,@IkfinaFahmawati,2024-04-30T04:03:31.000Z,False,Pemkab Mojokerto bersama Forkopimda Kab. Mojokerto menggelar Fogging secara serentak untuk mencegah demam berdarah (DBD) di wilayah Kab. Mojokerto.#ikfinafahmawati #bupatimojokerto #kabupatenmojokerto #DBD #fogging #kesehatan,0,0,1,138,"['#ikfinafahmawati', '#bupatimojokerto', '#kabupatenmojokerto', '#DBD', '#fogging', '#kesehatan']",[],[],https://pbs.twimg.com/profile_images/1493579803857125378/okBunF46_normal.jpg,https://x.com/IkfinaFahmawati/status/1785158011029487993,tweet_id:1785158011029487993
JIH | Rumah Sakit,@RUMAHSAKITJIH,2024-04-30T03:41:13.000Z,False,"Bila kasus demam berdarah di lingkungan kita tinggi, mungkin akan muncul kekhawatiran mengenai apakah demam berdarah menular, khususnya dari penderita ke orang yang sehat.

Lalu, apakah benar demam berdarah dapat menular ke orang lain?",1,0,0,31,[],[],[],https://pbs.twimg.com/profile_images/904974170580172800/VWP_ay5B_normal.jpg,https://x.com/RUMAHSAKITJIH/status/1785152402691444999,tweet_id:1785152402691444999
POLSEK TEGALLALANG,@POLSEKTGLL_15,2024-04-30T03:34:22.000Z,False,"Cegah Demam Berdarah, Polsek Blahbatuh Giatkan Sambang Edukatif

BLAHBATUH-Demam Berdarah Dengue (DBD) merupakan salah satu masalah kesehatan yang cukup serius dan dapat mengancam nyawa masyarakat. Penyakit DBD sendiri adalah penyakit yang diakibatkan oleh adanya gigitan nyamuk",0,0,0,134,[],[],[],https://pbs.twimg.com/profile_images/1647967686159392769/ON_3H3fS_normal.jpg,https://x.com/POLSEKTGLL_15/status/1785150677217632315,tweet_id:1785150677217632315
POLSEK TEGALLALANG,@POLSEKTGLL_15,2024-04-30T03:32:37.000Z,False,"CEGAH DEMAM BERDARAH!

Berikut ini adalah cara mencegah DBD yang dapat kita lakukan secara bersama di lingkungan sekitar kita dengan Pemberantasan Sarang Nyamuk (PSN). Langkah ini biasa disebut dengan 3M Plus, yaitu:

1. Menguras tempat penampungan air",0,0,0,95,[],[],[],https://pbs.twimg.com/profile_images/1647967686159392769/ON_3H3fS_normal.jpg,https://x.com/POLSEKTGLL_15/status/1785150235330883796,tweet_id:1785150235330883796
Batampos,@BatamPos,2024-04-30T03:10:00.000Z,False,Fogging Bukan Solusi Efektif Atasi Demam Berdarah#Fogging #DBD,0,0,1,85,"['#Fogging', '#DBD']",[],[],https://pbs.twimg.com/profile_images/1874143172068335616/lYET-57s_normal.jpg,https://x.com/BatamPos/status/1785144543588814913,tweet_id:1785144543588814913
NusaBali.com,@nusabalicom,2024-04-30T02:56:42.000Z,False,"Bupati Karangasem I Gede Dana mengambil alih dengan pengasapan atau fogging di lokasi terserang demam berdarah, Lingkungan Karanglangko dan Lingkungan Bangras, Kelurahan/Karangasem, Senin (29/4). https://nusabali.com/berita/166195/bupati-gede-dana-ambil-alih-fogging-db…",0,0,0,16,[],[],[],https://pbs.twimg.com/profile_images/945080460782092288/GHy0yfmd_normal.jpg,https://x.com/nusabalicom/status/1785141195909550206,tweet_id:1785141195909550206
Elisabeth Lilik,@elisabeth_lilik,2024-04-30T00:41:21.000Z,False,Ya Tuhan pagi yg terang ini bersyukur Krn bisa menjalani pekerjaan rumah dgn suka cita walaupun Kana kiri ada rumah renovasi membuat suasana berdebu dan angin membuat tetangga ada yg muntaber ada yg. Greges dan demam berdarah apakah ini musim,0,0,2,76,[],[],[],https://pbs.twimg.com/profile_images/1596455111295139842/3wLT9K_9_normal.png,https://x.com/elisabeth_lilik/status/1785107137095774527,tweet_id:1785107137095774527
Tukang Jahit,@HamdanElLomboky,2024-04-30T00:39:44.000Z,False,Mohon doa kesembuhan dari sahabat semua untuk ketiga anak saya yang saat ini di Rawat di RS. Qoddarullah ananda didiagnosa Demam Berdarah.,6,0,11,793,[],[],[],https://pbs.twimg.com/profile_images/1648288595537727492/Godqc6Sg_normal.jpg,https://x.com/HamdanElLomboky/status/1785106730122461446,tweet_id:1785106730122461446
Paman_Gober324,@uncle_gober324,2024-04-30T00:00:37.000Z,False,"Jika skr sudah ada vaksin untuk demam berdarah dan flu, apakah mereka akan bikin lagi vaksin untuk nyeri haid, keseleo, sembelit, jerawat dan masuk angin ???",4,11,22,1.6K,[],[],[],https://pbs.twimg.com/profile_images/1911017006427406336/c3XtahAA_normal.jpg,https://x.com/uncle_gober324/status/1785096886023749977,tweet_id:1785096886023749977
Kodim 1610/Klungkung,@Dim1610klk,2024-04-29T23:13:03.000Z,False,"Babinsa Semarapura Kaja Bersama Puskesmas Klungkung 2 Gelar Fogging 

Klungkung,- Demam Berdarah Dengue ( DBD ) merupakan salah satu penyakit infeksi oleh virus dengue yang ditularkan melalui gigitan nyamuk aedes aegypti.",0,0,0,126,[],[],[],https://pbs.twimg.com/profile_images/1724248916575850496/w0XtHhat_normal.jpg,https://x.com/Dim1610klk/status/1785084915471765684,tweet_id:1785084915471765684
Koramil07/Matesih,@Koramil07M,2024-04-29T23:01:30.000Z,False,"Senin, 29 April 2024 pukul 09.30 Wib, Serka Muhari Babinsa Desa Karangbangun anggota Koramil 07/Matesih melaksanakan pertemuan rutin dengan perangkat desa Karangbangun di Kantor Desa Karangbangun, membahas tentang wabah demam berdarah (DBD).",0,0,1,48,[],[],[],https://pbs.twimg.com/profile_images/1393774366844805121/C8tiA4X9_normal.jpg,https://x.com/Koramil07M/status/1785082008013828247,tweet_id:1785082008013828247
SIN PO TV,@sinpotv,2024-04-29T18:20:00.000Z,True,Kasus Demam Berdarah Dengeu atau DBD di Rumah Sakit Umum Daerah Tamansari Jakarta Barat mengalami lonjakkan yang signifikan. Dari awal tahun 2024 sampai dengan bulan april tercatat terdapat 118 kasus yang didominasi oleh anak-anak usia sekolah.#dbd #demamberdarah #tamansari,0,0,1,270,"['#dbd', '#demamberdarah', '#tamansari']",[],[],https://pbs.twimg.com/profile_images/1671880049186996225/VyB7MMkg_normal.jpg,https://x.com/sinpotv/status/1785011164709314904,tweet_id:1785011164709314904
Simoncelli.58,@BangusDossol99,2024-04-29T16:34:06.000Z,False,Untung teu demam berdarah ge om .,0,0,0,64,[],[],[],https://pbs.twimg.com/profile_images/1866197916316209152/p-R5rMhV_normal.jpg,https://x.com/BangusDossol99/status/1784984515750060038,tweet_id:1784984515750060038
Mohamad Fuad,@_BangFu,2024-04-29T16:23:54.000Z,False,"Gpp, daripada dia demam berdarah. Aman",3,1,10,3.1K,[],[],[],https://pbs.twimg.com/profile_images/1648344736791683073/NkXqnEAT_normal.jpg,https://x.com/_BangFu/status/1784981948705976795,tweet_id:1784981948705976795
sara. ∞,@mifasoladore,2024-04-29T15:14:07.000Z,False,"806 warga kober sedang menjadi nyamuk stay safe teman-teman, jangan sampai demam berdarah yaa.
kita harus sehat demi strimink ",0,4,13,731,[],[],"['\\U0001f972', '\\U0001f917']",https://pbs.twimg.com/profile_images/1882062943111766016/jaRqN4wD_normal.jpg,https://x.com/mifasoladore/status/1784964386488246339,tweet_id:1784964386488246339
Balipuspanews.com,@balipuspanews,2024-04-29T13:44:35.000Z,False,"Demam Berdarah Meningkat di Karangasem, Bupati Gede Dana Turun Langsung Pantau Fogging https://balipuspanews.com/demam-berdarah-meningkat-di-karangasem-bupati-gede-dana-turun-langsung-pantau-fogging.html?utm_source=dlvr.it&utm_medium=twitter… #Klungkung #News #Fogging #BupatiKarangasem #DemamBerdarah",0,1,0,38,"['#Klungkung', '#News', '#Fogging', '#BupatiKarangasem', '#DemamBerdarah']",[],[],https://pbs.twimg.com/profile_images/1597548007343673344/ZIjiRfW2_normal.jpg,https://x.com/balipuspanews/status/1784941853458174167,tweet_id:1784941853458174167
asep_toloheor,@toloheor86,2024-04-29T13:37:06.000Z,False,", jaman dulu mah iya org² suka minum baygon rasa jeruk, skrg yg sdg heboh nyamuk Aedes Aegypti (yg direkayasa dgn wolbachia - 60% bakteri yg terdpt pd serangga), katanya utk hambat demam berdarah, atuh TUMILA bs mati, krn darah qta demam, ",1,0,0,54,[],[],"['\\U0001f602', '\\U0001f915']",https://pbs.twimg.com/profile_images/1784873618075189248/qgPReZ9l_normal.jpg,https://x.com/toloheor86/status/1784939970727440773,tweet_id:1784939970727440773
Koramilngargoyoso09,@Koramilngargoy2,2024-04-29T12:24:56.000Z,False,"Peltu Tohari batituud Ramil 09 Ngargoyoso melaksanakan Komsos dengan Bpk. Sarjono pedagang ban mobil di desa Puntukrejo, membahas tentang kebersihan lingkungan terutama saat ini banyak penyakit demam berdarah",0,0,0,36,[],[],[],https://pbs.twimg.com/profile_images/1425774312963801093/GZpzSNTY_normal.jpg,https://x.com/Koramilngargoy2/status/1784921809969963197,tweet_id:1784921809969963197
Radar Madiun,@radarmadiunweb,2024-04-29T12:02:10.000Z,False,Belakangan ini muncul tiga kasus baru demam berdarah dengue atau DBD di Kabupaten Madiun. Dinkes aktif fogging dan Ingatkan PSN.,0,0,0,33,[],[],[],https://pbs.twimg.com/profile_images/1792450260553596928/KSJEM6B5_normal.jpg,https://x.com/radarmadiunweb/status/1784916079048790404,tweet_id:1784916079048790404
春っち!!,@shishitori,2024-04-29T11:45:05.000Z,False,Mgkn aku musim tipes atau demam berdarah,0,0,1,86,[],[],[],https://pbs.twimg.com/profile_images/1632372445629009920/s0Ts59vz_normal.jpg,https://x.com/shishitori/status/1784911780961239464,tweet_id:1784911780961239464
News,@idnws_com,2024-04-29T10:52:14.000Z,False,Sapa Malang-Bagaimana Cara Mencegah Penyebaran Demam Berdarah? https://how.idnws.com/sapa-malang-bagaimana-cara-mencegah-penyebaran-demam-berdarah…,0,0,0,10,[],[],[],https://pbs.twimg.com/profile_images/1575352005068935168/pIEs04iE_normal.png,https://x.com/idnws_com/status/1784898480819093608,tweet_id:1784898480819093608
