Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Media Indonesia,@mediaindonesia,2023-10-31T12:38:41.000Z,True,"KASUS demam berdarah dengue (DBD) di Kota Tasikmalaya, terus meningkat. Sejak Januari hingga saat ini sudah 281 orang harus menjalani perawatan di rumah sakit.

Sumber: https://mediaindonesia.com/bumipasundan-berita/625962/lima-warga-tasikmalaya-meninggal-dunia-karena-dbd…",0,0,0,449,[],[],[],https://pbs.twimg.com/profile_images/1881952191126331392/jiRnunoW_normal.jpg,https://x.com/mediaindonesia/status/1719333065053569125,tweet_id:1719333065053569125
busy ia,@levforuto,2023-10-31T10:38:05.000Z,False,dia kalau demam mesti package hidung berdarah sekali macam sial je,1,0,1,284,[],[],[],https://pbs.twimg.com/profile_images/1866409577081905152/QmQeVu50_normal.jpg,https://x.com/levforuto/status/1719302719037727018,tweet_id:1719302719037727018
Korem 072 Pamungkas,@Korem072Pmk,2023-10-31T07:44:23.000Z,False,"Pelda Sularno Babinsa Giripeni Koramil 01/Wates Kodim 0731/Kulon Progo, pendampingan Petugas Puskesmas Wates dalam kegiatan penyelidikan epidemilogis (PE) DBD kepada warga yang terkena penyakit demam berdarah di Rumah Bapak Arif Nurmanin, Tegal lembut, Giripeni, Wates.",0,0,2,69,[],[],[],https://pbs.twimg.com/profile_images/1737082182227939328/uW6UlZMY_normal.jpg,https://x.com/Korem072Pmk/status/1719259002641768527,tweet_id:1719259002641768527
Leon,@FirdyanSyah10,2023-10-31T07:43:30.000Z,False,"Di gigit nyamuk demam berdarah kali mas,,,",0,0,0,127,[],[],[],https://pbs.twimg.com/profile_images/1469977696453083139/sOGSecsa_normal.jpg,https://x.com/FirdyanSyah10/status/1719258782386278522,tweet_id:1719258782386278522
DSC.,@sichtng,2023-10-31T06:25:45.000Z,False,TIAP BULAN LAH COMEBACK BIAR SEKALIAN KENA DEMAM BERDARAH,0,0,0,10,[],[],[],https://pbs.twimg.com/profile_images/1792710875486502912/5Jr8LIWm_normal.jpg,https://x.com/sichtng/status/1719239215626801156,tweet_id:1719239215626801156
Diskon | Promo | Voucher Beauty Shop,@RacunBeautyShop,2023-10-31T05:22:06.000Z,False,Temukan Hit Good Knight Xpress Refill Apple 45 Hari - Refill Obat Nyamuk Elektrik - Bunuh Nyamuk Penyebab Demam Berdarah (DBD) seharga Rp12.400. Dapatkan sekarang juga di Shopee! https://shope.ee/2fk986oCW2,0,0,0,144,[],[],[],https://pbs.twimg.com/profile_images/1682606103698501633/fqXfE0QX_normal.jpg,https://x.com/RacunBeautyShop/status/1719223196531257840,tweet_id:1719223196531257840
Pemburu Diskon - Info Diskon & Promo,@surganyadiskon,2023-10-31T05:11:27.000Z,False,Temukan Hit Good Knight Xpress Refill Apple 45 Hari - Refill Obat Nyamuk Elektrik - Bunuh Nyamuk Penyebab Demam Berdarah (DBD) seharga Rp12.400. Dapatkan sekarang juga di Shopee! https://shope.ee/3VJG6molnv,0,0,0,106,[],[],[],https://pbs.twimg.com/profile_images/1776180920258908160/UEZCXI38_normal.jpg,https://x.com/surganyadiskon/status/1719220517335711995,tweet_id:1719220517335711995
Kodim 0731/Kulon Progo,@pendim0731,2023-10-31T03:44:56.000Z,False,"Pelda Sularno Babinsa Giripeni Koramil 01/Wates Kodim 0731/Kulon Progo, pendampingan Petugas Puskesmas Wates dalam penyelidikan epidemilogis (PE) DBD kepada warga terkena penyakit demam berdarah di Rumah Bapak Arif Nurmanin, Tegal lembut, Giripeni, Wates, Senin (30/10/2023).",0,0,1,10,[],[],[],https://pbs.twimg.com/profile_images/1585523255611252736/h3skBoZg_normal.jpg,https://x.com/pendim0731/status/1719198744732950991,tweet_id:1719198744732950991
Satbrimobda.Gorontalo,@SatbrimobdaGor1,2023-10-31T00:11:47.000Z,False,"CEGAH DEMAM BERDARAH, BIDDOKKES POLDA GORONTALO LAKUKAN FOGGING DI MAKO SATBRIMOB POLDA GORONTALO",0,0,0,41,[],[],[],https://pbs.twimg.com/profile_images/1541990771997708288/DIEeG3P8_normal.jpg,https://x.com/SatbrimobdaGor1/status/1719145105217708194,tweet_id:1719145105217708194
Ditjen P2 Kemenkes RI,@DitjenP2Kemkes,2023-10-30T15:20:18.000Z,False,"Cegah DBD, Menkes tebar telur nyamuk wolbachia di Kota Kupang.

Kupang, 24 Oktober 2023 Menteri Kesehatan RI Budi Gunadi Sadikin memulai program pencegahan demam berdarah dengue (DBD) melalui teknologi Wolbachia di Kota Kupang, Nusa Tenggara Timur.http://p2p.kemkes.go.id/cegah-dbd-menkes-tebar-telur-nyamuk-wolbachia-di-kota-kupang/…",1,0,2,169,[],[],[],https://pbs.twimg.com/profile_images/1879806419735851008/GCrNASpw_normal.jpg,https://x.com/DitjenP2Kemkes/status/1719011353225269299,tweet_id:1719011353225269299
