Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Kodim 1610/Klungkung,@Dim1610klk,2024-04-29T23:13:03.000Z,False,"Babinsa Semarapura Kaja Bersama Puskesmas Klungkung 2 Gelar Fogging 

Klungkung,- Demam Berdarah Dengue ( DBD ) merupakan salah satu penyakit infeksi oleh virus dengue yang ditularkan melalui gigitan nyamuk aedes aegypti.",0,0,0,127,[],[],[],https://pbs.twimg.com/profile_images/1724248916575850496/w0XtHhat_normal.jpg,https://x.com/Dim1610klk/status/1785084915471765684,tweet_id:1785084915471765684
Koramil07/Matesih,@Koramil07M,2024-04-29T23:01:30.000Z,False,"Senin, 29 April 2024 pukul 09.30 Wib, Serka Muhari Babinsa Desa Karangbangun anggota Koramil 07/Matesih melaksanakan pertemuan rutin dengan perangkat desa Karangbangun di Kantor Desa Karangbangun, membahas tentang wabah demam berdarah (DBD).",0,0,1,49,[],[],[],https://pbs.twimg.com/profile_images/1393774366844805121/C8tiA4X9_normal.jpg,https://x.com/Koramil07M/status/1785082008013828247,tweet_id:1785082008013828247
SIN PO TV,@sinpotv,2024-04-29T18:20:00.000Z,True,Kasus Demam Berdarah Dengeu atau DBD di Rumah Sakit Umum Daerah Tamansari Jakarta Barat mengalami lonjakkan yang signifikan. Dari awal tahun 2024 sampai dengan bulan april tercatat terdapat 118 kasus yang didominasi oleh anak-anak usia sekolah.#dbd #demamberdarah #tamansari,0,0,1,271,"['#dbd', '#demamberdarah', '#tamansari']",[],[],https://pbs.twimg.com/profile_images/1671880049186996225/VyB7MMkg_normal.jpg,https://x.com/sinpotv/status/1785011164709314904,tweet_id:1785011164709314904
Simoncelli.58,@BangusDossol99,2024-04-29T16:34:06.000Z,False,Untung teu demam berdarah ge om .,0,0,0,65,[],[],[],https://pbs.twimg.com/profile_images/1866197916316209152/p-R5rMhV_normal.jpg,https://x.com/BangusDossol99/status/1784984515750060038,tweet_id:1784984515750060038
Mohamad Fuad,@_BangFu,2024-04-29T16:23:54.000Z,False,"Gpp, daripada dia demam berdarah. Aman",3,1,10,3.1K,[],[],[],https://pbs.twimg.com/profile_images/1648344736791683073/NkXqnEAT_normal.jpg,https://x.com/_BangFu/status/1784981948705976795,tweet_id:1784981948705976795
sara. ∞,@mifasoladore,2024-04-29T15:14:07.000Z,False,"806 warga kober sedang menjadi nyamuk stay safe teman-teman, jangan sampai demam berdarah yaa.
kita harus sehat demi strimink ",0,4,13,732,[],[],"['\\U0001f972', '\\U0001f917']",https://pbs.twimg.com/profile_images/1882062943111766016/jaRqN4wD_normal.jpg,https://x.com/mifasoladore/status/1784964386488246339,tweet_id:1784964386488246339
Balipuspanews.com,@balipuspanews,2024-04-29T13:44:35.000Z,False,"Demam Berdarah Meningkat di Karangasem, Bupati Gede Dana Turun Langsung Pantau Fogging https://balipuspanews.com/demam-berdarah-meningkat-di-karangasem-bupati-gede-dana-turun-langsung-pantau-fogging.html?utm_source=dlvr.it&utm_medium=twitter… #Klungkung #News #Fogging #BupatiKarangasem #DemamBerdarah",0,1,0,39,"['#Klungkung', '#News', '#Fogging', '#BupatiKarangasem', '#DemamBerdarah']",[],[],https://pbs.twimg.com/profile_images/1597548007343673344/ZIjiRfW2_normal.jpg,https://x.com/balipuspanews/status/1784941853458174167,tweet_id:1784941853458174167
asep_toloheor,@toloheor86,2024-04-29T13:37:06.000Z,False,", jaman dulu mah iya org² suka minum baygon rasa jeruk, skrg yg sdg heboh nyamuk Aedes Aegypti (yg direkayasa dgn wolbachia - 60% bakteri yg terdpt pd serangga), katanya utk hambat demam berdarah, atuh TUMILA bs mati, krn darah qta demam, ",1,0,0,55,[],[],"['\\U0001f602', '\\U0001f915']",https://pbs.twimg.com/profile_images/1784873618075189248/qgPReZ9l_normal.jpg,https://x.com/toloheor86/status/1784939970727440773,tweet_id:1784939970727440773
Koramilngargoyoso09,@Koramilngargoy2,2024-04-29T12:24:56.000Z,False,"Peltu Tohari batituud Ramil 09 Ngargoyoso melaksanakan Komsos dengan Bpk. Sarjono pedagang ban mobil di desa Puntukrejo, membahas tentang kebersihan lingkungan terutama saat ini banyak penyakit demam berdarah",0,0,0,37,[],[],[],https://pbs.twimg.com/profile_images/1425774312963801093/GZpzSNTY_normal.jpg,https://x.com/Koramilngargoy2/status/1784921809969963197,tweet_id:1784921809969963197
Radar Madiun,@radarmadiunweb,2024-04-29T12:02:10.000Z,False,Belakangan ini muncul tiga kasus baru demam berdarah dengue atau DBD di Kabupaten Madiun. Dinkes aktif fogging dan Ingatkan PSN.,0,0,0,34,[],[],[],https://pbs.twimg.com/profile_images/1792450260553596928/KSJEM6B5_normal.jpg,https://x.com/radarmadiunweb/status/1784916079048790404,tweet_id:1784916079048790404
