Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Mila,@milaisnotsorry,2024-04-30T23:59:51.000Z,False,con vos el dbd es mas bonito ,0,0,0,65,[],[],['\\U0001f49c'],https://pbs.twimg.com/profile_images/1922536547972194304/yVycPumM_normal.jpg,https://x.com/milaisnotsorry/status/1785459080099717631,tweet_id:1785459080099717631
アリムー,@arimu4,2024-04-30T23:59:48.000Z,False,ありがとうございますもちさんのリアルが落ち着いて大画面dbdデビューするのを今か今かと待っております笑,1,0,1,41,[],[],"['\\U0001f3b5', '\\U0001f61a']",https://pbs.twimg.com/profile_images/1778949250459877376/NnhOHZRZ_normal.jpg,https://x.com/arimu4/status/1785459067764539494,tweet_id:1785459067764539494
エモライダー,@twpmajgmptj,2024-04-30T23:59:45.000Z,False,"ゲームアカウントのフレンドにはなってくれない妹、とあるゲームだけゲーム内フレンドでもゲームアカウントとは紐付かないのでフレンドになってくれたw

マイク探しといてね！って

私の妹も息子もゲームリテラシー高すぎて私が突然変異モンスターみたいになってるなDBDした韓国人とフレなったりする",0,0,0,76,[],[],[],https://pbs.twimg.com/profile_images/1918532312255610880/G8B0C0OV_normal.jpg,https://x.com/twpmajgmptj/status/1785459054724382792,tweet_id:1785459054724382792
ねこばあ,@nekobba18,2024-04-30T23:59:37.000Z,False,ヴァンさん×IRisの新アジトDBD遊びで観測者から可愛いと言われているザウルスwww,0,0,0,566,[],[],[],https://pbs.twimg.com/profile_images/1744028608740626432/sE-in8tP_normal.jpg,https://x.com/nekobba18/status/1785459019924295845,tweet_id:1785459019924295845
ꉔ꒐ꇙꋊꏂ,@cisne_dbd,2024-04-30T23:59:24.000Z,False,"おはようございますᕷ

通電後のわちゃわちゃ楽しいたとえエンティティのお迎えが来てもVC/TC無しでもthx

バグ少しずつ解消されてきたし、ふらっとお誘いさせてほしいなそして誘ってくださいとくに深夜ウェルカムな方ぜひリプかDMください(ID交換は遊ぶときに)

ゆるっと",2,0,59,1.2K,[],[],"['\\U0001f90d', '\\U0001f923', '\\u2728', '\\U0001faf6', '\\u2728', '\\U0001f319', '\\u263a\\ufe0f', '\\U0001f609', '\\U0001f54a']",https://pbs.twimg.com/profile_images/1875200994684112897/QB9ol1Vj_normal.jpg,https://x.com/cisne_dbd/status/1785458966446956566,tweet_id:1785458966446956566
,@offrokku,2024-04-30T23:59:14.000Z,False,dbdシンプル心臓に悪そうwwwwwデザインがこわち　いきなり出てきたら泣く,1,0,0,46,[],[],[],https://pbs.twimg.com/profile_images/1509917020003115012/otlAYxjN_normal.jpg,https://x.com/offrokku/status/1785458925506269295,tweet_id:1785458925506269295
David King,@DavidInDBD,2024-04-30T23:58:55.000Z,False,I think that twitter thought i was a bot since i posted alot,1,0,0,5,[],[],[],https://pbs.twimg.com/profile_images/1818424361340039168/sh36XaJn_normal.jpg,https://x.com/DavidInDBD/status/1785458844539175022,tweet_id:1785458844539175022
ssnowy,@snowyndutt,2024-04-30T23:58:54.000Z,True,"Pas nonton DBD (anjir demam berdarah kali), sexual tensionnya sangat ketara sekali.

Lebih suka liat series/film western yang nunjukin sexual tension daripada naked dan sex scene",0,0,0,369,[],[],[],https://pbs.twimg.com/profile_images/1920796447374528512/gBJ9TZhc_normal.jpg,https://x.com/snowyndutt/status/1785458842417143950,tweet_id:1785458842417143950
penchi,@penchi_dbd,2024-04-30T23:58:22.000Z,False,筋トレ配信サボってるからだな(´ー｀*)ｳﾝｳﾝ,0,0,0,58,[],[],[],https://pbs.twimg.com/profile_images/1429383884035137540/qT6I0or6_normal.jpg,https://x.com/penchi_dbd/status/1785458705913598133,tweet_id:1785458705913598133
𝕋ℍ𝔼 𝕋ℍ𝕀ℕ𝔾,@TheThinginDBD,2024-04-30T23:58:18.000Z,False,He dragged him by his underwear so he can get used to the pain in his ass when he's behind bars. ,0,0,0,26,[],[],"['\\U0001f923', '\\U0001f923', '\\U0001f923']",https://pbs.twimg.com/profile_images/1884054726867550208/_4JbGg2T_normal.jpg,https://x.com/TheThinginDBD/status/1785458688951541853,tweet_id:1785458688951541853
