Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
𖦹ׂAmanda Young𖦹ׂ,@RebornThePig,2023-10-31T23:59:58.000Z,False,// hehe it's honestly so true. Occasionally you get a cute killer. And then you get me. I'm a cuddly snuggly person. And then I play dbd.,0,0,0,25,[],[],[],https://pbs.twimg.com/profile_images/1832284755540279296/qzX82aeN_normal.jpg,https://x.com/RebornThePig/status/1719504517861986615,tweet_id:1719504517861986615
Lisa Turner,@DBDAffliction,2023-10-31T23:59:31.000Z,False,Then you owe me for the lower that in office ruining our great nation Shame on you,0,0,0,3,[],[],"['\\u203c\\ufe0f', '\\U0001f644']",https://pbs.twimg.com/profile_images/1904545038438129664/oXorV6Zz_normal.jpg,https://x.com/DBDAffliction/status/1719504405089702363,tweet_id:1719504405089702363
VirginiaBenttley,@ChanelBenttley,2023-10-31T23:59:20.000Z,False,"If TCM releasing new characters only every 3 months, like DbD, I’m afraid game gonna get very dry after Danny and Nancy",2,2,36,1.6K,[],[],[],https://pbs.twimg.com/profile_images/1915093101930041346/Emay-AYZ_normal.jpg,https://x.com/ChanelBenttley/status/1719504358851649864,tweet_id:1719504358851649864
【公式】バイオハザード / RESIDENT EVIL PORTAL Official,@REBHPortal,2023-10-31T23:59:20.000Z,True,"／
おすすめパートナーはデューク!
欲しいものがあればデュークに調達してもらおう!
＼

Wチャンスとして、50名様にオリジナルクリアファイルをプレゼント中詳細：https://game.capcom.com/residentevil/ja/news-3514.html?t=1698796760162…本キャンペーンは11/5まで開催！
明日のご参加もお待ちしています！",0,0,0,138,[],['@KunH_LoP_'],"['\\U0001f381', '\\u2728', '\\U0001f383', '\\U0001f36d']",https://pbs.twimg.com/profile_images/1587344567879503872/EPNT2bXb_normal.jpg,https://x.com/REBHPortal/status/1719504357199126775,tweet_id:1719504357199126775
かふぇぞう,@kafezou1977,2023-10-31T23:59:18.000Z,False,今日のdbdは、クマ大量発生かな鯖やって追いかけられたいな,0,0,2,44,[],[],"['\\U0001f43b', '\\U0001f970']",https://pbs.twimg.com/profile_images/1917469894393880576/P5ji0S36_normal.jpg,https://x.com/kafezou1977/status/1719504350459088944,tweet_id:1719504350459088944
Hayven ⋆｡ ﾟ☾,@imHayven,2023-10-31T23:59:17.000Z,False,"ALRIGHTY SOOoooo,, turns out Amnesia gives me wicked motion sickness ;u; 

switching over to DBD in the meantime! trying to play on my pc this time we'll see how it goes",0,0,1,99,[],[],['\\U0001f62c'],https://pbs.twimg.com/profile_images/1776811060798136321/F1zOVmac_normal.jpg,https://x.com/imHayven/status/1719504344901361911,tweet_id:1719504344901361911
𖦹ׂAmanda Young𖦹ׂ,@RebornThePig,2023-10-31T23:59:58.000Z,False,// hehe it's honestly so true. Occasionally you get a cute killer. And then you get me. I'm a cuddly snuggly person. And then I play dbd.,0,0,0,25,[],[],[],https://pbs.twimg.com/profile_images/1832284755540279296/qzX82aeN_normal.jpg,https://x.com/RebornThePig/status/1719504517861986615,tweet_id:1719504517861986615
Lisa Turner,@DBDAffliction,2023-10-31T23:59:31.000Z,False,Then you owe me for the lower that in office ruining our great nation Shame on you,0,0,0,3,[],[],"['\\u203c\\ufe0f', '\\U0001f644']",https://pbs.twimg.com/profile_images/1904545038438129664/oXorV6Zz_normal.jpg,https://x.com/DBDAffliction/status/1719504405089702363,tweet_id:1719504405089702363
drconnorswasright,@GatorMan105,2023-10-31T23:59:08.000Z,False,Bro Saw X literally stole pig from dbd that’s crazy,0,0,1,33,[],[],[],https://pbs.twimg.com/profile_images/1630766591963963397/Qr6ArncL_normal.jpg,https://x.com/GatorMan105/status/1719504309212090745,tweet_id:1719504309212090745
𝙉𝙤𝙖𝙡𝙡,@Noall_dbd,2023-10-31T23:59:07.000Z,False,君もサバ専にならないか,1,0,3,1K,[],[],[],https://pbs.twimg.com/profile_images/1904766924447506432/5RQoJYCw_normal.jpg,https://x.com/Noall_dbd/status/1719504304476938707,tweet_id:1719504304476938707
kelsi ༊*·˚,@etoileeaf,2023-10-31T23:58:57.000Z,False,"my interests are so dumb though like it’d be
- dbd - sylvanian families - saw - paddington ",19,0,8,197,[],[],"['\\U0001f99f', '\\U0001f9fa', '\\U0001f989', '\\U0001f9f8']",https://pbs.twimg.com/profile_images/1889144435360886784/vrOEgfVf_normal.jpg,https://x.com/etoileeaf/status/1719504260352606257,tweet_id:1719504260352606257
月兎@欠陥製品,月兎@欠陥製品,2023-10-31T23:58:52.000Z,False,"夜勤の方が楽だから週5で夜勤したい民です
というか夜勤と昼勤とってしてると寝る時間バラバラ過ぎてしんどい",1,0,0,24,[],[],[],https://pbs.twimg.com/profile_images/1339273672436011010/VCAudvjA_normal.jpg,https://x.com/gushiki_dbd/status/1719504241914753506,tweet_id:1719504241914753506
