Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
lola,@lolalagiloading,2023-11-29T13:37:36.000Z,False,after sakit lambung skrg gejala dbd,0,0,0,20,[],[],[],https://pbs.twimg.com/profile_images/1862888435872043008/eKq5Bfi1_normal.jpg,https://x.com/lolalagiloading/status/1729857143287996656,tweet_id:1729857143287996656
,@sakkuramiya,2023-11-28T15:41:18.000Z,False,"Anak nya sih kayak biasa aja unn, cmn demam gitu naik turun, makan kayak biasa, malah ada gejala radang jg si sm maag, ga keliatan gitu kyak dbd, makanya pada bingung:"")",1,0,0,94,[],[],[],https://pbs.twimg.com/profile_images/1888761467908067328/_Du9WaN7_normal.jpg,https://x.com/sakkuramiya/status/1729525885018230822,tweet_id:1729525885018230822
Ayyayaya,@clavicvla,2023-11-26T13:41:39.000Z,False,"Itu tuh karna imun tubuhmu kebal makanya gk kerasa demam, sama kaya kakek aku tifus & gejala dbd tp gak demam",1,0,0,25,[],[],[],https://pbs.twimg.com/profile_images/1886440133626642432/O9PJ1ftl_normal.png,https://x.com/clavicvla/status/1728770997040656642,tweet_id:1728770997040656642
Hier,@HatlifHier,2023-11-25T07:07:25.000Z,False,"recap 2023
- gejala depresi
- Dbd, sempat kritis
- menipu penipu
- S.Kom alhamdulillah 
- got a FT Job
- proses membangun rumah 80%
- dapet pacar supportive(this!!!) https://x.com/irwndfrry/stat/irwndfrry/status/1728248331934310656…",0,0,0,102,[],[],[],https://pbs.twimg.com/profile_images/1730482779820085248/VvIE3MEa_normal.jpg,https://x.com/HatlifHier/status/1728309397116309719,tweet_id:1728309397116309719
,@gossamerys,2023-11-24T07:07:25.000Z,False,"Mulai minum air kelapa aja dd, soalnya tinggi elektrolit. Bisa ngurangin gejala DBD",1,0,0,61,[],[],[],https://pbs.twimg.com/profile_images/1763446805088600064/Hi6jl1SH_normal.jpg,https://x.com/gossamerys/status/1727947010236719480,tweet_id:1727947010236719480
`,@haozshang,2023-11-22T17:40:42.000Z,False,ini gejala rindu atau lagi dbd ya Jooyeon? ✧・ﾟ｡┇ ↷ /b3r3nAnG keSaNa K3maRi; cLinGak CliNgUk/ bLubUbBlubuB psSstTt psSsstt sLamaT mLam ,0,0,0,26,[],[],"['\\U0001f348', '\\U0001f350', '\\U0001f34c', '\\U0001f34a', '\\U0001f351', '\\U0001f34e', '\\U0001f347', '\\U0001f353', '\\U0001f96d', '\\U0001f34b', '\\U0001f95d', '\\U0001f34f', '\\U0001f345', '\\U0001f965', '\\U0001f34c', '\\U0001f351', '\\u261d\\U0001f3fb', '\\U0001fae7', '\\U0001fae7', '\\U0001fae7', '\\U0001fae7']",https://pbs.twimg.com/profile_images/1738392689987727360/wxx-UXQp_normal.jpg,https://x.com/haozshang/status/1727381605667516524,tweet_id:1727381605667516524
OBOR TIMUR,@ManggaraiO72458,2023-11-22T05:58:59.000Z,False,Berikut Beberapa Gejala Awal yang Harus Diketahui Orang yang Menderita DBD https://obortimur.com/kesehatan/1783312013/berikut-beberapa-gejala-awal-yang-harus-diketahui-orang-yang-menderita-dbd…,0,0,0,25,[],[],[],https://pbs.twimg.com/profile_images/1712090599778906112/jtLOwmQU_normal.jpg,https://x.com/ManggaraiO72458/status/1727205011489480964,tweet_id:1727205011489480964
RRI Banten,@RRIBanten,2023-11-22T05:11:45.000Z,False,#BantenSiangIni - Kenali Gejala DBD Fase Awal yang Perlu Diwaspadai https://rri.co.id/kesehatan/452883/kenali-gejala-dbd-fase-awal-yang-perlu-diwaspadai…,0,0,0,25,['#BantenSiangIni'],[],[],https://pbs.twimg.com/profile_images/1872065566535737344/f-zNWBYk_normal.jpg,https://x.com/RRIBanten/status/1727193125138112870,tweet_id:1727193125138112870
تذاكر الهلال والفتح,@RRIPrograma3,2023-11-22T03:09:34.000Z,False,Kenali Gejala DBD Fase Awal yang Perlu Diwaspadai https://rri.co.id/kesehatan/452883/kenali-gejala-dbd-fase-awal-yang-perlu-diwaspadai…,0,0,1,53,[],[],[],https://pbs.twimg.com/profile_images/1916920839976497152/bwQ9vNz8_normal.jpg,https://x.com/RRIPrograma3/status/1727162375789535496,tweet_id:1727162375789535496
#ReleaseTheSnyderCut,@dezinfectant,2023-11-21T04:15:14.000Z,False,"DB dan DBD disebabkan oleh virus yang sama, virus dengue. Tidak semua orang yang terinfeksi virus dengue akan mengalami gejala yang parah atau mengalami DBD karena beda respons kekebalan individu, serotipe virus, dll",0,0,0,53,[],[],[],https://pbs.twimg.com/profile_images/378800000692042106/a22ee84e336f7e8b0c5646628ddbfdbe_normal.jpeg,https://x.com/dezinfectant/status/1726816513355809206,tweet_id:1726816513355809206
Ndik,@indyaksr,2023-11-20T14:12:47.000Z,False,"Tahun 2021, ternyata gejala DBD",0,0,0,22,[],[],['\\U0001f602'],https://pbs.twimg.com/profile_images/1911003752921702400/6YgC_jVx_normal.jpg,https://x.com/indyaksr/status/1726604507050885145,tweet_id:1726604507050885145
𝕶𝖎𝖓𝖌 𝕺𝖋 𝖇𝖔𝖙𝖈𝖍,@Fahrul_Rozi_97,2023-11-19T13:35:36.000Z,False,"Bener mbah, dulu saya pernah terjangkit gejala DBDObatnya cuma Jambu biji + buat BIT yang di jus, lebih enak lebih segar ",0,0,0,72,[],[],"['\\U0001f60a', '\\U0001f60a']",https://pbs.twimg.com/profile_images/1580003549877915648/dHJcMXw2_normal.jpg,https://x.com/Fahrul_Rozi_97/status/1726232758757036536,tweet_id:1726232758757036536
Fimela,@FIMELAdotcom,2023-11-19T07:24:05.000Z,False,Gejala DBD pada Anak dari Ringan sampai Parah yang Harus Diwaspadai: Penyakit demam berdarah ini bisa disembuhkan dengan melakukan perawatan di rumah,0,0,0,87,[],[],[],https://pbs.twimg.com/profile_images/1919719831248764928/r-zWiPUV_normal.jpg,https://x.com/FIMELAdotcom/status/1726139266185760883,tweet_id:1726139266185760883
Mars,@mars_ecr20,2023-11-18T16:57:51.000Z,False,"ngga ada gejala kak nuu, cuma takut ini lagi byk nyamukk
tetangga ada yg kena dbd soalnya",0,0,0,29,[],[],[],https://pbs.twimg.com/profile_images/1840054106511364096/_IQBapTa_normal.jpg,https://x.com/mars_ecr20/status/1725921272109183484,tweet_id:1725921272109183484
Mars,@mars_ecr20,2023-11-18T16:48:11.000Z,False,"tiap haritapi ngga ada gejala si, gw takud ini byk nyamukk
tetangga ada yg kena dbd soalnya",1,0,0,27,[],[],"['\\U0001f62d', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1840054106511364096/_IQBapTa_normal.jpg,https://x.com/mars_ecr20/status/1725918836376097021,tweet_id:1725918836376097021
Mars,@mars_ecr20,2023-11-18T16:47:42.000Z,False,"ngga ada gejala si, gw takud ini byk nyamukk
tetangga ada yg kena dbd soalnya",1,0,0,35,[],[],[],https://pbs.twimg.com/profile_images/1840054106511364096/_IQBapTa_normal.jpg,https://x.com/mars_ecr20/status/1725918717169787374,tweet_id:1725918717169787374
Nuha F,@masnu81,2023-11-17T12:15:44.000Z,False,"Kalo anak saya perlu buka dokumen dulu kayaknya , adanya opname istri pak.Gejala :
- Demam sampe 40
- lemes

Diagnosa :
- DBD plus ISPA

Durasi opname :
- 5 hari

Case ada asuransi, tapi ada hal yg diluar kendali dan tidak bisa disebutkan. Jadi reimbursement ",1,0,3,701,[],[],['\\U0001f601'],https://pbs.twimg.com/profile_images/1349417853837922304/U7wjtHA-_normal.jpg,https://x.com/masnu81/status/1725487886018183477,tweet_id:1725487886018183477
