Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
مودة,@Affisme,2023-12-29T23:27:52.000Z,False,Alhamdulillah dikasih sakit sama Allah pas bgt rencana majuin semua jadwal ngajar ke senin-kamis biar bisa main hari jumat. Tp malah demam tinggi. Jadilah kota istirahat tanpa ninggalin ngajar  Allah baik bgt,0,0,0,47,[],[],['\\U0001f97a'],https://pbs.twimg.com/profile_images/1163027603285934080/pHqaNZ9s_normal.jpg,https://x.com/Affisme/status/1740877322218246362,tweet_id:1740877322218246362
ëĹżâ ketawa,@HAHAHAWOKWOK,2023-12-29T22:06:42.000Z,False,"pas kecil aku tbtb demam tinggi, ayah posisinya lg di luar kota ngurus kerjaan, trs mamah nelfon ayah ngabarin klo aku demam, ayah langsung pulang kerumah saat itu jg, pas nympe rumah ayah lgsng cium aku, disitu ak tbtb nangis terharu pdhl aku msi umur 3/4taunan, masyaAllah https://x.com/hidung/status//hidung/status/1740744431115071711…",0,0,0,21,[],[],[],https://pbs.twimg.com/profile_images/1477670226342805504/ELMUQjnh_normal.jpg,https://x.com/HAHAHAWOKWOK/status/1740856898264629422,tweet_id:1740856898264629422
abrar,@ultramencorla,2023-12-29T19:36:17.000Z,False,Pulang kerja badan malah demam tinggi ,3,0,1,792,[],[],['\\U0001f97a'],https://pbs.twimg.com/profile_images/1780983643068157952/lNMpFyOG_normal.jpg,https://x.com/ultramencorla/status/1740819043337343189,tweet_id:1740819043337343189
Budi Kusmayadi,@Budicitra2021,2023-12-29T17:38:30.000Z,False,"hati2  bu, banyak pendukung sebelah yg kepanasan smpe demam tinggi hingga komennya  ngawur...",0,0,0,17,[],[],[],https://pbs.twimg.com/profile_images/1740556775139704832/VSKo7Jna_normal.jpg,https://x.com/Budicitra2021/status/1740789403042390374,tweet_id:1740789403042390374
aul.,@auliaarhy,2023-12-29T17:31:02.000Z,False,mang bleh demam tinggi gini,0,0,0,60,[],[],[],https://pbs.twimg.com/profile_images/1657681762036895745/qZ2oMk6c_normal.jpg,https://x.com/auliaarhy/status/1740787522106790271,tweet_id:1740787522106790271
k,@keisyaspace,2023-12-29T17:25:52.000Z,False,"things i remember in: 

Jan: Mama masuk rumah sakit, dan aku sakit demam tinggi 
Feb: Warnai rambut pertama kali DAN BAGUS-ditawarin kak Azki untuk jadi partner Athalla 
Mar: huru-hara sama Athalla buat nyusun PIL 
Apr: Magang di OZ
Mei: Putri FIB…",1,0,0,208,[],[],[],https://pbs.twimg.com/profile_images/1813286060283338755/mRJkI0ce_normal.jpg,https://x.com/keisyaspace/status/1740786223919305189,tweet_id:1740786223919305189
Lusia Oktri Wini,@u_chiya,2023-12-29T17:02:50.000Z,False,"Sedari selasa bapil, rabu demam tinggi sampe kepala rasanya mau pecah, menggigil parah, prsendian linu, smua badan pegal2

Alhasil ""dijauhin"" dr baby buat jaga2 doi yg juga kondisinya lemah agar jgn mindah

Tiap doi minum asi dr botol padahal uminya dekat doi tu rasanya gimana ",1,0,0,113,[],[],['\\U0001f972'],https://pbs.twimg.com/profile_images/1581994356562546689/PIyxqNS2_normal.jpg,https://x.com/u_chiya/status/1740780427928125881,tweet_id:1740780427928125881
edogawadhitarot,@edogawadhitarot,2023-12-29T16:52:53.000Z,False,"Masih menunggu demam reda, dari 3 tahunan tinggal bareng pasangan baru kali ini dia demam tinggi banget. Biasanya sakitnya paling mentok flu, kaget banget emang orang yang jarang sakit malah sekali sakit mengerikan.",2,1,0,1K,[],[],[],https://pbs.twimg.com/profile_images/1915679286088130564/wVvFuYO-_normal.jpg,https://x.com/edogawadhitarot/status/1740777921231667230,tweet_id:1740777921231667230
,@xoxorosescent,2023-12-29T16:19:08.000Z,False,Mau taun baruan ko malah demam tinggi ,3,0,0,573,[],[],['\\U0001f642'],https://pbs.twimg.com/profile_images/1738152471590256640/OPME3XQq_normal.jpg,https://x.com/xoxorosescent/status/1740769428525236675,tweet_id:1740769428525236675
loveryu,@imloveryu,2023-12-29T13:16:49.000Z,False,"Emang lagi musim, temen ku sampe dirawat udah 2 hari karna demam tinggi. Terus aku juga kena demam dari tadi malem 39°C naik turun. Kata dosen aku gejala covid baru??",1,0,0,195,[],[],[],https://pbs.twimg.com/profile_images/1877729359190265856/_GkBilei_normal.jpg,https://x.com/imloveryu/status/1740723548363379079,tweet_id:1740723548363379079
𝚌𝚒𝚒 - mt aft dm,@304bty,2023-12-29T13:14:05.000Z,False,manusya kalo demam tinggi banget pembuluhnya bisa meledak nggasi? wkwk ,0,0,0,42,[],[],"['\\U0001f912', '\\U0001f637']",https://pbs.twimg.com/profile_images/1918184402489884673/P-tcPdXm_normal.jpg,https://x.com/304bty/status/1740722859146952793,tweet_id:1740722859146952793
baksoo,@suminskgw,2023-12-29T12:55:44.000Z,False,"keinget keknya gua sakit lagi gegara kmrn mlm makan fried chicken dkr*uk spicy deh jam 2 mlm gua demam tinggi...
soalnya sebelumnya pun ga knp"" ngaruh gak si",1,0,0,36,[],[],['\\U0001f61f'],https://pbs.twimg.com/profile_images/1754173727154327552/dl0OMIJs_normal.jpg,https://x.com/suminskgw/status/1740718242614956529,tweet_id:1740718242614956529
k,@keisyaspace,2023-12-29T17:25:52.000Z,False,"things i remember in: 

Jan: Mama masuk rumah sakit, dan aku sakit demam tinggi 
Feb: Warnai rambut pertama kali DAN BAGUS-ditawarin kak Azki untuk jadi partner Athalla 
Mar: huru-hara sama Athalla buat nyusun PIL 
Apr: Magang di OZ
Mei: Putri FIB…",1,0,0,208,[],[],[],https://pbs.twimg.com/profile_images/1813286060283338755/mRJkI0ce_normal.jpg,https://x.com/keisyaspace/status/1740786223919305189,tweet_id:1740786223919305189
Clara,@kelera99,2023-12-29T12:30:48.000Z,False,"Hari ini tiba"" demam, lemes kayak ga punya tulang.... Sembuh gara"" Karokean lagu desik yang nadanya tinggi"" itu kek orang gila  Sehat"" kalian semua, tutup tahun jangan sakit ",0,0,0,40,[],[],"['\\U0001f64f\\U0001f3fb', '\\U0001f64f\\U0001f3fb']",https://pbs.twimg.com/profile_images/1719276943483584512/jt7IvC7C_normal.jpg,https://x.com/kelera99/status/1740711965734162800,tweet_id:1740711965734162800
winning,@laviienbluuee,2023-12-29T11:58:56.000Z,False,"gila bgt demam gue tinggi dr kemwren ga turun2, malah makik tinggi ni ada kali 39drjt",1,0,0,53,[],[],['\\U0001f972'],https://pbs.twimg.com/profile_images/1782063176995246080/_bC13KJT_normal.jpg,https://x.com/laviienbluuee/status/1740703945780248853,tweet_id:1740703945780248853
ijah | proof joki 100+,@kyujich,2023-12-29T11:17:06.000Z,False,"oski suka makan tp tdk suka minum sehingga ia pernah terkena radang gusi, sakit mata saat kecil, dan awal tahun 2023 dia demam tinggi. tp alhamdulillah oski msih bsa survive smpai skrgaku harap, oski jg bisa survive melawan flutd. mohon doa dan dukungan untuk oski ya",1,0,1,857,[],[],"['\\U0001f97a', '\\U0001f97a', '\\U0001f64f\\U0001f3fb']",https://pbs.twimg.com/profile_images/1796175096521928704/M1ul8Jmr_normal.jpg,https://x.com/kyujich/status/1740693421080359387,tweet_id:1740693421080359387
MasAl,@Ptienthuman,2023-12-29T10:26:10.000Z,False,Direwangi kerjo masio demam tinggi,0,0,1,50,[],[],[],https://pbs.twimg.com/profile_images/1580466787887755264/omnTGFDY_normal.jpg,https://x.com/Ptienthuman/status/1740680600422695103,tweet_id:1740680600422695103
𝚋𝚎𝚕𝚊𝚙𝚘,@potraitofapo,2023-12-29T09:15:14.000Z,False,"Kemarin q sempet demam tinggi guys makanya gak apdet2 tetangga sebelah tp sore ini dah mendingan aku cicil nulis eps 7 yaaa, kalo ga sempet mau ga mau ketemu nattalanya next year",11,1,53,2.3K,[],[],"['\\U0001f979', '\\U0001f979', '\\U0001f64f\\U0001f3fb']",https://pbs.twimg.com/profile_images/1875504822289625089/6jxWzZba_normal.jpg,https://x.com/potraitofapo/status/1740662751738081497,tweet_id:1740662751738081497
moongalled,@moongalled,2023-12-29T08:52:57.000Z,False,"tapi tau aku masih ada demam, jadinya ya mungkin itu efek ketika demam tinggi. 

tapi mama mau bilang apa ke sasa?",0,0,0,34,[],[],[],https://pbs.twimg.com/profile_images/1770405823262670848/Qk8ns2S7_normal.jpg,https://x.com/moongalled/status/1740657144700207235,tweet_id:1740657144700207235
fue | K-46A CFXX (SUN),@serulingbambuw,2023-12-29T06:45:47.000Z,False,"ak suka scene mabok pasangan vanilla ato demam tinggi sampe gasadar lakuin apa, soalnya ak gemas kek yg elah cepatlah mnkh klen

trus besoknya pada malu2 lagi",0,0,0,744,[],[],[],https://pbs.twimg.com/profile_images/1811283453125808128/7uhWm4Uz_normal.jpg,https://x.com/serulingbambuw/status/1740625139933512153,tweet_id:1740625139933512153
Fia,@AlfiahWM,2023-12-29T05:00:15.000Z,False,Demam tinggi,0,0,0,25,[],[],['\\U0001f613'],https://pbs.twimg.com/profile_images/1680989990967451648/3vmlJ0t__normal.jpg,https://x.com/AlfiahWM/status/1740598584628875716,tweet_id:1740598584628875716
,@dakdoong,2023-12-29T04:01:26.000Z,False,lagu gue kalo lg demam tinggi,1,0,0,115,[],[],[],https://pbs.twimg.com/profile_images/1776887612244111360/TkdAAtK8_normal.jpg,https://x.com/dakdoong/status/1740583781432738297,tweet_id:1740583781432738297
