Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
kenzo,@tartapplesauce,2023-12-31T12:56:44.000Z,False,"juni: coinfeksi sifilis+hiv, bronkitis, kulit ruam sebadan-badan, GERD PARAH, diare 2 minggu , bb turun 6 kg, demam 39 derajat celsius.

juli: tipes, badan menggigil padahal udah pakai 5 selimut, badan PEGAL LUAR BIASA terutama betis, gak mempan pakai paracetamol. ngeri bgt hiyyy",2,0,1,4.4K,[],[],[],https://pbs.twimg.com/profile_images/1914155705877344256/yCZTYIdh_normal.jpg,https://x.com/tartapplesauce/status/1741443269471674510,tweet_id:1741443269471674510
Dato' Dr. Haji Mohd Fadzilah Kamsah (Official),@fadzilahkamsah_,2023-12-31T04:00:26.000Z,False,"Luluh hati bila tengok anak kecil yang ada ekzema!

Gatal-gatal sepanjang hari.Ruam berbiji dan berair.

Lagi-lagi di tempat kulit yang berlipat. 

Ini petua orang tua nak hilangkan ekzema. 

Ini adalah thread.",5,510,1.2K,113K,[],[],[],https://pbs.twimg.com/profile_images/1499590261512413186/wJMYGX15_normal.jpg,https://x.com/fadzilahkamsah_/status/1741308306008993967,tweet_id:1741308306008993967
ᡣ𐭩,@goodkarma88,2023-12-31T02:32:51.000Z,False,"Jidat bruntusan, kulit lagi ruam, badan makin gede, ni kayaknya stress ples ples",0,0,0,131,[],[],[],https://pbs.twimg.com/profile_images/1894974501001043968/0jpECEdt_normal.jpg,https://x.com/goodkarma88/status/1741286264522027044,tweet_id:1741286264522027044
Granville.Wehnercnh,@wehnercnh,2023-12-30T19:26:43.000Z,False,Sleek Baby Natural Antibacterial Diaper Cream Tube 80ml Original Asli Mencegah Ruam Popok Bayi Balita Newborn Anak Baru Lahir Kulit Sensitif O6X6GCVhttps://invl.io/clg4avi?imcFePw,0,0,0,50,[],[],[],https://pbs.twimg.com/profile_images/1585167992865771523/XUwPvyXY_normal.jpg,https://x.com/wehnercnh/status/1741179022896193843,tweet_id:1741179022896193843
Media Indonesia,@mediaindonesia,2023-12-30T13:50:05.000Z,True,"Gandeng Dokter dan Rumah Sakit, Makuku Edukasi Para Ibu Seputar Ruam Kulit  https://mediaindonesia.com/humaniora/640989/gandeng-dokter-dan-rumah-sakit-makuku-edukasi-para-ibu-seputar-ruam-kulit…",0,0,0,678,[],[],[],https://pbs.twimg.com/profile_images/1881952191126331392/jiRnunoW_normal.jpg,https://x.com/mediaindonesia/status/1741094306117828923,tweet_id:1741094306117828923
𝐟𝐚𝐫,@viviandzzar,2023-12-29T19:13:25.000Z,True,saya tak ada eczema tapi saya ada sensitive skin . pakai sabun antiseptik je mesti kulit jadi kering and melecet  peluh nanti dia naik ruam . kulit boleh terima sabun yang jenis susu-susu je ,0,0,0,306,[],[],"['\\U0001f972', '\\U0001f972']",https://pbs.twimg.com/profile_images/1880504945696550912/J9nE_qit_normal.jpg,https://x.com/viviandzzar/status/1740813289763016975,tweet_id:1740813289763016975
meimei,@_jedagjedug,2023-12-29T15:26:46.000Z,False,"Dari sejug,jadi secawan. Dari tiap2 hari zus coffee jadi sebulan sekali. Nampak la beza kesihatan kulit tu. Dari kusam + 'berumur'+ruam/gelap di certain tempat, kepada kulit yg elok.",0,0,0,49,[],[],[],https://pbs.twimg.com/profile_images/1624391748465356800/oM1XKPZJ_normal.jpg,https://x.com/_jedagjedug/status/1740756250923839707,tweet_id:1740756250923839707
Tips Belajar - Kesehatan Mental - Edukasi Seksual,@majalahsunday,2023-12-29T02:58:30.000Z,False,"Terjadi luka pada alat kelamin
Melakukan PMO secara berlebihan dan tidak wajar bisa menyebabkan ruam dan kemerahan pada area kelamin. Ruam terjadi akibat kondisi kulit yang kering atau tangan yang kotor saat melakukan aktivitas seksual.",1,0,0,431,[],[],[],https://pbs.twimg.com/profile_images/1731646369637744640/f1YAQr9s_normal.jpg,https://x.com/majalahsunday/status/1740567942801297526,tweet_id:1740567942801297526
dini wini biti,@andznz,2023-12-29T02:44:29.000Z,True,"sebenernya kulit kita tu ada unsur parabennya juga. 

biar less-irritation sebaiknya pakai yg spray, krn di bbrp orang menimbulkan ruam spt luka bakar. tp kl maskun cocok monggo diteruskanku share artikel di bawah ini spy ga terdengar fear-mongering. utk jurnalnya blm baca",0,0,0,150,[],[],['\\U0001f64f\\U0001f3fb'],https://pbs.twimg.com/profile_images/1885912640511463425/FUZ5oVL__normal.jpg,https://x.com/andznz/status/1740564417572643072,tweet_id:1740564417572643072
f m,@dodofm,2023-12-28T16:08:22.000Z,False,"Perasaan dulu sepanas apapun kulit oke² aja, giliran makin berumur tiba² muncul ruam merah sebadan ",0,0,2,97,[],[],['\\U0001f486'],https://pbs.twimg.com/profile_images/1432370629114617857/3X3k_gZM_normal.jpg,https://x.com/dodofm/status/1740404332569452745,tweet_id:1740404332569452745
Ajwa Wellness,@ajwa_wellness,2023-12-27T11:43:21.000Z,False,"Masalah Kulit dan kekurangan vitamin B5 : Sesetengah individu yang kekurangan vitamin B5 mungkin mengalami simptom berkaitan kulit, seperti kulit kering dan kasar atau ruam kulit.
.
@AjwaWellness",0,0,0,31,[],[],[],https://pbs.twimg.com/profile_images/1922260737839308801/CQyMcuYr_normal.jpg,https://x.com/ajwa_wellness/status/1739975248932737337,tweet_id:1739975248932737337
Kamu Ebook,@EbookKamu15860,2023-12-27T09:36:21.000Z,False,"Tahap Kedua (Secondary) atau stage 2 Jika tidak diobati, sifilis akan berkembang ke tahap kedua. Gejala tahap kedua melibatkan munculnya ruam kulit, demam, nyeri otot, dan pembengkakan kelenjar getah bening. Gejala ini bisa muncul beberapa minggu atau bulan setelah chancre muncul",1,0,0,479,[],[],[],https://pbs.twimg.com/profile_images/1739937076798513152/ONvqet86_normal.png,https://x.com/EbookKamu15860/status/1739943289607053440,tweet_id:1739943289607053440
