Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
strip,@rnautidur,2025-02-28T01:54:09.000Z,False,"Dari diagnosa lambung di puskesmas, masuk ugd rumah sakit jadi nya dbd gimana ya ",0,0,0,104,[],[],['\\U0001f605'],https://pbs.twimg.com/profile_images/1916346570037202945/qkb2WfHk_normal.jpg,https://x.com/rnautidur/status/1895291369054433745,tweet_id:1895291369054433745
lupiz,@laprakfighters,2025-02-27T06:19:15.000Z,False,"Semenjak kena dbd kemarin. Badan gua sakit-sakit semua, apalagi pas tau trombosit gua berkurang terus sampe hampir 20.000 doang. Kepala rasanya pusing banget, sampai terbesit pikiran, ""gini ya rasanya hampir sekarat, nggak kuat lagi kalo trombosit masih berkurang terus.""",1,0,0,201,[],[],[],https://pbs.twimg.com/profile_images/1851782180927897600/YlMCzGEa_normal.jpg,https://x.com/laprakfighters/status/1894995694987116744,tweet_id:1894995694987116744
᪥,@hirunkave,2025-02-26T23:23:10.000Z,False,"orangtuaku dulu pernah ngomong gini juga sebelum ngeliat the truly effect, waktu itu aku sakit dbd yang udah di tingkat parah, trombosit udah rendah banget. badan berdarah sana sini, mimisan dll. 4 hari di rawat gak ada kemajuan sama sekali malah makin rendah di hari ke empat itu",1,0,1,129,[],[],[],https://pbs.twimg.com/profile_images/1883380639157878784/G_2qFRG4_normal.jpg,https://x.com/hirunkave/status/1894890982321332268,tweet_id:1894890982321332268
❤︎,@utahitme,2025-02-26T16:38:32.000Z,False,"Yang disitu aku sampe dbd anjir, sekali sakit kayak udah mau meninggoy ",1,0,0,24,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1925739507967533056/4yrincl4_normal.jpg,https://x.com/utahitme/status/1894789155466682673,tweet_id:1894789155466682673
Donatkentang,@dntkntngg_,2025-02-26T13:47:31.000Z,False,"Demam udah semingguan :
pengen hp DBD mending buru diperiksain dulu ya takutnya adekmu kena DBD, gausah mikir sakit = dijanjiin beli barang.. adekmu bukan balita udah gede kelas 1 SMA",0,0,1,188,[],[],"['\\u274e', '\\u2705']",https://pbs.twimg.com/profile_images/1922297128552169475/cm2MFXWY_normal.jpg,https://x.com/dntkntngg_/status/1894746117163946049,tweet_id:1894746117163946049
meitaa,@taloisee,2025-02-26T13:28:02.000Z,False,MAKASIHH BANYAK ZEYIII kayaknya ini gara² sakit dari lama tapi akunya gak peduliin jadi sakitnya makin numpuk pas priksa sma dokter bisa jadi dbd/tipes (SEMOGA AJA GAK) ,0,0,0,40,[],[],"['\\U0001f979', '\\U0001f497', '\\U0001f614']",https://pbs.twimg.com/profile_images/1877266171277488128/738vvo2c_normal.jpg,https://x.com/taloisee/status/1894741211472334955,tweet_id:1894741211472334955
dz,@dalkomaneo,2025-02-26T11:32:14.000Z,False,PUNYAAA. Waktu itu habis sakit dbd. Langsung dikabul mama pengen punya baju sama tas stroberi,0,0,0,28,[],[],['\\U0001f923'],https://pbs.twimg.com/profile_images/1908098355714207744/npr6DCR4_normal.jpg,https://x.com/dalkomaneo/status/1894712072384180644,tweet_id:1894712072384180644
M,@maharaniDJ,2025-02-25T22:24:22.000Z,False,"raline pernah wank, 5 hari dirumah sakit. tiap hari mesti diambil darah. kalo udah 3 hari demam dikasih parcet gaturun2 fix itu dbd / kena virus/ bakteri dipencernaan. bawa ke igd ajaa kalo panasnya emg masih turun naik udah 3 hari wank",0,0,0,71,[],[],[],https://pbs.twimg.com/profile_images/1722975415902593024/fRpauX1e_normal.jpg,https://x.com/maharaniDJ/status/1894513798738055528,tweet_id:1894513798738055528
diwuf♡‧✩,@luvstarwuf,2025-02-25T13:25:36.000Z,False,Kayaknya gua kalo dibawa ke rumah sakit bakalan kena diagnosa DBD dehSoalnya sekarang badan gua masih lemes,1,0,0,68,[],[],"['\\U0001f62d', '\\U0001f614', '\\U0001f92e']",https://pbs.twimg.com/profile_images/1924417063856054272/C5velQsP_normal.jpg,https://x.com/luvstarwuf/status/1894378213230743698,tweet_id:1894378213230743698
fara,@lalarkaiv,2025-02-25T04:20:28.000Z,False,Tapii gue kesel bngt  kenapa gue harus menghadapi situasi ini ya? Ya Allah leson hidup yg ini belum tuntas kahh? Apa caranya salah? Gimana caranya? Selalu kayak gitu  selalu ngadepin orang sakit pas mau puasa dulu tiga tahun berturut2 dbd pas mau puasa/ pas puasa.,1,0,0,18,[],[],"['\\U0001f62d', '\\U0001f62d', '\\u263a\\ufe0f']",https://pbs.twimg.com/profile_images/1923737073921470464/EDumWOLh_normal.jpg,https://x.com/lalarkaiv/status/1894241024312316208,tweet_id:1894241024312316208
