Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
nettanya,@furinaikhaji,2025-01-31T15:20:53.000Z,False,"Tapi ponakanku dbd dikasih snack teh anget ada kacang ijonya, sedangkan dbd ga dianjurkan konsumsi yang ada kafeinnyaPas ayahku sakit, ahli gizinya pas visite bilang mau dikasih nasi tim
Pas yang dateng nasi biasa dan kerasa https://x.com/FOODFESS2/stat/FOODFESS2/status/1885132181938352396…",2,0,0,132,[],[],['\\U0001f64f'],https://pbs.twimg.com/profile_images/1904427775865577472/di6nL3QH_normal.png,https://x.com/furinaikhaji/status/1885347529665241183,tweet_id:1885347529665241183
matchaaaa,@_Opacarophile_4,2025-01-31T14:31:38.000Z,False,"Pernah ada di moment waktu bapa di rawat di RS karna DBD, dari awal masuk RS sampe dirawat dan nungguin dari pagi itu aku, Kakaku bagian malam, itupun datangnya malam powl sedangkan aku? Aku dari pagi bahkan bapa bilang 'ges uwih, bapa teu nanaon sorangan ge' ga sakit gimana coba",1,0,0,48,[],[],[],https://pbs.twimg.com/profile_images/1883483143849865216/zfQJca-H_normal.jpg,https://x.com/_Opacarophile_4/status/1885335136029528093,tweet_id:1885335136029528093
nadunn,@naadun_,2025-01-31T14:17:10.000Z,True,"Pas dbd sebelum ranap inap di rs, makan hokben sm miso sup nya rasanya eneg bgt rasanya smpe skrg ga pernah mau lg makan hokben, setiap liat org makan hokben keinget pas sakit ",0,0,0,108,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1705927879564185600/MyuFRSq8_normal.jpg,https://x.com/naadun_/status/1885331493566001398,tweet_id:1885331493566001398
bay,@lostkiddie,2025-01-31T11:02:56.000Z,False,"Mood gua ni kayak sakit dbd siang fine fine aja, malem ancyurr",0,0,0,51,[],[],[],https://pbs.twimg.com/profile_images/1928368018641539074/Ru9Hxhxg_normal.jpg,https://x.com/lostkiddie/status/1885282611502997963,tweet_id:1885282611502997963
Moon So,@munsoyaa,2025-01-31T08:17:32.000Z,False,"Apaan gw sakit dbd makanannya ampas bet woiii, mana diomelin disuruh makan mulu biar trombosit naik, lah lu makan aja makanannya bjir malah makin gk napsu ",0,0,1,1.3K,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1537465890131783680/C5GOFYYo_normal.jpg,https://x.com/munsoyaa/status/1885240990048674160,tweet_id:1885240990048674160
Nursultan Tulyakbay,@disinimojo,2025-01-31T07:12:40.000Z,False,"fakk punya wifi kayak lagi sakit DBD, siang brebet, malem sehat ckck",0,0,0,50,[],[],[],https://pbs.twimg.com/profile_images/1382403760882741249/E9IdUuy6_normal.jpg,https://x.com/disinimojo/status/1885224662915047592,tweet_id:1885224662915047592
,@mahligaimerapa,2025-01-31T03:40:40.000Z,False,"sbnrnya waktu gw dbd makanan rumah sakit tuh enak enak aja, tp nasinya itu lho eneg bgt , lu tau dbd tuh ngaruh bgt ke pencernaan, gimana ga makin eneng ya nasi pekat lengket begitu, ga ngerti kenapa rs ngasih makannya tuh aneh""ga enak gt https://x.com/FOODFESS2/stat/FOODFESS2/status/1884953522241728645…",0,0,0,11,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1862894553826742272/pchBtnsW_normal.jpg,https://x.com/mahligaimerapa/status/1885171313251410016,tweet_id:1885171313251410016
lee dohyun's,@oanin,2025-01-31T02:52:51.000Z,False,"Waktu sd aku sakit tipes terus muak makan bubur mulu sedangkan di sebelah aku sakit dbd menu makannya sate. Terus aku ngomel ke mama kenapa yg sebelah boleh makan sate, tapi aku ga boleh https://x.com/FOODFESS2/stat/FOODFESS2/status/1884953522241728645…",0,0,0,125,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1888258131022815232/Dxc90Jji_normal.jpg,https://x.com/oanin/status/1885159277683499259,tweet_id:1885159277683499259
Suga Wife,@SugaWif,2025-01-31T01:49:17.000Z,False,"gw prnh gk kemakan krn bnrn gk enak,jd dimuntahin alhasil beli naspad pagi sore sebrang rmh sakit dan habis ya drpd hb gw gk naik"" dan lama dirmhskit  gara"" dbd  https://x.com/FOODFESS2/stat/FOODFESS2/status/1885132181938352396…",0,0,0,69,[],[],['\\u263a\\ufe0f'],https://pbs.twimg.com/profile_images/1843260551146897408/F4pNuiWd_normal.jpg,https://x.com/SugaWif/status/1885143282952659168,tweet_id:1885143282952659168
GC,@gitaacitra,2025-01-30T23:39:32.000Z,False,Iya bener  pernah masuk RS pas lg sakit dbd jg perasaan enak2 aja makanannya walaupun tampilannya gak semewah replies yg lain.,0,0,0,1K,[],[],['\\U0001f923'],https://pbs.twimg.com/profile_images/1479812294649335810/sam6VAgn_normal.jpg,https://x.com/gitaacitra/status/1885110628924461083,tweet_id:1885110628924461083
