Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Ester Wandoi,@EWandoi,2025-05-27T00:07:29.000Z,False,"Ini vaksin bukan sembarang vaksin – ini yang bisa cegah demam berdarah (itu DBD yang biasa bikin anak-anak sakit, panas tinggi, bikin panik satu rumah).",1,0,0,35,[],[],[],https://pbs.twimg.com/profile_images/1897098195152592898/6mNQmTX1_normal.jpg,https://x.com/EWandoi/status/1927154654158156051,tweet_id:1927154654158156051
BBC News Indonesia,@BBCIndonesia,2025-05-22T02:05:34.000Z,True,Sejumlah pasien dengan gejala Demam Berdarah Dengue (DBD) di beberapa daerah ditolak rumah sakit—bahkan ada yang meninggal karena terlambat ditangani—dengan alasan tidak ditanggung lagi oleh BPJS Kesehatan. Apa yang terjadi?,0,2,5,1.7K,[],[],[],https://pbs.twimg.com/profile_images/986090676097110016/TpPVOD7j_normal.jpg,https://x.com/BBCIndonesia/status/1925372433147863389,tweet_id:1925372433147863389
.,@na_reverie,2025-05-21T11:52:18.000Z,False,"Tiba-tiba memori ketika aku sakit demam berdarah kemarin kembali

And I feel so tired sleepy and depressed now lol",0,0,0,46,[],[],[],https://pbs.twimg.com/profile_images/1899572374393212928/hzV49_fM_normal.jpg,https://x.com/na_reverie/status/1925157701279273221,tweet_id:1925157701279273221
艾娜,@match_alattetea,2025-05-21T10:32:01.000Z,False,"Gue emang sesusah itu naikin bb anjir. 

Gue pas kena demam berdarah, bb gue langsung turun 10kg. Padahal sakit sekitar seminggu lebih dikit",0,0,0,35,[],[],[],https://pbs.twimg.com/profile_images/1923387163519107072/MF35Pa6p_normal.jpg,https://x.com/match_alattetea/status/1925137499594350944,tweet_id:1925137499594350944
Farmasi Anees Kuantan,@FarmasiAnees,2025-05-20T13:11:47.000Z,False, 𝐁𝐢𝐥𝐚 𝐏𝐞𝐫𝐥𝐮 𝐉𝐮𝐦𝐩𝐚 𝐃𝐨𝐤𝐭𝐨𝐫 𝐒𝐞𝐠𝐞𝐫𝐚?  Kahak berdarah  Berat badan turun tanpa sebab  Demam berpanjangan  Sesak nafas atau sakit dada .  Dapatkan pemeriksaan awal & nasihat perubatan yang betul.,1,0,0,37,[],[],"['\\U0001f4cc', '\\u2714\\ufe0f', '\\u2714\\ufe0f', '\\u2714\\ufe0f', '\\u2714\\ufe0f', '\\U0001f48a']",https://pbs.twimg.com/profile_images/1226399948876308480/7a-81Jr-_normal.jpg,https://x.com/FarmasiAnees/status/1924815315952976075,tweet_id:1924815315952976075
Media Indonesia,@mediaindonesia,2025-05-20T05:30:00.000Z,True,Saat ini tengah viral banyaknya warga Gresik yang kesulitan menggunakan BPJS Kesehatan di rumah sakit terkait dengan meningkatnya kasus demam berdarah (DBD) di daerah tersebut,0,0,0,362,[],[],[],https://pbs.twimg.com/profile_images/1881952191126331392/jiRnunoW_normal.jpg,https://x.com/mediaindonesia/status/1924699104149414124,tweet_id:1924699104149414124
Nameless Surfee,@NSurfee,2025-05-20T00:51:55.000Z,False,"Karena gue ga makan babi, ni gw sebutin penyakit terkait daging babi
1. Trikinosis
2. hepatitis E
3. Flu Babi
4. Brucellosis
5. Clostridium perfringen (kram perut, diare, mual, gangren)
6. Yersiniosis (diare, berak berdarah, muntah, demam, sakit perut spt usus buntu)",2,0,0,80,[],[],[],https://pbs.twimg.com/profile_images/1605104207530692609/ohFxFgTx_normal.png,https://x.com/NSurfee/status/1924629121847673140,tweet_id:1924629121847673140
Ya?,@tasahh,2025-05-15T20:56:26.000Z,False,"Its 5am and i tak boleh tidur dengan badan panas, sakit kepala, hidung berdarah. 
I tak sukaa betul demam time panas ni.",0,0,0,33,[],[],[],https://pbs.twimg.com/profile_images/1925147938839531520/rhU-POnm_normal.jpg,https://x.com/tasahh/status/1923120308577300699,tweet_id:1923120308577300699
(쭈),@dajiseok,2025-05-14T14:48:19.000Z,False,bro sehari ga ganteng langsung meriang panas dingin sakit gigi sakit jiwa menggigil flu dan batuk demam berdarah gemeter mental lemah yupi bengbeng taro teajus tos tos,0,0,0,85,[],[],[],https://pbs.twimg.com/profile_images/1908200368510820355/umPJNI9v_normal.jpg,https://x.com/dajiseok/status/1922665282285220110,tweet_id:1922665282285220110
dale,@cloudcorerouter,2025-05-14T00:22:08.000Z,False,"Ngga lagi2 maen sama T dominant, literally udh hampir seminggu masih sakit, sempet demam, dan poop sampe berdarah jg",0,0,0,33,[],[],['\\U0001f979'],https://pbs.twimg.com/profile_images/1808147852646047745/PlvHp6Ei_normal.jpg,https://x.com/cloudcorerouter/status/1922447299365548306,tweet_id:1922447299365548306
siapakamu,@temennyalalapoh,2025-05-13T07:12:09.000Z,False,"Beli obat Demam berdarah ( DBD ) juga udah gak mampu.
Punya pegangan 1 juta sebelumnya, adik sakit kena DBD, habis 900rb
Di rawat udah hampir seminggu.
Aku pun ngawet² uang sisaku yang nominalnya 100rb selama 4 hari ini, nyesek ya karena udah gak bisa bantu lagi
Mau nangis aja",0,0,0,266,[],[],['\\U0001f60a'],https://pbs.twimg.com/profile_images/1832015744261058560/993tB2H7_normal.jpg,https://x.com/temennyalalapoh/status/1922188098680619326,tweet_id:1922188098680619326
bn,@bnuratmaja,2025-05-13T03:35:24.000Z,False,"ga bisa nyemangatin kamu, karena aku pun ga semangat bi... semenjak kamu ga pernah live lagi aku darah rendah, sakit kepala, batuk, demam berdarah, sakit gigi, radang tenggorokan, cacar air, migrain, hipertensi, keseleo, dan cegukan ",2,1,0,623,[],[],"['\\U0001f614', '\\U0001f614', '\\U0001f614', '\\U0001f614', '\\U0001f614']",https://pbs.twimg.com/profile_images/1876402086201696256/TAAmdnh5_normal.jpg,https://x.com/bnuratmaja/status/1922133547969618420,tweet_id:1922133547969618420
Grok,@grok,2025-05-10T10:29:31.000Z,True,"Kalau mengunjungi orang sakit Demam Berdarah, bawa kado yang mendukung pemulihan dan sesuai budaya Indonesia. Berikut ide:

1. Buah-buahan seperti pepaya atau delima: Membantu hidrasi dan meningkatkan trombosit, cocok secara budaya.
2. Minuman hidrasi: Air kelapa atau larutan",0,0,0,63,[],[],[],https://pbs.twimg.com/profile_images/1893219113717342208/Vgg2hEPa_normal.jpg,https://x.com/grok/status/1921150603298041903,tweet_id:1921150603298041903
abelalbazia,@AbelAlbazia,2025-05-10T10:27:04.000Z,True, Bawa kado apa ya kalo mengunjungi orang yang sakit Demam Berdarah?,1,0,0,21,[],['@grok'],[],https://pbs.twimg.com/profile_images/1593465138686103554/7SDaCjHY_normal.jpg,https://x.com/AbelAlbazia/status/1921149985506078813,tweet_id:1921149985506078813
,@rehabilitass,2025-05-10T10:15:21.000Z,False,itu bintik” merah karena sakit demam berdarah,1,0,0,83,[],[],[],https://pbs.twimg.com/profile_images/1893698792202948608/7XNWw3pu_normal.jpg,https://x.com/rehabilitass/status/1921147038705529310,tweet_id:1921147038705529310
Adam,@Maldevvan,2025-05-09T14:28:33.000Z,False,"Kalau gua iya, lebih tahan sakit berdarah-darah daripada demam",0,0,0,24,[],[],[],https://pbs.twimg.com/profile_images/1924038657394028544/Z3-GUD9D_normal.jpg,https://x.com/Maldevvan/status/1920848369208975570,tweet_id:1920848369208975570
Grok,@grok,2025-05-07T05:03:21.000Z,True,"Nyamuk *Aedes*, seperti yang ada di gambar, bisa menularkan penyakit berbahaya bagi manusia, terutama di daerah tropis seperti Indonesia. Penyakit yang sering ditularkan meliputi:

- Demam berdarah (dengue): Gejalanya demam tinggi, sakit kepala parah, nyeri otot, dan bisa fatal",0,0,2,759,[],[],[],https://pbs.twimg.com/profile_images/1893219113717342208/Vgg2hEPa_normal.jpg,https://x.com/grok/status/1919981356349849966,tweet_id:1919981356349849966
naira.,@mynairaschon,2025-05-07T02:53:11.000Z,False,"kayaknya tergantung rumah sakit sih, aku waktu tipes sama demam berdarah opname di rs terkenal di kotaku emang enak² makanannya. Tapi waktu operasi di rs swasta di bawahnya kurang enak https://x.com/FOODFESS2/stat/FOODFESS2/status/1919941706621022419…",1,0,0,97,[],[],[],https://pbs.twimg.com/profile_images/1837480080928591872/I8R3qmAS_normal.jpg,https://x.com/mynairaschon/status/1919948600257163329,tweet_id:1919948600257163329
