Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Zulfan Dalimunthe,@ZulfanDali55891,2024-12-31T17:42:49.000Z,False,"Penyakit itu berawal dr masuk angin.terus menimbulkan sakit kepala,demam ada juga pilek,radang tenggorokan,nyeri dll.
Utk itu jaga pola makan GK usah percaya dgn Corona dan sejenisnya.",0,0,0,681,[],[],[],https://pbs.twimg.com/profile_images/1847899294986358785/iJxo3twz_normal.png,https://x.com/ZulfanDali55891/status/1874149222112727347,tweet_id:1874149222112727347
ecii.,@abcid_e,2024-12-31T17:18:56.000Z,False,"Rekor 3 th berturut-turut sakit di 31 des & 1 jan, kepala rasanya mau copot, demam, keliyengan...",0,0,0,14,[],[],[],https://pbs.twimg.com/profile_images/1804541672027717632/RPGoNolz_normal.jpg,https://x.com/abcid_e/status/1874143213017268315,tweet_id:1874143213017268315
,@ahorayoumeves,2024-12-31T16:55:43.000Z,True,"Manee, gue tiap minggu kek nya ada aja sakit, terutama sakit kepalaKemarin belum lama juga pingsan dirumahDemam iya bentar, tp gampang muncul lagi dalam itungan jam",0,0,0,95,[],[],[],https://pbs.twimg.com/profile_images/1781653513422147584/bq34n_on_normal.jpg,https://x.com/ahorayoumeves/status/1874137369227743669,tweet_id:1874137369227743669
puput,@trxanue,2024-12-31T16:20:03.000Z,False,"Teman saya O, tapi gampang sakit. Seringnya nyerang kepala sama perut. Pingsan beberapa kali. Terakhir pingsan beberapa bulan lalu. Demam lama. Rewel pula.",0,0,0,493,[],[],[],https://pbs.twimg.com/profile_images/1895545200346275840/WKJLpGOt_normal.jpg,https://x.com/trxanue/status/1874128395703115933,tweet_id:1874128395703115933
Kementerian Kesehatan RI,@KemenkesRI,2024-12-31T15:16:08.000Z,True,"Penderita TBC otak biasanya mengalami keluhan seperti rasa letih, lemas, nyeri otot, dan demam yang naik turun

Penderita TBC otak juga kerap mengeluhkan sakit kepala dan kekakuan leher dan kadang mengalami gangguan tingkat kesadaran",1,0,0,601,[],[],[],https://pbs.twimg.com/profile_images/1754511736122863616/yTnsuzzE_normal.jpg,https://x.com/KemenkesRI/status/1874112308697587871,tweet_id:1874112308697587871
ChocoCheeseCake,@cccake_21,2024-12-31T15:00:58.000Z,False,"sekali sakit langsung kroyokan

batuk, pilek, demam, kepala pusing dll",0,0,0,47,[],[],[],https://pbs.twimg.com/profile_images/1670463679266172928/mxMTfvBv_normal.jpg,https://x.com/cccake_21/status/1874108491063058754,tweet_id:1874108491063058754
Anata⋆˙ִ ࣪𖤐,@astriaknyght,2024-12-31T14:25:41.000Z,False,"Masih zizi  aku sakit kepala, flu, batuk, kayaknya mau demam juga deh. Aku sampai beli jamu ",0,0,0,30,[],[],"['\\U0001f97a', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1916548805811671040/-sXkHGeN_normal.jpg,https://x.com/astriaknyght/status/1874099613848002813,tweet_id:1874099613848002813
Rafiqha Mustaffa,@rafiqhamustaffa,2024-12-31T13:20:37.000Z,True,"Baca ni buatkan aku rindu dekat arwah mak. 7 tahun dapat rasa dimanjakan oleh mak mentua. Sakit demam mak jaga elok. Masakkan. Tuamkan kepala etc. 

Haihh rindu pula hati ni.",0,0,0,211,[],[],[],https://pbs.twimg.com/profile_images/1651863864374616066/aVhhYRL__normal.jpg,https://x.com/rafiqhamustaffa/status/1874083239004102839,tweet_id:1874083239004102839
에리,@_qyszrshd,2024-12-31T12:04:45.000Z,False,lah ingat dah sihat tiber datang balik demam selsema sakit kepala ni ‍ dia suruh extend jangan balik klate ke ni ek tapi dah beli tiket ,0,0,0,17,[],[],"['\\U0001f642', '\\u2195\\ufe0f', '\\U0001f642']",https://pbs.twimg.com/profile_images/1877375135663140867/p-z6sG9d_normal.jpg,https://x.com/_qyszrshd/status/1874064147677405645,tweet_id:1874064147677405645
ruth open commis manips,@0113gb,2024-12-31T09:27:58.000Z,False,demam sama sakit kepala  iyaa maaci dewww ,0,0,0,24,[],[],"['\\U0001f979', '\\U0001faf0', '\\U0001faf0']",https://pbs.twimg.com/profile_images/1876466265092685824/3au79x51_normal.jpg,https://x.com/0113gb/status/1874024691607961655,tweet_id:1874024691607961655
???,@imafatmawt,2024-12-31T08:48:45.000Z,False,"tiba tiba badan menggigil , sakit kepala , tenggorokan kering buat nelen sakit, punggung pegel nyeri, badan mulai panas. welcome demam ",3,0,1,334,[],[],['\\U0001f912'],https://pbs.twimg.com/profile_images/1896171532680126464/SOsTgBxS_normal.jpg,https://x.com/imafatmawt/status/1874014821009809899,tweet_id:1874014821009809899
kain •• 不死川,@marimosyuga,2024-12-31T07:23:02.000Z,False,Pengen pulang aja boleh ga si? Gw tbtb demam sakit kepala ,0,0,0,98,[],[],['\\U0001f614'],https://pbs.twimg.com/profile_images/1919574778647871489/5mHasyuf_normal.jpg,https://x.com/marimosyuga/status/1873993251688243310,tweet_id:1873993251688243310
cikbeby,@Shyraaa_,2024-12-31T06:38:43.000Z,False,"influenza mcm covid tau gais xlalu makan , muntah , sakit kepala demam xda deria rasa selesema",0,0,0,65,[],[],[],https://pbs.twimg.com/profile_images/1180588126709805057/JvxgzmAD_normal.jpg,https://x.com/Shyraaa_/status/1873982096882229350,tweet_id:1873982096882229350
nao,@mngidam,2024-12-31T05:44:58.000Z,False,adulting be like updating cv sambil demam + flu + sakit kepala,0,0,0,15,[],[],['\\U0001f494'],https://pbs.twimg.com/profile_images/1920839582666334208/8iUaGsnZ_normal.jpg,https://x.com/mngidam/status/1873968570943868972,tweet_id:1873968570943868972
E.,@halfofcha,2024-12-31T05:35:59.000Z,False,Kita sambut new year dengan sakit kepala dan demam ,0,0,0,50,[],[],['\\U0001f44d\\U0001f3fb'],https://pbs.twimg.com/profile_images/1927385007682736128/xHGqvWBD_normal.jpg,https://x.com/halfofcha/status/1873966308121075888,tweet_id:1873966308121075888
Hadeeh,@BDMTBJIRR,2024-12-31T01:50:52.000Z,False,"Tutup 2024 dengan demam naik turun dah 5 hari, aktivitas dikit udah lemes kek gak makan dua hari, makan dikit karna cape, sakit kepala, batuk, flu. Tapi harus menguatkan diri soalnya anak bungsu (semua tetap harus dikerjakan sendiri)",1,0,0,46,[],[],['\\U0001f64f\\U0001f3fb'],https://pbs.twimg.com/profile_images/1680001067734671361/2QIK2ckV_normal.jpg,https://x.com/BDMTBJIRR/status/1873909657095594103,tweet_id:1873909657095594103
𝖓𝖌𝖊,@its_nge,2024-12-31T00:18:36.000Z,False,plis jangan demam :( tapi kepala dah sakit dari semalem,0,0,0,231,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1797609686981808128/1F_Bd44Y_normal.jpg,https://x.com/its_nge/status/1873886439014097319,tweet_id:1873886439014097319
,@aprkxx,2024-12-30T23:24:03.000Z,False,"Kalo lemes ngantuk bisa aja tensinya turun, kalo lemes ada demam mual muntah bisa aja gejala tipes, kalo lemes kepala sakit batin capek pertanda kekurangan duit ",1,0,0,110,[],[],['\\U0001f923'],https://pbs.twimg.com/profile_images/1925109226797707264/ZkgG2vvk_normal.jpg,https://x.com/aprkxx/status/1873872711480729911,tweet_id:1873872711480729911
