Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
YourBaby,@foawly,2024-12-31T20:55:26.000Z,False,"Terkadang, iritasi juga bisa menyebabkan munculnya bintik-bintik kecil, ruam, atau bahkan lepuhan di area yang terkena. Penyebab iritasi kulit bisa beragam, mulai dari reaksi terhadap produk perawatan kulit, paparan bahan kimia tertentu, hingga cuaca ekstrem atau alergi.

Berikut",1,0,1,156,[],[],[],https://pbs.twimg.com/profile_images/1820737350399385600/zrKEuwq4_normal.jpg,https://x.com/foawly/status/1874197696158065026,tweet_id:1874197696158065026
Qina,@sluibt,2024-12-30T19:55:12.000Z,True,"Dapat mengatasi berbagai permasalahan kulit kering dan digunakan pada garis senyum, bawah mata, ujung rambut kering, siku, lutut, leher, kutikula, stretch mark, ruam, dan lainnya. Produk ini sangat cocok untuk kamu yang males ribet dan suka hal-hal yang praktis!",1,0,0,173,[],[],[],https://pbs.twimg.com/profile_images/1820739449627746304/jrFN5ms1_normal.jpg,https://x.com/sluibt/status/1873820151235436558,tweet_id:1873820151235436558
F A T K H U R,@Free_Fatkhur,2024-12-30T13:26:41.000Z,True,"3. Menenangkan Kulit yang Merah dan Iritasi Sifat antiinflamasi dalam teh daun ki urat untuk mengatasi gigitan dan sengatan serangga juga membuat teh ini juga berkhasiat untuk mengatasi jerawat (termasuk jerawat poison ivy) luka bakar, lecet, ruam, dan sengatan sinar matahari.",1,0,1,68,[],[],[],https://pbs.twimg.com/profile_images/1835953879202357249/Xcgn977R_normal.jpg,https://x.com/Free_Fatkhur/status/1873722376669757809,tweet_id:1873722376669757809
Tanyarlfes,@tanyarlfes,2024-12-30T07:23:40.000Z,True,"  tw // kulit, bentol

guys mau tanya, ada yang tau ga ya ini kenapa? jadi dia kayak muncul semacem ruam gitu (tapi ga merah), ga gatel. tapi makin hari kek makin banyak. dia muncul cuman di bagian paha sama bawah pergelangan tangan. ada yang tau cara (cont)",14,1,0,6.1K,[],[],"['\\U0001f49a', '\\u26a0\\ufe0f']",https://pbs.twimg.com/profile_images/1610613801526890500/aBOa83uV_normal.jpg,https://x.com/tanyarlfes/status/1873631022799339523,tweet_id:1873631022799339523
ninu ninu,@Aninzuliii,2024-12-30T07:15:19.000Z,False,"Kenapa Surabaya? Soalnya gue as org bandung sejak orok, yg cuacanya 11-12 sama malang, Surabaya adalah kota terpanas yg ga bisa gue toleransi tiap ke sana, auto ruam ruam kulit gue. Kota kota panas lainnya masih bisa gue tahan kecuali Surabaya ntah panasnya ga cocok di gue",0,0,0,212,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1258252707745292288/CXwKmRFg_normal.jpg,https://x.com/Aninzuliii/status/1873628921050415207,tweet_id:1873628921050415207
๋࣭ ˖ 𐔌 𝐶𝐻𝐴𝐸𝑅𝑌 ࿐ . ۫,@SFT01CHAERY,2024-12-29T23:36:36.000Z,False,"Selain hidung dan pipi, tangan dan pergelangan tangan merupakan bagian tubuh lain yang mungkin mengalami ruam. Ruam pada kulit akibat SLE dapat membekas secara permanen dan bertambah parah jika terpapar sinar matahari akibat reaksi fotosensitivitas.",1,0,0,60,[],[],[],https://pbs.twimg.com/profile_images/1928322695458082819/Yg7F2Qh7_normal.png,https://x.com/SFT01CHAERY/status/1873513479715663952,tweet_id:1873513479715663952
๋࣭ ˖ 𐔌 𝐶𝐻𝐴𝐸𝑅𝑌 ࿐ . ۫,@SFT01CHAERY,2024-12-29T23:36:09.000Z,False,2. Ruam pada KulitRuam kulit yang menyebar pada batang hidung dan pipi merupakan ciri khas dari SLE. Gejala ini memiliki istilah medis ruam kupu-kupu (butterfly rash) karena bentuknya yang mirip sayap kupu-kupu.,1,0,0,77,[],[],[],https://pbs.twimg.com/profile_images/1928322695458082819/Yg7F2Qh7_normal.png,https://x.com/SFT01CHAERY/status/1873513367266349327,tweet_id:1873513367266349327
๋࣭ ˖ 𐔌 𝐶𝐻𝐴𝐸𝑅𝑌 ࿐ . ۫,@SFT01CHAERY,2024-12-29T23:33:46.000Z,False,"Berikut ini beberapa gejala DLE:

1. Rambut rontok.
2. Pitak permanen.
3. Ruam merah dan bulat, seperti sisik pada kulit yang terkadang akan menebal dan menjadi bekas luka.",1,0,0,79,[],[],[],https://pbs.twimg.com/profile_images/1928322695458082819/Yg7F2Qh7_normal.png,https://x.com/SFT01CHAERY/status/1873512765270491302,tweet_id:1873512765270491302
skincarecracy | UGC Creator and Affiliator,@skincarecracy,2024-12-29T05:46:00.000Z,False,"Kalau anak lagi ruam popok, eksim, kulit kering dan gatal serta flu Singapur pasti bikin rewel seharian, tapi untungnya ada body lotion yang bisa dipakai disegala masalah kulit anak yes dari moell body lotion  aman juga buat kulit sensitif https://id.shp.ee/puyzrna?smtt=0.0.9…",1,0,0,381,[],[],['\\U0001f4af'],https://pbs.twimg.com/profile_images/1785975629374164992/BFMgDxsw_normal.jpg,https://x.com/skincarecracy/status/1873244055490183647,tweet_id:1873244055490183647
VOA Indonesia,@voaindonesia,2024-12-28T23:01:01.000Z,True,"Orang tua yang dulu berenang dengan riang di laut, kini harus memperingatkan anak-anak mereka untuk menjauhi air laut agar tak terkena ruam di kulit mereka. [3]",1,0,0,17,[],[],[],https://pbs.twimg.com/profile_images/1654213671155892224/nGa2ACWc_normal.jpg,https://x.com/voaindonesia/status/1873142139313602815,tweet_id:1873142139313602815
F A T K H U R,@Free_Fatkhur,2024-12-28T14:18:42.000Z,True,"6. Membantu Menjaga Kesehatan KulitSelain untuk kesehatan internal,  juga bermanfaat untuk perawatan kulit. Ekstrak akar ini digunakan dalam beberapa produk herbal untuk membantu mengatasi masalah kulit seperti ruam, gatal-gatal, atau iritasi. Kandungan antioksidan dalam akar",1,0,1,45,[],[],[],https://pbs.twimg.com/profile_images/1835953879202357249/Xcgn977R_normal.jpg,https://x.com/Free_Fatkhur/status/1873010691743072380,tweet_id:1873010691743072380
asa,@dezsires,2024-12-28T12:44:49.000Z,False,ga ngerti deh. tiap pake handsaplast selalu ngebekas ruam gatel... tapi tetep bisa pake yg waterproof atau yg putih khusus kulit sensitif itu. weird situation jd ak slalu bawa handsaplast ak sendiri ke mana2 wkwk tkut dibutuhkan tp gaada yg punya.,1,0,0,13,[],[],[],https://pbs.twimg.com/profile_images/1837135881251205120/_MF5x0-Q_normal.jpg,https://x.com/dezsires/status/1872987064968663445,tweet_id:1872987064968663445
yall sleep on,@midoriyah_,2024-12-28T07:16:47.000Z,False,"new chapter gatel2 aku, konsul ke dokter kulit karena obat puskes ga kunjung sembuh dan ruam nya udah berubah bentuk, dan di diagnosis peradangan pada kulit karena atopi yg tadinya cuma ringworm kecil2 dan banyak berubah jd bentol2 kecil kasar merah sebadan",1,0,0,150,[],[],"['\\u2728', '\\u2728', '\\u2620\\ufe0f']",https://pbs.twimg.com/profile_images/1649449784753942528/pgMIz3v-_normal.jpg,https://x.com/midoriyah_/status/1872904511238684713,tweet_id:1872904511238684713
F A T K H U R,@Free_Fatkhur,2024-12-27T14:43:21.000Z,True,"Efek Samping dan Kontraindikasi Jarong
Meskipun jarong umumnya dianggap aman, beberapa efek samping dan kontraindikasi perlu dipertimbangkan.

Efek Samping
Mual
Muntah
Diare
Sakit perutRuam kulitPusing
Mengantuk
Kontraindikasi
Jarong tidak boleh digunakan oleh:

Wanita hamil",1,0,1,109,[],[],[],https://pbs.twimg.com/profile_images/1835953879202357249/Xcgn977R_normal.jpg,https://x.com/Free_Fatkhur/status/1872654508532371768,tweet_id:1872654508532371768
𝔻 𝕚 𝕤 𝕥 𝕪,@distyirayana,2024-12-27T10:02:36.000Z,False,"Selama ini denial gabisa kena matahari.
Skrg bali lagi mendung mulu + hampir setiap hari hujan
Hasilnya badan gue berasa enakan bgt, jarang sakit, merah2 ruam di kulit hilang. 

Berasa vampir yak tapi emamg begitu adanya dan gw harus terima :)",0,0,0,158,[],[],[],https://pbs.twimg.com/profile_images/1609582871450365954/TwwzZAmT_normal.jpg,https://x.com/distyirayana/status/1872583853195546801,tweet_id:1872583853195546801
