Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
K,@Kitty_Chi,2024-12-31T03:59:00.000Z,False,"Typhus, DBD jarang yg saya masukin ranap.
Saya selalu edukasi bagaimana cara merawat pasien typhus, DBD di rumah.
Sembuh, koq.
Ketika kamu ngga dikit* ranap (demam dikit, rawat, atau tanda tangan surat menolak rawat, nakutin keluarga), pasien bakal nyebarin sendiri tentang kamu.",1,0,0,77,[],[],[],https://pbs.twimg.com/profile_images/1918012093724495872/HVfGi49q_normal.jpg,https://x.com/Kitty_Chi/status/1873941903378702865,tweet_id:1873941903378702865
"Posie, Eight Legged Freak",@posie_dbd,2024-12-14T10:19:22.000Z,False,"- LORD COMMANDER EIDOLON / THE SHATTERED PRINCE
Just got a book. GW is hyping him up because he needs to be the sanest, probably *best* leader, our TyphusI do think his model will either *feature* his daemon half, Shattered Prince, or there'll be mention of him conquering it",1,0,0,17,[],[],[],https://pbs.twimg.com/profile_images/1925772708723261440/kSSol905_normal.png,https://x.com/posie_dbd/status/1867877029800292791,tweet_id:1867877029800292791
-rest-,@blackcat19204,2024-12-04T12:09:58.000Z,True,"Pas kecil :
1. DBD 
2. TyphusPas gede :
1. Kerja
2. Typhus3. Diare
4. Pasang pen kaki

Dari pas kecil takut jarum suntik.. sampe gede ketemu covid dlu jamannya blm ada swab jd harus ambil darah seminggu sekali sampe op lepas pen kaki mulai dari daftar-plg sendiri.",0,0,0,128,[],[],[],https://pbs.twimg.com/profile_images/1886299556931055616/sO3_xrCo_normal.jpg,https://x.com/blackcat19204/status/1864280985761927560,tweet_id:1864280985761927560
𝙆𝙖𝙨𝙨𝙞𝙙𝙞 𝙅𝙖𝙙𝙚 𝙎.,@ssyck0,2024-11-29T15:11:04.000Z,True,"typhus, dbd, keracunan, usus buntu (operasi) hernia (operasi), amandel (operasi)",0,0,0,483,[],[],[],https://pbs.twimg.com/profile_images/1905839628428656640/iC3Fr30I_normal.jpg,https://x.com/ssyck0/status/1862514622869512386,tweet_id:1862514622869512386
𝖕𝖗𝖆𝖉𝖎𝖕𝖙𝖆 𝖓𝖚𝖌𝖗𝖆𝖍𝖆𝖓𝖙𝖔,@prdptngrhnt,2024-11-27T03:15:05.000Z,False,"Urang sepanjang 2023 kitu tah. Berawql dari typhus & DBD, berakhir soul therapy. Edan nyak sakitu pangaruhna ",0,0,0,25,[],[],['\\U0001f60c'],https://pbs.twimg.com/profile_images/1927782914307280897/dzQF5gpP_normal.jpg,https://x.com/prdptngrhnt/status/1861609662237548884,tweet_id:1861609662237548884
Cinta,@oiicantikna,2024-10-22T13:13:38.000Z,False,kmrn lengah dikit dbd skrg lengah dikit typhus ,5,1,0,399,[],[],['\\U0001f614'],https://pbs.twimg.com/profile_images/1882835783402582016/-Z8tNe1r_normal.jpg,https://x.com/oiicantikna/status/1848714330323448280,tweet_id:1848714330323448280
,@preciousnajae_,2024-10-04T13:07:40.000Z,False,dbd + typhus...,0,0,0,19,[],[],[],https://pbs.twimg.com/profile_images/1853791191323856896/zM82PSb7_normal.jpg,https://x.com/preciousnajae_/status/1842189846468759555,tweet_id:1842189846468759555
Pam.,@pamelaingrida,2024-08-31T22:37:27.000Z,False,"Dudu bindeng meneh ding, budeg kuping kiri di curigai temanku sepermusikan dari jaman SMA kalau aku Tinnitus.

Opo meneh iki, winganane doktere meden-medeni aku kudu cek darah tiap seminggu sekali takutnya DBD & typhus. 

Grown up ini melelahkan Wis mbuh aku arep sambat ",1,0,0,233,[],[],"['\\U0001f972', '\\U0001f614']",https://pbs.twimg.com/profile_images/1842363259942494208/NPz2z2ZE_normal.jpg,https://x.com/pamelaingrida/status/1830012051491815595,tweet_id:1830012051491815595
Farrel Tomasowa,@zongaja,2024-08-12T02:18:40.000Z,False,"2003 DBD+Typhus hampir seminggu lebih, baru berasa fitnya 3bln ",0,0,0,18,[],[],['\\U0001f605'],https://pbs.twimg.com/profile_images/1017785020/IMG_0172_normal.JPG,https://x.com/zongaja/status/1822819965403316281,tweet_id:1822819965403316281
,@cloudwiy,2024-08-11T23:30:06.000Z,False,pas smp karena dbd sama gejala typhus,0,0,0,25,[],[],[],https://pbs.twimg.com/profile_images/1825278491627225088/Qmk9eYbG_normal.jpg,https://x.com/cloudwiy/status/1822777543180886187,tweet_id:1822777543180886187
Meridian Firmansyah,@iannfirman,2024-08-11T11:10:02.000Z,False,Maret 2024.DBD & typhus,0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1902886259267342339/JnXoIMG-_normal.jpg,https://x.com/iannfirman/status/1822591299624771698,tweet_id:1822591299624771698
uls (new vers.),@navyygurl,2024-08-11T10:11:26.000Z,False,Kelas 8 SMP sekitar tahun 2015/2016 deh kalo gak salah. Waktu itu dirawat di rs karena sakit typhus + DBD.,0,0,0,15,[],[],[],https://pbs.twimg.com/profile_images/1505008127795953665/MjRDudGC_normal.jpg,https://x.com/navyygurl/status/1822576550040236155,tweet_id:1822576550040236155
Susy Saputra,@ya2k,2024-08-11T06:28:48.000Z,False,"Jaman masih kerja di Bali tahun 2000, sakit DBD plus typhus",0,0,0,347,[],[],[],https://pbs.twimg.com/profile_images/1726083818308943872/bSE7aBNm_normal.jpg,https://x.com/ya2k/status/1822520525140500539,tweet_id:1822520525140500539
igna,@nyangnyanggz,2024-08-03T03:59:21.000Z,False,"Saking unstoppable nya aku pas masa sd-smp, sampe yg bisa bikin aku ""stop"" cuma typhus sama dbd. Dan seiring bertumbuhnya aku juga kena asam lambung. Gabisa bayangin kalau sampe skrg aku ga kena semua penyakit itu.... apa aku udah ikut coc dan iisma ya .apaan",1,0,0,107,[],[],[],https://pbs.twimg.com/profile_images/1916460518707232768/a3uJNxvu_normal.jpg,https://x.com/nyangnyanggz/status/1819583810906055051,tweet_id:1819583810906055051
Ratu,@syugasyub,2024-07-23T08:00:40.000Z,True,kena typhus + dbd + infeksi darah barengan,0,0,0,33,[],[],[],https://pbs.twimg.com/profile_images/1272762725836312578/kBe3RW9r_normal.jpg,https://x.com/syugasyub/status/1815658275221942744,tweet_id:1815658275221942744
piupiu,@yujiramishu,2024-07-15T15:05:05.000Z,False,"Tahun paling kocak menurut aku 2021-2022 esp pas kelas 11. Beneran tiap akhir/libur semester sakit virus wkwk
- sem 1 awal covid
- sem 2 awal cacar
- sem 2 akhir typhus dbdLucu mulu tiap ngingetnya",0,0,0,28,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1806682797521936384/CSF7kTK9_normal.jpg,https://x.com/yujiramishu/status/1812865980722483496,tweet_id:1812865980722483496
mr. jones,@keebuu19,2024-06-02T12:28:36.000Z,False,coba cek darah ke lab... bisa jadi tanda2 typhus atau dbd atau virus...,0,0,0,15,[],[],[],https://pbs.twimg.com/profile_images/1356780209970814976/rzYHCDWx_normal.jpg,https://x.com/keebuu19/status/1797243922600857686,tweet_id:1797243922600857686
