Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Kodam Jaya/Jayakarta,@KodamJayakarta,2024-11-30T22:00:51.000Z,False,"Dalam rangka menciptakan lingkungan yang bersih dan asri sekaligus mencegah penyebaran penyakit Demam Berdarah Dengue (DBD), Babinsa Koramil 05/Bantar Gebang Kodim 0507/Bekasi bersama tiga pilar dan warga Kelurahan Mustikajaya menggelar kegiatan Karya Bakti.",0,0,1,84,[],[],[],https://pbs.twimg.com/profile_images/1746836896679108608/H3QBW30J_normal.jpg,https://x.com/KodamJayakarta/status/1862980137618452954,tweet_id:1862980137618452954
キキ,@okidookiooo,2024-11-30T18:21:17.000Z,False,"Normudal (diare), Paracetamol (demam sampe ga bisa bangun+puyeng baru gue minum), degirol (radang tenggorokan), ultraflu (biasanya gue minum kalo beneran flu aja), vit c (sehari sekali kalo sehat, 2 kali sehari kalo sakit), betadine (buat luka luar kalo kepentok smpe berdarah)",0,0,1,367,[],[],[],https://pbs.twimg.com/profile_images/1903479961782263808/KwGp7L-E_normal.jpg,https://x.com/okidookiooo/status/1862924881295548615,tweet_id:1862924881295548615
ain't,@myhppylittlepil,2024-11-30T15:00:21.000Z,True,Wah bagus buat demam berdarah ya,0,0,0,24,[],[],[],https://pbs.twimg.com/profile_images/1783403305353498624/3OcBWvzp_normal.jpg,https://x.com/myhppylittlepil/status/1862874312853905479,tweet_id:1862874312853905479
HAN,@jhaniyoonn,2024-11-30T11:47:05.000Z,False,yg kalo kena demam berdarah hb nya turun drastis na,0,0,0,41,[],[],[],https://pbs.twimg.com/profile_images/1926855215996657664/ym5OQ5FA_normal.jpg,https://x.com/jhaniyoonn/status/1862825676614816200,tweet_id:1862825676614816200
Antara Bengkulu,@ANTARABengkulu,2024-11-30T11:26:17.000Z,False,"Pemerintah Kabupaten (Pemkab) Mukomuko, Provinsi Bengkulu, tahun ini menambah anggaran ""fogging"" atau pengasapan untuk mencegah penyebaran penyakit demam berdarah dengue (DBD) di daerah ini.",0,0,0,36,[],[],[],https://pbs.twimg.com/profile_images/435974546345041920/CGEO3n7r_normal.jpeg,https://x.com/ANTARABengkulu/status/1862820441414680887,tweet_id:1862820441414680887
Medan Insight,@medan_insight,2024-11-30T10:39:22.000Z,False,"Jokowi di Medan, Hadiri Kegiatan Pencegahan Demam Berdarah Dengue",0,0,0,25,[],[],[],https://pbs.twimg.com/profile_images/1915160120209924096/e6D6VroH_normal.jpg,https://x.com/medan_insight/status/1862808633140277607,tweet_id:1862808633140277607
r,@fishb0mbbb,2024-11-30T10:25:03.000Z,False,demam berdarah,0,0,0,44,[],[],[],https://pbs.twimg.com/profile_images/1858103489865682944/1WwQGX6J_normal.jpg,https://x.com/fishb0mbbb/status/1862805031889899992,tweet_id:1862805031889899992
Radar Madiun,@radarmadiunweb,2024-11-30T10:04:02.000Z,False,Waspadai penyakit demam berdarah dengue di Magetan. Dalam setahun ini angka kasusnya meningkat pesat di wilayah setempat.,0,0,0,46,[],[],[],https://pbs.twimg.com/profile_images/1792450260553596928/KSJEM6B5_normal.jpg,https://x.com/radarmadiunweb/status/1862799744789004333,tweet_id:1862799744789004333
pak dewa,@windewaoke,2024-11-30T05:54:35.000Z,False,Basmi demam berdarah bukan hanya bunuh nyamuk2nya.. tp jg berantas sarang nyamuknya. Kalau tutup2 situs tp bandar2nya aman rekening gendutnya aman ya sama jg boong..,0,0,0,22,[],[],[],https://pbs.twimg.com/profile_images/1820045342286696448/ixVkterx_normal.jpg,https://x.com/windewaoke/status/1862736968066769345,tweet_id:1862736968066769345
Media Indonesia,@mediaindonesia,2024-11-30T03:00:00.000Z,True,"Kasus demam berdarah dengue (DBD) di Kota Tasikmalaya, mengalami peningkatan sejak bulan Januari hingga November tercatat 1.652 orang lantaran jentik nyamuk tumbuh dewasa saat musim hujan",0,0,0,450,[],[],[],https://pbs.twimg.com/profile_images/1881952191126331392/jiRnunoW_normal.jpg,https://x.com/mediaindonesia/status/1862693032362942625,tweet_id:1862693032362942625
