Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Yiran.,@SFT00YIRAN,2024-06-25T02:08:03.000Z,False,"1. Demam BerdarahDemam berdarah atau dikenal pula dengan Demam Berdarah Dengue (DBD) terjadi karena infeksi virus Dengue. Virus ini memasuki tubuh melalui nyamuk Aedes aegypti dan Aedes albopictus.

Saat terpapar virus ini, biasanya akan muncul gejala berikut:",1,0,0,132,[],[],[],https://pbs.twimg.com/profile_images/1926663494822244352/oxw2h9WM_normal.png,https://x.com/SFT00YIRAN/status/1805422673046258057,tweet_id:1805422673046258057
Pemerintah Provinsi Banten,@banten_pemprov,2024-06-20T12:00:35.000Z,True,"Warga sedulur Banten, penting bagi kita untuk mengenali gejala/ tanda dari penyakit Demam Berdarah Dengue atau DBD. 

Dengan mengetahui gejalanya, maka akan lebih mudah dalam menyembuhkannya.",1,0,1,132,[],[],[],https://pbs.twimg.com/profile_images/1252510756114796544/hZqfAsg0_normal.jpg,https://x.com/banten_pemprov/status/1803759851652468811,tweet_id:1803759851652468811
Media Indonesia,@mediaindonesia,2024-06-20T08:07:34.000Z,True,"SEORANG dokter spesialis anak Hapsari, menyarankan penggunaan konsep KLMNOPR untuk mengenali gejala demam berdarah (DB) pada anak.",0,0,0,248,[],[],[],https://pbs.twimg.com/profile_images/1881952191126331392/jiRnunoW_normal.jpg,https://x.com/mediaindonesia/status/1803701212480737748,tweet_id:1803701212480737748
Sww Pww,@SwwPww86343,2024-06-13T12:01:56.000Z,False,"Selain demam, gejala lain dari demam berdarah dengue yaitu sakit kepala, terutama di sekitar dahi #tips #jagakesehatan #DBD #gejalaDBD | AXA Mandiri | #axamandiri ",0,0,0,94,"['#tips', '#jagakesehatan', '#DBD', '#gejalaDBD', '#axamandiri']",['@AXA_Mandiri'],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/SwwPww86343/status/1801223475379814766,tweet_id:1801223475379814766
Khumaira,@Khumairaaa28,2024-06-13T10:23:17.000Z,False,"Demam tinggi yang muncul secara mendadak bisa menjadi gejala awal dari demam berdarah yang perlu diwaspadai

AXA Mandiri #axamandiri AXA_Mandiri ",0,0,0,31,['#axamandiri'],['@AXA_Mandiri'],[],https://pbs.twimg.com/profile_images/1729518639966298113/bCVjp3yV_normal.jpg,https://x.com/Khumairaaa28/status/1801198649134964820,tweet_id:1801198649134964820
jemma,@ruxpawan,2024-06-13T09:50:14.000Z,False,DBD adalah salah satu penyakit yang berbahaya. Kenali gejala demam berdarah untuk dapat melakukan pengobatan dengan segera.  #axamandiri AXA Mandiri #EAHIL2024 #MotoGP,0,0,0,68,"['#axamandiri', '#EAHIL2024', '#MotoGP']",['@AXA_Mandiri'],[],https://pbs.twimg.com/profile_images/1729108094498832384/2hygHirO_normal.jpg,https://x.com/ruxpawan/status/1801190330940993845,tweet_id:1801190330940993845
Lika adinda,@LikaAdinda21588,2024-06-13T07:56:49.000Z,False,Nyeri pada otot dan sendi bisa jadi salah satu ciri dari gejala demam berdarah yang perlu diwaspadai.  #axamandiri AXA Mandiri #EAHIL2024 #MotoGP,0,0,0,61,"['#axamandiri', '#EAHIL2024', '#MotoGP']",['@AXA_Mandiri'],[],https://pbs.twimg.com/profile_images/1772490806508847104/JrJX0cLZ_normal.jpg,https://x.com/LikaAdinda21588/status/1801161789197185273,tweet_id:1801161789197185273
Lika adinda,@LikaAdinda21588,2024-06-13T07:38:18.000Z,False,Sakit kepala terutama di sekitar bagian dahi adalah salah satu gejala lain yang ditimbulkan akibat demam berdarah.  #axamandiri AXA Mandiri #EAHIL2024 #MotoGP,0,0,0,30,"['#axamandiri', '#EAHIL2024', '#MotoGP']",['@AXA_Mandiri'],[],https://pbs.twimg.com/profile_images/1772490806508847104/JrJX0cLZ_normal.jpg,https://x.com/LikaAdinda21588/status/1801157131053252806,tweet_id:1801157131053252806
Toaf,@Toaf290058,2024-06-13T07:35:56.000Z,False,Sesak nafas adalah salah satu fase gejala demam berdarah yang perlu segera ditangani untuk menghindari terjadinya dampak yang lebih buruk.  #axamandiri AXA Mandiri #EAHIL2024 #MotoGP,0,0,0,31,"['#axamandiri', '#EAHIL2024', '#MotoGP']",['@AXA_Mandiri'],[],https://pbs.twimg.com/profile_images/1772526515059847168/wSyUASxn_normal.jpg,https://x.com/Toaf290058/status/1801156534447349848,tweet_id:1801156534447349848
Halodoc Indonesia,@HalodocID,2024-06-11T12:44:35.000Z,True,"Turun berok berbahaya kalo telah berlanjut menjadi hernia strangulata (kerusakan jaringan pada organ karena terhambatnya aliran darah akibat terjepit di celah hernia) atau timbul gejala lain seperti nyeri parah, memar, kembung, sembelit, BAB berdarah, mual, muntah, dan demam ",3,11,10,1.1K,[],[],"['\\U0001f630', '\\U0001f974']",https://pbs.twimg.com/profile_images/892340629606285312/MprFP_se_normal.jpg,https://x.com/HalodocID/status/1800509434122416193,tweet_id:1800509434122416193
