Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Pemerintah Provinsi Banten,@banten_pemprov,2024-06-20T12:00:35.000Z,True,"Warga sedulur Banten, penting bagi kita untuk mengenali gejala/ tanda dari penyakit Demam Berdarah Dengue atau DBD. 

Dengan mengetahui gejalanya, maka akan lebih mudah dalam menyembuhkannya.",1,0,1,133,[],[],[],https://pbs.twimg.com/profile_images/1252510756114796544/hZqfAsg0_normal.jpg,https://x.com/banten_pemprov/status/1803759851652468811,tweet_id:1803759851652468811
medcom_id,@medcom_id,2024-06-19T22:00:01.000Z,True,"Pada pasien demam berdarah, beberapa orang akan mengalami timbul ruam di kulit mereka. Menurut dr. Ian Suryadi Sutej, M Med Sc, Sp.A, selaku Dokter Spesialis Anak, ini adalah salah satu tanda penyembuhan.#DBD #MedcomId",0,0,0,185,"['#DBD', '#MedcomId']",[],[],https://pbs.twimg.com/profile_images/1876925106825703424/PaeiZjal_normal.jpg,https://x.com/medcom_id/status/1803548314886906358,tweet_id:1803548314886906358
Nurdin,@Nurdinpriawan,2024-06-13T10:26:11.000Z,False,"Munculnya ruam merah di badan bisa menjadi tanda bahwa infeksi demam berdarah sedang berlangsung

AXA Mandiri #axamandiri AXA_Mandiri ",0,0,0,43,['#axamandiri'],['@AXA_Mandiri'],[],https://pbs.twimg.com/profile_images/1729533367706959872/VKRVez-__normal.jpg,https://x.com/Nurdinpriawan/status/1801199378058887573,tweet_id:1801199378058887573
Merliana,@Merlianti97,2024-06-13T10:25:29.000Z,False,Sesak napas yang dirasakan penderita bisa menjadi tanda komplikasi serius dari demam berdarahAXA Mandiri #axamandiri AXA_Mandiri ,0,0,0,28,['#axamandiri'],['@AXA_Mandiri'],[],https://pbs.twimg.com/profile_images/1729525418485796864/V2Rr8kuI_normal.jpg,https://x.com/Merlianti97/status/1801199205291286804,tweet_id:1801199205291286804
Mandira,@mandirafahmi,2024-06-13T10:24:00.000Z,False,"Nyeri hebat pada otot dan sendi, sering disebut ""breakbone fever,"" adalah salah satu tanda khas demam berdarahAXA Mandiri #axamandiri AXA_Mandiri ",0,0,0,31,['#axamandiri'],['@AXA_Mandiri'],[],https://pbs.twimg.com/profile_images/1729520680293830656/Ts0K2mwJ_normal.jpg,https://x.com/mandirafahmi/status/1801198829288804485,tweet_id:1801198829288804485
Dalia Ridzuan,@Daliakudo,2024-05-06T23:49:55.000Z,False,"Demam denggi mmg mcm ni. Demam dh kebah baru masok fasa bahaya (kritikal zone). Demam denggi teruk selalu progress at this stage. Segera dptkan rawatan jikalau ade tanda bahaya: kerap muntah, cirit, sakit perut, berdarah, unconscious.

Minum air banyakkkk. Make sure kencing kerap",0,0,0,167,[],[],[],https://pbs.twimg.com/profile_images/1670382061193166848/YJuFkaNR_normal.jpg,https://x.com/Daliakudo/status/1787630906829840487,tweet_id:1787630906829840487
PK3D Dinas Kesehatan DKI Jakarta,@pk3ddinkesdki,2024-04-30T16:58:30.000Z,False,"Hai sobat sehat Tahukah kamu, jika tidak ditangani sedini mungkin Demam Berdarah Dengue (DBD) dapat berujung komplikasi seperti kerusakan hati, jantung, hingga otak.

Yuk kenali tanda dan gejala DBD agar dapat dilakukan penanganan sedini mungkin ",1,0,0,321,[],[],"['\\U0001f44b', '\\U0001f917']",https://pbs.twimg.com/profile_images/1744943554563383296/wkXIvdGS_normal.jpg,https://x.com/pk3ddinkesdki/status/1785353045272146398,tweet_id:1785353045272146398
RSIA KARTIKA SURABAYA,@Rsiakartika_sby,2024-04-23T06:56:33.000Z,False,"Ketahui Tanda Sikecil Alami Demam Berdarah! Si kecil sedang demam?

Jangan panik! Mari kita kenali tanda-tanda demam berdarah pada anak agar kita bisa memberikan pertolongan yang tepat waktu. 

Kesehatan mereka adalah prioritas kita!#KesehatanAnak #Demam #DemamBerdarah",0,0,0,93,"['#KesehatanAnak', '#Demam', '#DemamBerdarah']",[],"['\\U0001f476', '\\U0001f321\\ufe0f']",https://pbs.twimg.com/profile_images/818274839060353025/ak-RGCzD_normal.jpg,https://x.com/Rsiakartika_sby/status/1782664841582592009,tweet_id:1782664841582592009
tempo.co,@tempodotco,2024-04-23T04:10:35.000Z,True,"Punya Gejala Mirip Tipus, Kenali Tanda Demam Berdarah Dengue https://gaya.tempo.co/read/1859631/punya-gejala-mirip-tipus-kenali-tanda-demam-berdarah-dengue?utm_source=Twitter&utm_medium=dlvr.it… #TempoGaya",0,0,3,944,['#TempoGaya'],[],[],https://pbs.twimg.com/profile_images/1895011381998424064/m0RPRhzr_normal.jpg,https://x.com/tempodotco/status/1782623074971685192,tweet_id:1782623074971685192
pjn_harapankita,@pjnharapankita,2024-04-22T06:49:37.000Z,False,"Dimusim penghujan, salahsatu penyakit yang banyak meningkat yaitu Demam Berdarah Dengue.

Yuk kenali tanda demam berdarah sebelum terlambat.

Peringatan Hari Demam Berdarah Nasional - 22 April 2024.#pjnharapankita #pjnhk #rsjpdhk #rsjpdharapankita #dbd #demamberdarahdengue",0,0,1,114,"['#pjnharapankita', '#pjnhk', '#rsjpdhk', '#rsjpdharapankita', '#dbd', '#demamberdarahdengue']",[],[],https://pbs.twimg.com/profile_images/1750033796467142656/gRMVzZjl_normal.jpg,https://x.com/pjnharapankita/status/1782300709754663177,tweet_id:1782300709754663177
RRI Banten,@RRIBanten,2024-04-21T13:32:43.000Z,False,#BantenMalamIni Tanda-tanda Peringatan Demam Berdarah Dengue yang Harus Disadarihttps://health.kompas.com/read/24D19160000368/tanda-tanda-peringatan-demam-berdarah-dengue-yang-harus-disadari?utm_source=Twitter&utm_medium=Referral&utm_campaign=Sticky_Desktop…,0,0,0,23,['#BantenMalamIni'],[],[],https://pbs.twimg.com/profile_images/1872065566535737344/f-zNWBYk_normal.jpg,https://x.com/RRIBanten/status/1782039766999105919,tweet_id:1782039766999105919
ochou londo,@RioOchou,2024-04-16T14:52:12.000Z,False,"Seper 6 milyar orang ysng mau mekakukan pekerjaan kotor dalam tanda kutip hasilnya lingkungan bersih, sehat jauh dr banjir & demam berdarah dibanding pekerjaan bersih dlm tanda kutif tp kotor dalam pendapatan dilingkungan wakil rakyat pemerintahan",0,0,2,461,[],[],[],https://pbs.twimg.com/profile_images/1758044594531692544/Gj2tC60-_normal.jpg,https://x.com/RioOchou/status/1780247827039576376,tweet_id:1780247827039576376
PROMO ESP VIRAL,@jomshaklee,2024-04-13T03:13:40.000Z,False,TANDA KEKURANGAN VITAMIN C  mudah naik jerawat ulser mulut gusi berdarah mudah demam/selsema kulit kusam http://wasap.my/60145314641/PromoVitaC…   ,0,2,1,128,[],"['@RTNiaga', '@JualBeliKuantan', '@KuantanInfo', '@KuantanOnline']","['\\U0001f34a', '\\u2705', '\\u2705', '\\u2705', '\\u2705', '\\u2705']",https://pbs.twimg.com/profile_images/1799281282939326464/4o3KAEQo_normal.jpg,https://x.com/jomshaklee/status/1778984872104820964,tweet_id:1778984872104820964
PROMO ESP VIRAL,@jomshaklee,2024-04-07T01:16:07.000Z,False,TANDA KEKURANGAN VITAMIN C  mudah naik jerawat ulser mulut gusi berdarah mudah demam/selsema kulit kusam http://wasap.my/60145314641/PromoVitaC…   ,0,2,1,190,[],"['@RTNiaga', '@JualBeliKuantan', '@KuantanInfo', '@KuantanOnline']","['\\U0001f34a', '\\u2705', '\\u2705', '\\u2705', '\\u2705', '\\u2705']",https://pbs.twimg.com/profile_images/1799281282939326464/4o3KAEQo_normal.jpg,https://x.com/jomshaklee/status/1776780965538611692,tweet_id:1776780965538611692
Idaf Husada,@rsiaidafhusada,2024-04-03T01:33:00.000Z,False,"Ketahui Tanda Sikecil Alami Demam Berdarah! Apakah si kecil terlihat lemah, lesu, atau mengalami demam tinggi yang tidak kunjung turun?

Ini bisa menjadi tanda-tanda awal demam berdarah!

Segera konsultasikan dengan dokter untuk diagnosis dan penanganan yang tepat! ",0,0,0,96,[],[],"['\\U0001fa7a', '\\U0001fa79', '\\U0001f489']",https://pbs.twimg.com/profile_images/1684376720500232192/X4saw9UI_normal.png,https://x.com/rsiaidafhusada/status/1775335660544458924,tweet_id:1775335660544458924
kriuuuk id,@Kriuuukid,2024-03-29T12:23:14.000Z,False,"DBD MENGINTAI, KENALI TANDA-TANDA SHOCK SYNDROMEDemam Berdarah Dengue (DBD) menjadi ancaman serius dengan hampir 16.000 kasus dan 124 kematian per 1 Maret 2024.",1,3,5,527,[],[],[],https://pbs.twimg.com/profile_images/1631172707164495872/R4qoZY_B_normal.jpg,https://x.com/Kriuuukid/status/1773687356781990139,tweet_id:1773687356781990139
TMI Hari ini,@TMIHARINI,2024-03-27T04:55:55.000Z,True,"Seperti diketahui, gejala umum demam berdarah yang patut diwaspadai adalah demam mendadak, sakit kepala, nyeri di belakang bola mata, mual dan muntah

Namun Anhar menyoroti bahwa mayoritas kasus DBD di Kota Bandung belakangan ini tidak menunjukkan tanda-tanda umum yang kerap",1,3,9,3.7K,[],[],[],https://pbs.twimg.com/profile_images/1680758956027957250/nJHBsB2J_normal.jpg,https://x.com/TMIHARINI/status/1772850014131564676,tweet_id:1772850014131564676
