Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
bah aan,@syafniir,2024-06-28T04:06:36.000Z,False,Gejala tifus...,1,0,1,31,[],[],[],https://pbs.twimg.com/profile_images/1805538654682857473/dHy4TmbN_normal.jpg,https://x.com/syafniir/status/1806539671666864630,tweet_id:1806539671666864630
Klinik lintas pantura,@Klinikpantura,2024-06-28T03:45:42.000Z,False,"Yuk kenali perbedaan gejala penyakit  DBD, Tifus, dan Campak",0,0,0,34,[],[],['\\U0001f917'],https://pbs.twimg.com/profile_images/1656470367802912769/0FXEHfRp_normal.jpg,https://x.com/Klinikpantura/status/1806534412630102494,tweet_id:1806534412630102494
,@pjwoomyboo,2024-06-26T20:13:19.000Z,False,"""Gejala tifus ya"" SUDAH KU DUGA",0,0,0,20,[],[],[],https://pbs.twimg.com/profile_images/1909515829601091584/lABsi4b6_normal.jpg,https://x.com/pjwoomyboo/status/1806058181174673832,tweet_id:1806058181174673832
Sania,@Twinhflame,2024-06-20T16:33:46.000Z,False,"Wkwkwk pernah dulu waktu gejala tifus kelas 5 SD. Rasanya badan tiba-tiba lemes aje gitu enteng dan juga jatohnya ga ngerasa apa2 krn sebelum jatoh mata gua udah merem kaya tidur aje gitu, bangun2 udah di IGD anjay langsung bisa makan jg untungnya walau dikit2",0,0,0,21,[],[],[],https://pbs.twimg.com/profile_images/1528197847031500802/KN3ls7Mw_normal.jpg,https://x.com/Twinhflame/status/1803828601244283161,tweet_id:1803828601244283161
Type R,@erderids,2024-06-15T13:32:09.000Z,False,"KAGA ADA!! WKWK dulu pernah foto keluarga buat tugas sekolah kakak gua kayanya, tapi posisinya gua lagi gejala tifus waktu SD, foto bareng dirumah dgn hasil muka gua yg lagi nangis karna lagi demam tinggi disuruh bangun buat foto anj jadi fotonya ga dipajang.",0,0,0,28,[],[],[],https://pbs.twimg.com/profile_images/1815606862211145728/9dblW-_h_normal.jpg,https://x.com/erderids/status/1801970956027707596,tweet_id:1801970956027707596
sagii,@hurtroadm,2024-06-14T03:18:37.000Z,False,drop karna gejala tifus atau tipes,0,0,0,37,[],[],[],https://pbs.twimg.com/profile_images/1912931456474873856/L20iidZ2_normal.jpg,https://x.com/hurtroadm/status/1801454166491205930,tweet_id:1801454166491205930
sagii,@hurtroadm,2024-06-12T13:14:47.000Z,False,"masih lah bro positip gejala tifus aja hari ini heheheheh, tadi diluar cuma buat berobat heheheh",0,0,0,22,[],[],[],https://pbs.twimg.com/profile_images/1912931456474873856/L20iidZ2_normal.jpg,https://x.com/hurtroadm/status/1800879422997942451,tweet_id:1800879422997942451
sagii,@hurtroadm,2024-06-12T09:26:23.000Z,False,yaak positip gejala tifus gengs ,2,0,0,332,[],[],['\\U0001f44c'],https://pbs.twimg.com/profile_images/1912931456474873856/L20iidZ2_normal.jpg,https://x.com/hurtroadm/status/1800821944847348039,tweet_id:1800821944847348039
Mandira,@mandirafahmi,2024-06-10T11:05:38.000Z,False,Jahe memiliki sifat anti-inflamasi yang dapat membantu meredakan peradangan dan gejala tifusAXA Mandiri #axamandiri AXA_Mandiri ,0,0,0,17,['#axamandiri'],['@AXA_Mandiri'],[],https://pbs.twimg.com/profile_images/1729520680293830656/Ts0K2mwJ_normal.jpg,https://x.com/mandirafahmi/status/1800122144267096122,tweet_id:1800122144267096122
zzay kusukaduit : kode referral bibit,@wonwoocactoes,2024-06-07T08:29:06.000Z,False,"Jujur iya, tahun lalu udah kena mental. Mana drop fisik sampe gejala tifus. Thx loker sales.",0,0,0,581,[],[],[],https://pbs.twimg.com/profile_images/1633709145416421377/CXNheojL_normal.jpg,https://x.com/wonwoocactoes/status/1798995587930697922,tweet_id:1798995587930697922
zea,@lunetteze,2024-06-05T23:14:46.000Z,False,"gejala awalnya panas, diagnosa keperawatannya nyeri akut terus diagnosa mendis nya tifus ",1,0,0,32,[],[],['\\U0001f605'],https://pbs.twimg.com/profile_images/1917114871407345664/NU1ZVtbG_normal.jpg,https://x.com/lunetteze/status/1798493699003052098,tweet_id:1798493699003052098
caaaa nugas,@caehyunfluff,2024-06-01T02:15:00.000Z,False,"Hai gais ak izin menghilang beberapa hari ini ak lagi tumbang huhu kemarin-kemarin kebanyakan aktivitas yang mengharuskan sampe malem, dan akhirnya gejala tifus, kalian sehat-sehat yaa, jangan keseringan begadang n skip meal mangats boost ht terus",0,0,0,58,[],[],"['\\U0001f625', '\\u261d\\U0001f3fb', '\\U0001f917', '\\U0001f497', '\\u2728']",https://pbs.twimg.com/profile_images/1787648808513617920/EGXaSYuA_normal.jpg,https://x.com/caehyunfluff/status/1796727115192438955,tweet_id:1796727115192438955
,@changbindut,2024-05-31T23:38:37.000Z,False,"ya allah di kantor gue.. gue dah sampe tes darah hasilnya gejala tifus, izin bed rest 3 hari dan ada surat dokter juga ttp di potong 300k  alaaahhhh apalagi gak ada kabar bisa kali lebih. 

kek tadinya gue pikir wajar, eh liat mfs ini merasaa.. BUDAK CORPORATE CORE",0,1,3,357,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1898761569854787584/tE7koZDF_normal.jpg,https://x.com/changbindut/status/1796687761891897357,tweet_id:1796687761891897357
,@johnsjaeby,2024-05-31T18:05:51.000Z,False,"seumur hidup baru kli ini dokter bilang ""ini gejala tifus""  katanya salah makan dan emg gw dpt catering gtu dr kantor tp emg agak absurd makanannya  tp gw mah selalu abisin makanan kecuali emg basi bgt krn gamau mubadzir, eh ini disuruh makan makanan rmh aja ",1,0,0,400,[],[],"['\\U0001f62d', '\\U0001f614', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1511551281101688837/0AkXUl5e_normal.png,https://x.com/johnsjaeby/status/1796604018481082435,tweet_id:1796604018481082435
Nope,@philonophi,2024-05-30T11:53:55.000Z,False,"Abis diare langsung demam pusing sakit tenggorokan, ternyata gejala tifus ",0,0,0,52,[],[],['\\U0001f643'],https://pbs.twimg.com/profile_images/1791772239739899904/ZAoQ7l4b_normal.jpg,https://x.com/philonophi/status/1796148028547420672,tweet_id:1796148028547420672
