Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Poliklinik Medi Ihsan,@pmediihsan,2024-06-28T03:35:34.000Z,False,"Anda demamMempunyai tanda tanda gejala demam denggi seperti berikut ??Demam panasSakit kepalaSakit tulang belakang / sendiLoya atau muntah muntahSakit biji mataRuam gatal
LAKUKAN UJIAN DARAH DI KLINIK KAMI DENGAN SEGERA",0,0,0,119,[],[],"['\\u2753', '\\u2753', '\\U0001f539', '\\U0001f539', '\\U0001f539', '\\U0001f539', '\\U0001f539', '\\U0001f539', '\\u2757\\ufe0f', '\\u2757\\ufe0f']",https://pbs.twimg.com/profile_images/1772192709316591616/O8AkHFid_normal.png,https://x.com/pmediihsan/status/1806531863512846523,tweet_id:1806531863512846523
han,@hansyuee,2024-06-27T17:35:35.000Z,False,knp stiap ke ui ak mengalami gejala sakit kepala dn mual yh,0,0,0,33,[],[],[],https://pbs.twimg.com/profile_images/1903078164101992449/uI1wyHdc_normal.jpg,https://x.com/hansyuee/status/1806380871978733671,tweet_id:1806380871978733671
clau,@twicehappypils,2024-06-27T13:08:37.000Z,False,Sakit kepala nonstop. Gampang ngantuk. Ini gw gejala apa sih,1,0,0,36,[],[],[],https://pbs.twimg.com/profile_images/1921570487991414784/UPRvvlsM_normal.jpg,https://x.com/twicehappypils/status/1806313689815076989,tweet_id:1806313689815076989
SinarHarian,@SinarOnline,2024-06-27T04:51:22.000Z,True,"Israel lapor kematian keempat akibat demam Nil Barat

Virus itu kebanyakannya disebarkan melalui gigitan nyamuk, biasanya menyebabkan gejala seperti selesema termasuk sakit kepala, demam, dan sakit otot.#SinarHarian #NilBarathttps://jom.sinar.la/4fem6pse",0,0,0,675,"['#SinarHarian', '#NilBarat']",[],[],https://pbs.twimg.com/profile_images/1329644126770405376/CaeC9yaL_normal.jpg,https://x.com/SinarOnline/status/1806188548779065638,tweet_id:1806188548779065638
Astro AWANI,@501Awani,2024-06-27T04:20:03.000Z,True,"Virus itu yang kebanyakannya disebarkan melalui gigitan nyamuk, biasanya menyebabkan gejala seperti selesema termasuk sakit kepala, demam, dan sakit otot.#AWANInews #AWANI745",0,1,4,3.7K,"['#AWANInews', '#AWANI745']",[],[],https://pbs.twimg.com/profile_images/1917532966584213504/D-r4EcT-_normal.jpg,https://x.com/501Awani/status/1806180671435805087,tweet_id:1806180671435805087
Setyo NZzzz,@setianopriagung,2024-06-26T21:38:31.000Z,False,"udah sebulan akhir ini ada gejala gangguan mata
belum sempet cek, tapi gejalanya sih mata minus 

capeee banget sumpaah, kepala sakit terus",0,0,0,19,[],[],[],https://pbs.twimg.com/profile_images/1701236243575484417/Lr36jqXu_normal.jpg,https://x.com/setianopriagung/status/1806079620997067242,tweet_id:1806079620997067242
Zayyyyy,@Go642Ara,2024-06-26T14:45:57.000Z,False,"Kepala pusing, perut sakit, badan selalu lemas, merasa malas, tidak bergairah melakukan segala aktivitas, gak bisa tidur. Ini gejala apa ya?",1,0,0,31,[],[],[],https://pbs.twimg.com/profile_images/1923621955590123520/3ezh6jGR_normal.jpg,https://x.com/Go642Ara/status/1805975795476885797,tweet_id:1805975795476885797
kalya,@ngambizz,2024-06-26T11:47:42.000Z,False,"gejala mau raportan itu; sakit kepala, mood swing, mual, lemes, loyo dst",3,0,0,146,[],[],[],https://pbs.twimg.com/profile_images/1876178722774208512/naJsh0hH_normal.jpg,https://x.com/ngambizz/status/1805930935357252052,tweet_id:1805930935357252052
HIMABIO FMIPA UNRI,@himabiofmipaur,2024-06-26T04:00:37.000Z,False,"infeksi serius yang disebabkan karena mengkonsumsi makanan yang terkontaminasi bakteri Listeria monocytogenes. Gejala yang dapat dirasakan oleh manusia adalah diare, sakit kepala, kejang, demam, dan nyeri otot. Listeria monocytogenes biasanya terdapat di tanah dan air. Hewan",1,0,0,44,[],[],[],https://pbs.twimg.com/profile_images/1920889853895491584/gH0jRcU3_normal.jpg,https://x.com/himabiofmipaur/status/1805813389316571428,tweet_id:1805813389316571428
SinarHarian,@SinarOnline,2024-06-26T02:40:43.000Z,True,"Denggi: Penduduk gusar, dua kematian dalam tempoh seminggu

Berdasarkan statistik minggu lalu, terdapat hampir 40 kes terkumpul direkodkan di kawasan RPT Pengkalan Pegoh dengan mangsa mengalami gejala seperti demam, sakit kepala dan lenguh badan.#SinarHarian #denggi",0,1,0,606,"['#SinarHarian', '#denggi']",[],[],https://pbs.twimg.com/profile_images/1329644126770405376/CaeC9yaL_normal.jpg,https://x.com/SinarOnline/status/1805793285711286576,tweet_id:1805793285711286576
