Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Zea,@BlbrrycheesJake,2024-06-29T23:46:36.000Z,False,Gue pernahnya gejala tipes tapi sampe sekarang masih aman aja makan pedes,0,0,0,59,[],[],[],https://pbs.twimg.com/profile_images/1923502599514292229/BAnIVcDW_normal.jpg,https://x.com/BlbrrycheesJake/status/1807199018701000949,tweet_id:1807199018701000949
Anyaak,@anyaneira,2024-06-29T20:55:21.000Z,False,"Komuk si bapak degdegan, mules, takut yaya opname krn katanya gejala tipes. Sampe mastiin di 2 rs",1,0,0,64,[],[],[],https://pbs.twimg.com/profile_images/1799372918859964416/dGqABWud_normal.jpg,https://x.com/anyaneira/status/1807155920633512336,tweet_id:1807155920633512336
fio,@leora_zoe,2024-06-29T16:59:37.000Z,True,"Jd inget dlu waktu ngerasain gejala tipes aja udh selemes itu, 3 hari dirawat trs Seninnya maksa masuk sekolah Karna presentasi. Alhasil pas presentasi gak bs full berdiri dikit2 jongkok. Untung gurunya gak merhatiin. Pas pulang jg g kuat jalan, untung jg ada yg mau nganterin",0,0,1,104,[],[],['\\U0001f972'],https://pbs.twimg.com/profile_images/1882580131220422656/AMUIOR05_normal.jpg,https://x.com/leora_zoe/status/1807096597559583105,tweet_id:1807096597559583105
Moyeees,@moyenice,2024-06-29T15:02:42.000Z,False,aku kemaren cuma gejala tipes aja ga makan pedes dulu selama sebulan nderr,0,0,0,255,[],[],"['\\U0001f62d', '\\U0001f62d', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1260145860358234113/3eCVA-M-_normal.jpg,https://x.com/moyenice/status/1807067174852546868,tweet_id:1807067174852546868
Diaz.itswin,@gudluck_win,2024-06-29T14:29:26.000Z,False,"Heh nder, gue yang cuma gejala tipes aja harus puasa pedes, asem, kopi, mie dll selama 6 bulan nah elu tipes baru seminggu sembuh dah nyari perkara, yang bener aje lu nder ",0,1,0,506,[],[],"['\\U0001faf5\\U0001f3fb', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1892096367679635460/xsLeEY1C_normal.jpg,https://x.com/gudluck_win/status/1807058801796755542,tweet_id:1807058801796755542
Naa,@nanamjoonie_,2024-06-29T14:14:33.000Z,False,"Aku sebulan menghindari makan pedes, asem, kopi. Itu aku padahal cuma gejala tipes, belum sampe tipes. Kamu please jaga makan dulu ya senderrrr minimal 1 bulan lah ",0,0,0,121,[],[],['\\U0001f613'],https://pbs.twimg.com/profile_images/1919414789769699328/jiiInCyj_normal.jpg,https://x.com/nanamjoonie_/status/1807055055973216620,tweet_id:1807055055973216620
minc,@minsi5kit,2024-06-29T13:59:09.000Z,False,nci sbnr.a lg gejala tipes yeye u.u,1,0,0,31,[],[],[],https://pbs.twimg.com/profile_images/1807245001522597888/8SVFZyWY_normal.jpg,https://x.com/minsi5kit/status/1807051180104974838,tweet_id:1807051180104974838
binaaaa,@hugeble,2024-06-29T04:14:03.000Z,False,tutor sembuh instan dari gejala tipes,3,0,1,340,[],[],[],https://pbs.twimg.com/profile_images/1766702815198752768/ZbFX1_zK_normal.jpg,https://x.com/hugeble/status/1806903935707353596,tweet_id:1806903935707353596
nad.,@rollscake,2024-06-29T03:03:31.000Z,False,"Gue waktu rumah dijual dan harus pindah ke kontrakan, gatau knp tapi gue sakitttt mulu semenjak di kontrakan. Dikit2 berobat, ada aja penyakitnya. Ya gejala dbd, gejala tipes, wasir, gerd akut, pendarahan, flu batuk demam, apaan aja dah kaga jelas",1,0,0,139,[],[],[],https://pbs.twimg.com/profile_images/1922289496273649665/iqyMSCM9_normal.jpg,https://x.com/rollscake/status/1806886185580851284,tweet_id:1806886185580851284
off,@dendengsapih,2024-06-29T03:02:50.000Z,False,Gue harap bukan gejala tipes,0,0,0,14,[],[],[],https://pbs.twimg.com/profile_images/1881014165361557504/2XsfzJOd_normal.jpg,https://x.com/dendengsapih/status/1806886012498628946,tweet_id:1806886012498628946
