Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
ara,@biumora,2024-06-30T13:19:51.000Z,False,"""gini dok, saya tiap sore sampe malem saya lemes gaada tenaga, ulu hati sakit nyeri, mual, sesek nafas, madep sana sini sakit""
""kamu ada mikirin apa""
bzier
""itu smua gejala asam lambung akut""
bzier
my mom:",0,0,0,18,[],[],"['\\U0001f612', '\\U0001f612', '\\U0001f612', '\\U0001f612']",https://pbs.twimg.com/profile_images/1752473585988648961/nW02sBmE_normal.jpg,https://x.com/biumora/status/1807403677768167545,tweet_id:1807403677768167545
(kpopers + wibu),@ujiaeridni,2024-06-30T02:52:39.000Z,False,Been feeling weird these past days alias kok gw klo bangun pagi pasti mual dan ini bener2 baru terjadi 3 harian krn sebelumnya ga pernah gini iseng gugel yg pertama muncul gejala gerd kek what the fuck,0,0,0,20,[],[],[],https://pbs.twimg.com/profile_images/1754066605599064064/N0WGPBZx_normal.png,https://x.com/ujiaeridni/status/1807245838865121501,tweet_id:1807245838865121501
rara,@aadiluc,2024-06-29T13:14:18.000Z,False,"sementara itu dispepsia fungsional adalah sekumpulan gejala yg sering kita tau dg istilah ""sakit maag"" (sebenernya maag is just dutch for lambung jd intinya y sakit lambung) dimana ada rasa ga nyaman di ulu hati, mual, muntah, penuh, panas, dsb. ini GAK selalu ORGANIK (mayoritas)",1,0,0,122,[],[],[],https://pbs.twimg.com/profile_images/1703061891994796032/3uHi3zRy_normal.jpg,https://x.com/aadiluc/status/1807039894159761615,tweet_id:1807039894159761615
chris,@1christyaji,2024-06-29T06:03:41.000Z,False,"Jika seseorang tanpa alat pelindung mumpuni, naik ke ketinggian secara cepat, sangat berisiko mengalami ""acute mountain sickness""...dengan gejala mulai yang ringan yakni mual, muntah, hingga sesak karena paru² edema (basah) & pingsan yang disebabkan pembengkakan otak..",0,0,0,108,[],[],[],https://pbs.twimg.com/profile_images/1620431838065090560/1AaXFy5H_normal.jpg,https://x.com/1christyaji/status/1806931525146931566,tweet_id:1806931525146931566
CRONG !!,@princesscarisaa,2024-06-28T16:39:32.000Z,False,"Gejala keracunan makanan basi yang paling umum adalah sakit perut, kram perut, demam, diare, mual, dan muntah. Gejala ini juga dapat muncul saat Anda mengonsumsi minuman yang terkontaminasi patogen, misalnya saat keracunan susu basi.",1,0,0,49,[],[],[],https://pbs.twimg.com/profile_images/1840322493296570368/Nq1T0V32_normal.jpg,https://x.com/princesscarisaa/status/1806729154953674979,tweet_id:1806729154953674979
kira,@psikobagiduo,2024-06-28T03:39:54.000Z,False,wow pusing mual muntah... gejala sebelum mettes kah ini,0,0,0,96,[],[],[],https://pbs.twimg.com/profile_images/1879694628573896704/HtQEiAo__normal.jpg,https://x.com/psikobagiduo/status/1806532953092313172,tweet_id:1806532953092313172
ian,@haerinugm,2024-06-27T18:46:46.000Z,False,"3. ischemic heart disease
dia ad plak arterosklerosis bkin pmbuluh drah mkin smpit, jd supply o2 kurang, butuhny mkin bnyak, bkin HR naikgejala: nyeri disertai dispnea, mual, brlgsg bbrp mnit biasany di leher, rahang, jntung

glongan obat anti iskemia
a. nitrat krja cpat >",1,0,0,148,[],[],[],https://pbs.twimg.com/profile_images/1785267651780239360/B1NsL166_normal.jpg,https://x.com/haerinugm/status/1806398784659955979,tweet_id:1806398784659955979
han,@hansyuee,2024-06-27T17:35:35.000Z,False,knp stiap ke ui ak mengalami gejala sakit kepala dn mual yh,0,0,0,34,[],[],[],https://pbs.twimg.com/profile_images/1903078164101992449/uI1wyHdc_normal.jpg,https://x.com/hansyuee/status/1806380871978733671,tweet_id:1806380871978733671
sya!,@istriode,2024-06-27T15:57:23.000Z,False,"PMS skr kenapa semua gejala muncul bjir, sakit badan, mual, kram, lemes, pusing HUHAHUHAH DOAIN GW KUAT",0,0,0,56,[],[],[],https://pbs.twimg.com/profile_images/1907423075056197632/8ndHvAJJ_normal.jpg,https://x.com/istriode/status/1806356159353491555,tweet_id:1806356159353491555
nev | bocil joki,@rindaij0ubu,2024-06-26T23:50:02.000Z,False,"buruan cek kak kalo demam 2 hari ga sembuh, kemarin aku sempet demam dan mual jg kata dokter seperti gejala db",1,0,1,412,[],[],[],https://pbs.twimg.com/profile_images/1792520264829505536/3WViBop7_normal.jpg,https://x.com/rindaij0ubu/status/1806112718702973142,tweet_id:1806112718702973142
IrelynBae,@pwettyiuvelvet,2024-06-26T12:16:09.000Z,False,"ya Allah ak merasa pusing, mual dan susah bernafas seperti gejala kemiskinan, tetapi sesungguhnya ini gejala jatuh cinta‍",0,0,0,92,[],[],"['\\U0001fae0', '\\U0001f642', '\\u2195']",https://pbs.twimg.com/profile_images/1920326584919023616/mEBIiq59_normal.jpg,https://x.com/pwettyiuvelvet/status/1805938097156485490,tweet_id:1805938097156485490
kalya,@ngambizz,2024-06-26T11:47:42.000Z,False,"gejala mau raportan itu; sakit kepala, mood swing, mual, lemes, loyo dst",3,0,0,147,[],[],[],https://pbs.twimg.com/profile_images/1876178722774208512/naJsh0hH_normal.jpg,https://x.com/ngambizz/status/1805930935357252052,tweet_id:1805930935357252052
CNN Indonesia Daily,@CNNIDdaily,2024-06-26T09:50:37.000Z,False,"Diduga mengalami keracunan nasi kotak, puluhan siswa SDN Gandasari, Desa Bojongmareme, Kabupaten Bandung Barat, dilarikan ke puskesmas pada Selasa sore. Sejumlah korban mengalami gejala yang sama, yaitu mual, muntah, hingga buang air besar. http://cnnindonesia.com/tv",0,0,0,280,[],[],[],https://pbs.twimg.com/profile_images/1036896306298478594/znKYHgGR_normal.jpg,https://x.com/CNNIDdaily/status/1805901472422588448,tweet_id:1805901472422588448
dubsie,@ciwikuat,2024-06-26T07:53:14.000Z,False,"ini gue knp si?
kmrn mual, skrg diare + gejala flu",0,0,0,65,[],[],[],https://pbs.twimg.com/profile_images/1432607850769960962/BIQ1cEYY_normal.jpg,https://x.com/ciwikuat/status/1805871929615585700,tweet_id:1805871929615585700
