Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
abas jakut,@polteckes,2024-06-30T15:39:34.000Z,False,"banyak nyamuk, pantesan temen gua pada kena dbd njir",6,0,0,189,[],[],[],https://pbs.twimg.com/profile_images/1897618000448221184/zfAluxEB_normal.jpg,https://x.com/polteckes/status/1807438839583220161,tweet_id:1807438839583220161
florry ࿐,@from_florryy,2024-06-30T12:25:19.000Z,False,"kena DBD hehee sekarang lagi recovery di rumah

Aamiin.. tengkyuu ~",1,0,1,13,[],[],['\\u2764\\ufe0f'],https://pbs.twimg.com/profile_images/1756617871873159169/CwsMDzS6_normal.jpg,https://x.com/from_florryy/status/1807389955829961144,tweet_id:1807389955829961144
makodik,@AbdulHa18771241,2024-06-30T06:37:33.000Z,False,"Maaf izin bertanya Bu dokter.ini di luar kontek Bu.
Di daerah sy Babelan Bekasi sedang marak wabah DBD apakah ada hubungannya dengan penyebaran nyamuk wolbachia.karna sebelumnya 2 bulan lalu sudah di adakan fogging.dan ini wabahnya banyak yg kena DBD ",1,1,1,112,[],[],"['\\U0001f64f', '\\U0001f64f', '\\U0001f64f', '\\U0001f64f']",https://pbs.twimg.com/profile_images/1879533116592914432/q9D4DrHx_normal.jpg,https://x.com/AbdulHa18771241/status/1807302437369438417,tweet_id:1807302437369438417
𝐀𝐧𝐧𝐚,@annabukanana,2024-06-30T02:39:51.000Z,False,Cek kening nya kena DBD kali,0,0,0,6,[],[],[],https://pbs.twimg.com/profile_images/1877761328389267456/5TenOiCI_normal.jpg,https://x.com/annabukanana/status/1807242617748623768,tweet_id:1807242617748623768
alcrnams,@evanch_,2024-06-29T19:56:22.000Z,True,"berani, gue kena tipes, periksa sendiri, di opname 2 hari, trus udah boleh balik, gue balik sendiri, sampe di diagnosa kena dbd wkwk
gue keseringan periksa sendiri sih nimbang ditemenin.",0,0,0,40,[],[],[],https://pbs.twimg.com/profile_images/1609508485607346179/WpV-h-6q_normal.jpg,https://x.com/evanch_/status/1807141078954570073,tweet_id:1807141078954570073
Road Warrior,@vanboio,2024-06-29T14:03:43.000Z,False,"Sekedar sharing: waktu anak saya 2 kali kena DBD, ibu saya juga kena DBD, anak dari teman2 saya juga kena DBD, Rebusan daun ubi jalar TERBUKTI sangat cepat menaikkan hb nya, cukup 2 kali minum 600 ml, lgsg naik normal dalam hitungan setengah hari. Boleh dicoba, in Syaa ALLAH.",1,0,1,57,[],[],[],https://pbs.twimg.com/profile_images/1913523076173803520/0bd1Gkjd_normal.jpg,https://x.com/vanboio/status/1807052329591660733,tweet_id:1807052329591660733
cing,@renatta_moeloek,2024-06-29T12:43:12.000Z,False,Ini kalo musim ujan bisa jd kena dbd dong ya. Runggut sekali,0,0,0,59,[],[],[],https://pbs.twimg.com/profile_images/1898350841377202176/uN8d-Vau_normal.jpg,https://x.com/renatta_moeloek/status/1807032066237997333,tweet_id:1807032066237997333
soang,@tsankies,2024-06-29T12:38:32.000Z,False,turns out kena dbd juga ,7,0,0,171,[],[],['\\U0001f972'],https://pbs.twimg.com/profile_images/1921196787492085760/So7HfLw2_normal.jpg,https://x.com/tsankies/status/1807030893967798386,tweet_id:1807030893967798386
ndeso,@pickndesotitik,2024-06-29T11:56:05.000Z,False,"Drumah sakit bang,,lgi kena DBD.",0,0,0,11,[],[],[],https://pbs.twimg.com/profile_images/1848395418255912960/oMDiLHcJ_normal.jpg,https://x.com/pickndesotitik/status/1807020208911208450,tweet_id:1807020208911208450
kei,@krmxdsk,2024-06-29T04:32:23.000Z,False,"agenda hari ini nemenin saudara yang di rs, dia kena dbd. jadii jaga kesehatan yaa idan",1,0,0,24,[],[],[],https://pbs.twimg.com/profile_images/1798627034702450688/hocbGeqA_normal.jpg,https://x.com/krmxdsk/status/1806908548087238792,tweet_id:1806908548087238792
