Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
inggil,@pemeliharamimpi,2024-04-30T18:16:58.000Z,False,"Ngomongin soal BPJS baru ngerasain manfaatnya minggu lalu karna abis kena DBD & Tipes  

6 hari dirawat di kamar VVIP harusnya bayar 7 juta lebih, tapi karna pake BPJS cuma bayar 1.5 juta (aku kelas 1 tapi pas di RS minta naik kelas)",1,0,1,615,[],[],"['\\U0001f62d', '\\U0001f62b', '\\U0001f64c\\U0001f3fb']",https://pbs.twimg.com/profile_images/1925713142870384640/W8kIt_3f_normal.jpg,https://x.com/pemeliharamimpi/status/1785372789068931511,tweet_id:1785372789068931511
,@regwime,2024-04-30T16:43:55.000Z,False,"NANGIS KEJER 

kayaaa ""masa kelasnya jelek""
""Dikatain gua hiro""
""Udh capek2 bersihin plg sore malah digembok""

Mana kaga digubrish sm ortu, kek nghibur doang

Taunya benerkan kena dbd gara2 kelas gudang baru dah ortu komplain wakakakakakak",0,0,0,3,[],[],[],https://pbs.twimg.com/profile_images/1911758037221597184/YEBNkWRD_normal.jpg,https://x.com/regwime/status/1785349374253707597,tweet_id:1785349374253707597
yuuk/ k. ia,@yknsa02,2024-04-30T16:13:14.000Z,False,"iya tetangga anaknya masuk rumah sakit kena dbd, lehernya dibolongin buat saluran makannya gitu  kasian banget",1,0,0,20,[],[],['\\U0001f972'],https://pbs.twimg.com/profile_images/1838213498817654784/aIqo94np_normal.jpg,https://x.com/yknsa02/status/1785341653139829091,tweet_id:1785341653139829091
PastiNgibul,@PastiNgibul,2024-04-30T16:07:16.000Z,False,"anak sya disekitar wajah, lengan, kaki muncul bintik2 merah, dan kebiruan sprti habis kena benturan, sya bawa ke puskes, di cek lab darahnya, kata dokter umumnya, anak bapak bukan kena DBD, Lgsg sya rujuk ke RSUD fasilitas lab darah lebih lengkap",0,0,2,144,[],[],[],https://pbs.twimg.com/profile_images/1641384308677185546/97RAr12-_normal.jpg,https://x.com/PastiNgibul/status/1785340150555504700,tweet_id:1785340150555504700
𐙚,@cutejjareu,2024-04-30T14:39:04.000Z,False,"Stay safe ya gais.. skrg lgi musim DBD, pokonya kalo ngerasa badan ga enak langsung periksa yh

Tadi siang dpet kabar duka kakak kelas adekku meninggal gara² DBD katanya nyerang smpe pendarahan di otak
Trus barusan dpet kabar adek tingkatku kena juga hikss",1,0,2,185,[],[],[],https://pbs.twimg.com/profile_images/1826487288010072064/tUx-z87z_normal.jpg,https://x.com/cutejjareu/status/1785317955183710675,tweet_id:1785317955183710675
Kang Maxim,@mrballamin123,2024-04-30T11:55:45.000Z,False,"Sy ada pengalaman dlu sepupu saat balita kena gejala dbd, awalnya panas tinggi, perawatan dirumah, alhasil pendarahan pada telinga,kadar trombosit saingan minim. akhirnya di opname.. Alhamdulillah sembuh..",1,0,0,238,[],[],[],https://pbs.twimg.com/profile_images/1746000568139886592/3MZnwYk8_normal.jpg,https://x.com/mrballamin123/status/1785276853554717156,tweet_id:1785276853554717156
Ovi Veve,@OviPipi,2024-04-30T11:34:35.000Z,False,"Pokoknya jangan kecapekan. Jangan forsir badan. Waktunya istirahat, istirahat. Waktunya tidur, tidur. Dulu aku kena DBD gara2 sembrono soal ini.",0,0,0,37,[],[],[],https://pbs.twimg.com/profile_images/1901873759788900352/ODqFlH5l_normal.jpg,https://x.com/OviPipi/status/1785271525819764902,tweet_id:1785271525819764902
hisdamnhowtpartner_,@RDeear44535,2024-04-30T10:56:31.000Z,False,"aku dulu pernah kena dbd. Trus minum pocari. Tapi saran temen2 disini bilang, fufang bisa dicoba",0,0,0,158,[],[],[],https://pbs.twimg.com/profile_images/1928836663184338946/07B1R0Dh_normal.jpg,https://x.com/RDeear44535/status/1785261947749064816,tweet_id:1785261947749064816
SUROBOYOFESS,@sbyfess,2024-04-30T10:17:14.000Z,True,"-rek kan ini musim banyak yg kena DBD. Selain jaga kebersihan lingkungan ada langkah lain gak sih biar sampe ga kena DBD, misalkan jaga kesehatan tuh hrs yg seperti apa?",4,0,3,893,[],[],[],https://pbs.twimg.com/profile_images/1610997611762446336/d7Xxzlc4_normal.jpg,https://x.com/sbyfess/status/1785252059757019370,tweet_id:1785252059757019370
rayn,@rayinalex,2024-04-30T10:12:59.000Z,False,"Nggak, tapi diperiksa aja buat jaga2. Panasnya udah berapa hari? Aku pernah kena dbd :"" feel free to ask",0,0,0,77,[],[],[],https://pbs.twimg.com/profile_images/1795838962386567169/py5Lmyui_normal.jpg,https://x.com/rayinalex/status/1785250991090303205,tweet_id:1785250991090303205
Haub Oggnam,@HaubAkalam,2024-04-30T09:30:52.000Z,True,"Bedanya dengan orang kena DBD apa ya?
Internal bleeding, low trombosit",0,0,0,158,[],[],[],https://pbs.twimg.com/profile_images/1893078098217766912/Tspb0BJ-_normal.jpg,https://x.com/HaubAkalam/status/1785240391505363075,tweet_id:1785240391505363075
mala,@bumburacikayam,2024-04-30T09:09:04.000Z,False,"Ndang budal rumah sakit, saudaraku dulu pernah kena dbd telat penanganan trs meninggal, gelo e sampe saiki",0,0,0,138,[],[],[],https://pbs.twimg.com/profile_images/1758671562130231296/pDDN3aY3_normal.jpg,https://x.com/bumburacikayam/status/1785234906966364465,tweet_id:1785234906966364465
𝐀𝐮𝐥,@itsnotyouraul,2024-04-30T08:52:22.000Z,False,"Dulu pas di opname, aku diresepin trolit dan itu ngaruh banget di aku. Ayahku juga sempat kena dbd juga tapi ga sampe di opname, minum trolit alhamdulillah 5 hari sudah ga panas dingin lagi.",0,0,0,86,[],[],[],https://pbs.twimg.com/profile_images/1800708667538558976/dahaYAv1_normal.jpg,https://x.com/itsnotyouraul/status/1785230704659562887,tweet_id:1785230704659562887
P. Ramlee Fans,@tabuhberbunyi,2024-04-30T07:56:55.000Z,False,"Berdasarkan pengalaman teman2ku yang pernah kena dbd: 
1. Minum propolis
2. Air Rebusan angkak
3. Kurma diambil sarinya(bikin sendiri, jangan beli jadi). 
4. Air rebusan cacing
5. Sari jambu merah (blender air dikit tanpa gula atau pake juicer)",2,1,2,1K,[],[],[],https://pbs.twimg.com/profile_images/1673611718902071297/YtoqWhL2_normal.jpg,https://x.com/tabuhberbunyi/status/1785216748809261170,tweet_id:1785216748809261170
Riz,@arizwan177,2024-04-30T07:15:36.000Z,False,Saya berhenti merokok udah mau 4 bulan dok... Gara2 di rawat pas kena dbd kemaren...sampai sekarang pas liat orang ngerokok rasanya pengen merokok lagi juga... Makanya saya kurangin dulu nongkrong ama temen-temen yang ngerokok... ,0,0,0,24,[],[],"['\\U0001f601', '\\U0001f601']",https://pbs.twimg.com/profile_images/1022390673146667008/yyUmYmNx_normal.jpg,https://x.com/arizwan177/status/1785206351448486124,tweet_id:1785206351448486124
Andriani Dhesy,@AndrianiDhesy09,2024-04-30T05:37:37.000Z,False," kenapa peraturan bpjs sekarang kena DBD harus trombosit dibawah 100??? Keburu sekarat baru bisa pake gitu??? Makin ngga masuk akal peraturannya..
Ngga guna banget..",1,0,0,63,[],['@BPJSKesehatanRI'],[],https://pbs.twimg.com/profile_images/1726222835121856513/xGM-mRjW_normal.png,https://x.com/AndrianiDhesy09/status/1785181694708080734,tweet_id:1785181694708080734
vestalisyyn,@vestalisyyn,2024-04-30T05:34:29.000Z,False,"Disekitar rumah, banyak banget anak-anak yang kena DBD. Evaluasi setiap hari, bahkan setiap seminggu sekali kita pantau lewat kader jumantik setempat, tapi masih juga kecolongan  pusing banget kalo udah banyak kasus gini ",0,0,1,88,[],[],"['\\U0001f62d', '\\U0001f972']",https://pbs.twimg.com/profile_images/1794352883007361024/hQa6y4ng_normal.jpg,https://x.com/vestalisyyn/status/1785180904140464235,tweet_id:1785180904140464235
of giifugn,@EkawahyuWi50420,2024-04-30T05:28:32.000Z,False,"Angkak china kak cobain, adekku kena dbd trombositnya 39.000 di kencengin minum itu 3 hari langsung normal",0,0,0,36,[],[],[],https://pbs.twimg.com/profile_images/1744987832954044416/mpz2T45s_normal.png,https://x.com/EkawahyuWi50420/status/1785179407784845693,tweet_id:1785179407784845693
Anak motor,@narwastuaset,2024-04-30T05:06:51.000Z,False,"Sari Kurma nder.. dulu tetangga/saudara nyaranin

Terus temenmu ini udah ranap kan nder?
Adekku dua kali kena gejala DBD dan selalu ngefek kepencernaannya. Gejalanya mirip tifus, tapi bedanya kalo DBD trombonya turun banyak sama kadang ada mimisannya.
Wajib ranap soalnya bahanya",0,0,0,196,[],[],[],https://pbs.twimg.com/profile_images/1265874553542029318/FtaS4Hwo_normal.jpg,https://x.com/narwastuaset/status/1785173951905501364,tweet_id:1785173951905501364
Alpuket,@avocadoesszz,2024-04-30T03:24:02.000Z,False,Parno banget takut kena dbd,0,0,0,133,[],[],[],https://pbs.twimg.com/profile_images/1855904821544620032/-N4BAPsD_normal.jpg,https://x.com/avocadoesszz/status/1785148076799524916,tweet_id:1785148076799524916
