Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Elsa,@wintermoonels,2024-03-31T15:34:25.000Z,False,"Dulu, pernah bbrp thn yl, pas ramadhan, w haid 7 hari, stlhnya w sakit DBD+types bedrest 14 hari.
Ramadhan 30 hari w bolongnya 21 hari  sungguh membagongkan Selesai lebaran w cicil senin sampe kamis puasa utk bayar hutang ",0,0,0,109,[],[],"['\\U0001f972', '\\U0001f494', '\\U0001f64f']",https://pbs.twimg.com/profile_images/1881576958338961408/GqBgG7Me_normal.jpg,https://x.com/wintermoonels/status/1774460248004473289,tweet_id:1774460248004473289
BlackCats Family,@kitblackit,2024-03-31T13:44:33.000Z,False,Yang pernah mabar dbd kah?,0,0,0,33,[],[],[],https://pbs.twimg.com/profile_images/1603996773734748160/jSROh2wJ_normal.jpg,https://x.com/kitblackit/status/1774432596514246840,tweet_id:1774432596514246840
nisaa,@ANSRMD,2024-03-31T02:38:47.000Z,False,"Ini apa konsepnya kerja-kerja-kerja- tipes, kerja-kerja-kerja-dbd, kok lagi banyak banget yang posting dua ini Aku masih trauma sama tipes dan dbd, pernah di rumah sakit hampir sebulan karena dua hal ini.

Sehat-sehat ya semuanya!!!!",5,0,2,782,[],[],['\\U0001fae3'],https://pbs.twimg.com/profile_images/1370211899967631361/20Nb10CH_normal.jpg,https://x.com/ANSRMD/status/1774265052792868871,tweet_id:1774265052792868871
FY ♔,@fynjung,2024-03-30T23:33:22.000Z,False,"Emang jd guru hrs merangkap banyak ya. Sosialisasi dbd jg hrs dr guru, pernah dpt sosialisasinya jg engga. Ngapain atuh cm butuh dokumentasi aja mah ga ngilangin nyamuknya.",0,0,0,8,[],[],[],https://pbs.twimg.com/profile_images/1856626925818744832/N-dC2uCt_normal.jpg,https://x.com/fynjung/status/1774218390611358155,tweet_id:1774218390611358155
vjev,@vejelav,2024-03-30T15:30:11.000Z,False,"Udah ya mih mami udah ga sakit, maaf belom bilang pas awal puasa jevon dirawat di rumah sakit krn dbd, akhirnya tidur bareng lagi ya mih di rumah mami yg dulu pernah nonton final Piala Dunia 2006 bareng jevon sampe tengah malem, sekarang mami istirahat ya Al-Fatihah ",1,0,6,661,[],[],['\\U0001f932\\U0001f3fd'],https://pbs.twimg.com/profile_images/1830637977133015040/E5XeDYZm_normal.jpg,https://x.com/vejelav/status/1774096794886226343,tweet_id:1774096794886226343
raaa,@miniematrix,2024-03-30T12:27:22.000Z,False,"Disini ada yg pernah kena dbd ga, ini emg klo abis dirawat tuh bakalan ttp pusing ya? Kepala aku masih pusing bgt knp coba",3,0,1,301,[],[],['\\U0001f61e'],https://pbs.twimg.com/profile_images/1815025440748363776/Nj8abZ64_normal.jpg,https://x.com/miniematrix/status/1774050787783778360,tweet_id:1774050787783778360
Sin,@ambissans,2024-03-30T12:01:52.000Z,False,Nderrr kamu ga takut tipes atau dbd kahhh inii??? Jujur belom pernah ke rs daerah sini,0,0,0,259,[],[],[],https://pbs.twimg.com/profile_images/1897260953500037120/v-fXfDCA_normal.jpg,https://x.com/ambissans/status/1774044368292450493,tweet_id:1774044368292450493
kapansih,@kapansih_7,2024-03-30T04:24:18.000Z,False,Indonesia bukan hanya darurat DBD tapi pendidikan dan kesehatan. Bagaimana kapitalisme hanya memberikan solusi berdasarkan keuntungan materi. Jelas tak pernah tuntas#IndonesiaSehatDenganIslam#IndonesiaDaruratDBD,0,0,0,12,"['#IndonesiaSehatDenganIslam', '#IndonesiaDaruratDBD']",[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/kapansih_7/status/1773929217866277299,tweet_id:1773929217866277299
kapansih,@kapansih_7,2024-03-30T04:21:06.000Z,False,"Penyakit DBD sebenarnya tidak pernah tuntas meski sementara. Karena di waktu tertentu memang minim kasus, dan akan melonjak pun pada waktu tertentu. Ini membuktikan bahwa negara belum bisa mengatasi masalah#IndonesiaSehatDenganIslam#IndonesiaDaruratDBD",0,0,0,7,"['#IndonesiaSehatDenganIslam', '#IndonesiaDaruratDBD']",[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/kapansih_7/status/1773928414086672560,tweet_id:1773928414086672560
Kucing Bajingan,@batugantenggg,2024-03-29T21:52:12.000Z,False,"Pernah ngalamin gejala dbd trombosit turun, minum rutin jus jambu.. alhamdullilah cepat pulih..",0,0,1,403,[],[],[],https://pbs.twimg.com/profile_images/1926329598452563968/4SkfaUe__normal.jpg,https://x.com/batugantenggg/status/1773830544096436592,tweet_id:1773830544096436592
Ndaa,@azzhuuraa_,2024-03-29T21:29:20.000Z,False,"Ada yg bisa, ada yg enggak, nder. Aku pernah kena dbd, selama semingguan gk main hp karna lemes & pusing, belum lagi ngerasain tangan nyeri karna diinfus. Jenguk aja klo khawatir, atau tanya ke temen/keluarganya",0,0,0,135,[],[],[],https://pbs.twimg.com/profile_images/1915347360525541378/U3Q4kDtc_normal.jpg,https://x.com/azzhuuraa_/status/1773824790476009878,tweet_id:1773824790476009878
acel.,@yeahdamnhell,2024-03-29T18:31:25.000Z,False,"gue pernah dbd + tipes emg lemes bgt kek gabisa ngapa ngapain angkat hape tuh pusing yg luar biasa trs lemes. bangun tidur gatau harus ngapain karna sakit bgt badan mau ke wc pun gue harus nyiapin tenaga, ngeliat cahaya dikit puyeng, mau tidur puyeng ga enak deh",0,0,0,99,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1279754774531829761/F8nBU91__normal.jpg,https://x.com/yeahdamnhell/status/1773780016905781740,tweet_id:1773780016905781740
yon,@opveail,2024-03-29T14:13:32.000Z,False,"Nder, waktu itu aku juga pernah kena dbd terus dirawat di rumah sakit 4 hari 3 malam. Itu bener2 ga main hp pliss, tapi waktu itu aku bukannya ga bisa, emang gamau buka hp aja. Pas udah sembuh, sampe rumah, baru aku cek wa dan sosmed lain.",0,0,3,247,[],[],[],https://pbs.twimg.com/profile_images/1778785665016287233/2tSPK3fL_normal.jpg,https://x.com/opveail/status/1773715118444232958,tweet_id:1773715118444232958
Tasya Syafitri (Acha),@tasyasyafitrii_,2024-03-29T13:07:45.000Z,False,"After sembuh dari DBD, akhir-akhir ini badan gampang banget kelelahan. Ngerjain pekerjaan rumah dikit, nafas langsung tersenggal-senggal.

Yang pernah terkena DBD pas sembuh ada yang mengalami hal sama tidak?",1,0,1,67,[],[],[],https://pbs.twimg.com/profile_images/1889245438269853696/Gc0ZtShg_normal.jpg,https://x.com/tasyasyafitrii_/status/1773698561823080460,tweet_id:1773698561823080460
