Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Persi Jatim,@PersiJatim,2023-03-31T08:41:28.000Z,False,"Halo Sobat PERSI..! Demam Berdarah Dengue adalah penyakit yang ditularkan oleh nyamuk yang terjadi di daerah tropis dan subtropis di dunia. Untuk demam berdarah ringan, maka ia akan menyebabkan demam tinggi dan gejala seperti flu..https://instagram.com/p/CqcmnVfSFpB/",0,0,0,68,[],[],[],https://pbs.twimg.com/profile_images/1553919118931554304/e8NSHqrZ_normal.jpg,https://x.com/PersiJatim/status/1641722364810657792,tweet_id:1641722364810657792
KKM Portal MyHealth,@MyHEALTHKKM,2023-03-30T03:17:42.000Z,True," Tuberkulosis menunjukkan beberapa gejala  yang perlu diberi perhatian seperti:

1) batuk melebihi 2 minggu
2) demam3) batuk berdarah",1,3,4,2.3K,[],[],['\\U0001fac1'],https://pbs.twimg.com/profile_images/1085425781675720704/VCbqJvvv_normal.jpg,https://x.com/MyHEALTHKKM/status/1641278499028881409,tweet_id:1641278499028881409
Kompas.com,@kompascom,2023-03-29T14:02:33.000Z,True,Kenali gejala virus marburg yang mirip DBD atau demam berdarah dengue. Penyakit ini perlu diwaspadai karena tingkat kematiannya sampai 88 persen. http://dlvr.it/SlgMk5,0,2,1,3.7K,[],[],[],https://pbs.twimg.com/profile_images/1577144849437888514/d9x3nKN8_normal.jpg,https://x.com/kompascom/status/1641078391767171074,tweet_id:1641078391767171074
Kementerian Kesehatan RI,@KemenkesRI,2023-03-29T08:34:21.000Z,True,"Virus Marburg memiliki masa inkubasi sekitar 2-21 hari. Dengan gejala yang mirip dengan tifus dan demam berdarahPada tahap paling parah, pasien akan mengalami pendarahan di beberapa tempat dan tahap paling fatal meninggal.",13,12,16,10K,[],[],[],https://pbs.twimg.com/profile_images/1754511736122863616/yTnsuzzE_normal.jpg,https://x.com/KemenkesRI/status/1640995800938590208,tweet_id:1640995800938590208
Kompas.com,@kompascom,2023-03-29T08:11:03.000Z,True,"Kenali virus marburg, biang penyakit demam berdarah serius pada manusia. Simak juga asal usul virus marburg, gejala, sampai cara penularannya. http://dlvr.it/SlfSpv",1,1,3,2.8K,[],[],[],https://pbs.twimg.com/profile_images/1577144849437888514/d9x3nKN8_normal.jpg,https://x.com/kompascom/status/1640989936458539010,tweet_id:1640989936458539010
10,@RSzxsl4g27BwrAH,2023-03-28T17:41:57.000Z,False,"Demam Berdarah - Gejala, Penyebab, dan Pengobatan - Alodokter https://alodokter.com/demam-berdarah",0,0,0,22,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/RSzxsl4g27BwrAH/status/1640771217878839297,tweet_id:1640771217878839297
Pharmaniaga Berhad,@pharmaniaga_bhd,2023-03-28T07:40:24.000Z,False, Tanda-tanda/gejala-gejala TB yang patut anda tahu https://covid-19.moh.gov.my/semasa-kkm/2022/02/penyakit-tuberkulosis-tb-dan-covid-19…  Batuk melebihi 2 minggu  DemamBatuk berdarah  Susut berat badan Hilang selera,1,0,1,153,[],[],"['\\u26a0\\ufe0f', '\\u26a0\\ufe0f', '\\U0001f449', '\\U0001f449', '\\U0001f449', '\\U0001f449', '\\U0001f449']",https://pbs.twimg.com/profile_images/1791294606275153920/aGZPwqYm_normal.jpg,https://x.com/pharmaniaga_bhd/status/1640619834915569664,tweet_id:1640619834915569664
Shyntako,@shyntako,2023-03-27T02:55:00.000Z,False,"Tau gak sih, gejala demam berdarah yg parah tuh bisa menyebabkan pendarahan loh, tekanan darah turun tiba2 or bahkan kematian. Semua Lawan DBD #AwasDigigitNyamuk",1,0,0,87,['#AwasDigigitNyamuk'],[],[],https://pbs.twimg.com/profile_images/1406617330780557314/rpm3P8OE_normal.jpg,https://x.com/shyntako/status/1640185623352078337,tweet_id:1640185623352078337
Jiah Al Jafara,@jiahaljafara,2023-03-27T01:43:41.000Z,False,"Saat terkena Demam berdarah dengue, banyak yang kurang menyadari karena memang tidak mengalami tanda atau gejala infeksi

Semua Lawan DBD#AwasDigigitNyamuk",1,0,0,64,['#AwasDigigitNyamuk'],[],[],https://pbs.twimg.com/profile_images/953450748943122432/hsuwUoch_normal.jpg,https://x.com/jiahaljafara/status/1640167674964738050,tweet_id:1640167674964738050
Muthi Haura,@muthiiihauraa,2023-03-27T01:42:23.000Z,False,"Banyak orang tidak mengalami tanda atau gejala infeksi demam berdarah dengue. Ketika gejala benar-benar terjadi, mereka disalah artikan sebagai penyakit lain, seperti flu. Biasanya gejala akan muncul mulai empat hingga 10 hari setelah digigit.  Semua Lawan DBD #AwasDigigitNyamuk",1,0,1,65,['#AwasDigigitNyamuk'],[],[],https://pbs.twimg.com/profile_images/1691299251853422593/x3aaLxet_normal.jpg,https://x.com/muthiiihauraa/status/1640167349637742593,tweet_id:1640167349637742593
Pemilik Hatimu,@duniazie,2023-03-27T01:42:21.000Z,False,"Gejala awal demam berdarah dengue antara lain: demam tinggi mendadak berlangsung sepanjang hari, nyeri kepala, nyeri saat menggerakan bola mata dan nyeri punggung, kadang disertai adanya tanda-tanda perdarahan..#AwasDigigitNyamukSemua Lawan DBD",0,0,1,142,['#AwasDigigitNyamuk'],[],[],https://pbs.twimg.com/profile_images/1246385433392467968/8iM06d41_normal.jpg,https://x.com/duniazie/status/1640167341186252801,tweet_id:1640167341186252801
Imawan Anshari,@awanmalangit,2023-03-27T01:21:30.000Z,False,"Tapi, tanda dan gejala demam berdarah tersebut mungkin akan bervariasi pada setiap orang, tergantung pada tingkat keparahan serta fase DBD yang dilewatinya. Namun yg terpenting, langsung cek kesehatan bila merasa kondisi badan tidak sehat. #AwasDigigitNyamuk Semua Lawan DBD",1,0,0,47,['#AwasDigigitNyamuk'],[],[],https://pbs.twimg.com/profile_images/1334471739770695681/BTHjh20h_normal.jpg,https://x.com/awanmalangit/status/1640162091758923779,tweet_id:1640162091758923779
Muthi Haura,@muthiiihauraa,2023-03-27T01:16:07.000Z,False,"Untuk demam berdarah ringan, maka ia akan menyebabkan demam tinggi dan gejala seperti flu.

Semua Lawan DBD #AwasDigigitNyamuk",1,0,0,46,['#AwasDigigitNyamuk'],[],[],https://pbs.twimg.com/profile_images/1691299251853422593/x3aaLxet_normal.jpg,https://x.com/muthiiihauraa/status/1640160736860311554,tweet_id:1640160736860311554
Sidokkes Polres Bengkulu Utara,@SidokkesUtara,2023-03-26T03:29:54.000Z,False,"Mari kita ketahui apa itu Demam berdarah,gejala dan cara pencegahannya ",0,0,0,48,[],[],['\\U0001f90d'],https://pbs.twimg.com/profile_images/1628220480426766336/jOtoTcOw_normal.png,https://x.com/SidokkesUtara/status/1639832018107392000,tweet_id:1639832018107392000
The Merdeka Times (TMT),@TheMerdekaTimes,2023-03-24T07:48:32.000Z,False,"“Bagi mengurangkan komplikasi kematian, individu yang mempunyai tanda dan gejala penyakit tibi seperti batuk yang berpanjangan melebihi dua minggu, demam, berpeluh pada waktu malam, kurang selera makan, susut berat badan dan batuk berdarah diminta menjalani pemeriksaan awal dan",1,0,0,117,[],[],[],https://pbs.twimg.com/profile_images/1543893155338014720/wRV5rkH1_normal.jpg,https://x.com/TheMerdekaTimes/status/1639172328620974083,tweet_id:1639172328620974083
Kosmo! Online,@kosmo_online,2023-03-24T01:59:11.000Z,False,"Antara gejala awal tibi termasuk batuk berpanjangan melebihi dua minggu, demam, berpeluh waktu malam, kurang selera makan, susut berat badan dan batuk berdarah.",0,2,2,749,[],[],[],https://pbs.twimg.com/profile_images/1787364379744481280/jrzyqs7J_normal.jpg,https://x.com/kosmo_online/status/1639084413991686145,tweet_id:1639084413991686145
"FITRI YANTI SUFRI, S.H., M.Kn.",@fitrisufri,2023-03-18T14:40:58.000Z,False,Aku terakhir kali dirawat di rs gejala demam berdarah,1,0,0,205,[],[],[],https://pbs.twimg.com/profile_images/1927758878298804224/Ld0EqYJd_normal.jpg,https://x.com/fitrisufri/status/1637101794005504001,tweet_id:1637101794005504001
𝐓𝐇𝐔𝐍𝐃𝐄𝐑𝐁𝐎𝐋𝐓 (lagi hiatus),@THUNDER8BOLT,2023-03-18T13:48:32.000Z,False,"7. gejala yang ditimbulkan demam berdarah?

Jawab mulai 20:49 sampai 20:53",1,4,0,256,[],[],[],https://pbs.twimg.com/profile_images/1705931147153391616/MPbUvTRE_normal.jpg,https://x.com/THUNDER8BOLT/status/1637088599857565696,tweet_id:1637088599857565696
Lapascurup,@CurupHumas,2023-03-13T12:49:19.000Z,False,"dan edukasi serta mendeteksi dini gejala penyakit yang timbul akibat cuaca yang berubah-ubah seperti flu, batuk, pilek, penyakit kulit, penyakit demam berdarah dan lain sebagainya sehingga dapat diberikan penanganan yang cepat dan tepat.

HUMAS",0,0,0,71,[],[],[],https://pbs.twimg.com/profile_images/1901231326633787392/9fjoYxZY_normal.jpg,https://x.com/CurupHumas/status/1635261758297505794,tweet_id:1635261758297505794
Cassie_jk⁷,@Purpleyouzza,2023-03-10T13:02:39.000Z,False,Kaya gejala demam berdarah gk sih ini,0,0,0,272,[],[],[],https://pbs.twimg.com/profile_images/1839533452066250752/QRNRljpm_normal.jpg,https://x.com/Purpleyouzza/status/1634177951083425795,tweet_id:1634177951083425795
Xuelicious_,@Xuelicious,2023-03-09T03:56:01.000Z,False,"sampai di sg di checkup, sama klinik doang loh padahal, katanya udah ada gejala demam berdarah kok ga segera ke rs, terus pas dicek darah platelet udah kritis, kalau misal ada pendarahan bisa aja meninggal  lucu tapi nyata. Nginap disana 3 hari, sembuh.",1,0,1,137,[],[],['\\U0001fae0'],https://pbs.twimg.com/profile_images/1577342647102246912/rKG8cDPL_normal.jpg,https://x.com/Xuelicious/status/1633677995285311490,tweet_id:1633677995285311490
Ulfi Zulfiana,@ulfi_zulfiana,2023-03-09T02:10:09.000Z,False,"Ya Alloh ya Tuhanku kenapa nasibku begini  anakku kena gejala demam berdarah otomatis harus di rawat di RS., Mana ada uang buat rawat inap di RS akhirnya aq rawat di rumah aja tapi kan botol infusan harus bayar Kira2 abis berapa ya???",0,0,1,59,[],[],"['\\U0001f622', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f914', '\\U0001f622', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1504807794855538688/6FyYN8_M_normal.jpg,https://x.com/ulfi_zulfiana/status/1633651353435385857,tweet_id:1633651353435385857
Wyro⚈,@Ry_Odji,2023-03-07T13:52:01.000Z,False,"Tiati aja, gejala demam berdarah tuh mirip tipes yg tiba² sembuh trus drop lg, apa kebalik ya gw lupa",0,0,0,77,[],[],[],https://pbs.twimg.com/profile_images/1928008114927980544/2CDHD_81_normal.jpg,https://x.com/Ry_Odji/status/1633103211505565696,tweet_id:1633103211505565696
rsmitrabangsa,@rsmitrabangsa,2023-03-01T07:30:00.000Z,False,"Jika kamu mengalami gejala seperti: demam tinggi, sakit kepala, nyeri otot, mual dan muntah, bisa jadi kamu sedang mengalami gejala demam berdarah. 
Namun jangan khawatir segera konsultasikan ke Rumah Sakit Mitra Bangsa ya sobat..#demamberdarah#rsmitrabangsa#kemitraaja",0,0,0,174,"['#demamberdarah', '#rsmitrabangsa', '#kemitraaja']",[],[],https://pbs.twimg.com/profile_images/1081486263675379718/DxMbGrpo_normal.jpg,https://x.com/rsmitrabangsa/status/1630832744573063168,tweet_id:1630832744573063168
Cermati Indonesia,@cermati_ID,2023-02-28T11:56:12.000Z,False,"Gejala Demam Berdarah (DBD), Penyebab Penyakit DBD, Pertolongan Pertama, dan Pengobatannya http://dlvr.it/Sk72jM",0,0,0,134,[],[],[],https://pbs.twimg.com/profile_images/1589918522594906112/zDzUHRO0_normal.jpg,https://x.com/cermati_ID/status/1630537348596535297,tweet_id:1630537348596535297
Sukisno-352402,@sukisnokusuma,2023-02-27T07:21:19.000Z,False,Mendampingi pelaksanaan kegiatan Foging adanya gejala Demam berdarah di desa Bluluk kecamatan Bluluk,0,0,0,49,[],[],[],https://pbs.twimg.com/profile_images/1601866252645208070/P2Y57REm_normal.jpg,https://x.com/sukisnokusuma/status/1630105784783892480,tweet_id:1630105784783892480
tempo.co,@tempodotco,2023-02-23T22:02:34.000Z,True,"Demam Berdarah Dengue pada Anak: Penyebab, Gejala, dan Cara Mencegahnya https://cantika.com/read/1695251/demam-berdarah-dengue-pada-anak-penyebab-gejala-dan-cara-mencegahnya?utm_source=Twitter&utm_medium=dlvr.it… #TempoCantika",0,0,0,1.4K,['#TempoCantika'],[],[],https://pbs.twimg.com/profile_images/1895011381998424064/m0RPRhzr_normal.jpg,https://x.com/tempodotco/status/1628878007212576772,tweet_id:1628878007212576772
Roy Sparringa,@RoySparringa,2023-02-22T04:57:11.000Z,True,"Gejala Penyakit demam berdarah (Dengue), Zika dan Chikungunya sekilas mirip namun berbeda. Penting bagi dokter dan petugas kesehatan untuk mengenali gejala dan tanda peringatan infeksi ini. ",1,18,17,4.3K,[],['@blogdokter'],[],https://pbs.twimg.com/profile_images/1226017936386605056/_WAZJIq8_normal.jpg,https://x.com/RoySparringa/status/1628257573509148680,tweet_id:1628257573509148680
Official Account BuddyKu,@buddykuofficial,2023-02-19T13:00:02.000Z,False,"Penyakit Teuku Ryan Terungkap, Ria Ricis Sebut Gejala Demam Berdarah!https://buddyku.com/hiburan/02010d04343b4d278ed71d742378347c/penyakit-teuku-ryan-terungkap-ria-ricis-sebut-gejala-demam-berdarah…",0,0,0,27,[],[],[],https://pbs.twimg.com/profile_images/1590545967031660547/dWtmhzl7_normal.jpg,https://x.com/buddykuofficial/status/1627291921491316739,tweet_id:1627291921491316739
Humas Polsek Wates,@HumasPolsekWat1,2023-02-17T20:16:08.000Z,False,"Penyakit demam berdarah (DBD) dan malaria masih menjadi masalah kesehatan dan ancaman serius di sejumlah wilayah indonesia terutama saat musim hujan, mari kenali gejala nya dan segera lakukan langkah pencegahan nya.",0,2,5,285,[],[],[],https://pbs.twimg.com/profile_images/1379995014491561988/Mqmw12Od_normal.jpg,https://x.com/HumasPolsekWat1/status/1626676895801835520,tweet_id:1626676895801835520
Korbinmas Baharkam Polri,@KorbinmasPolri,2023-02-17T10:04:55.000Z,False,"Penyakit demam berdarah (DBD) dan malaria masih menjadi masalah kesehatan dan ancaman serius di sejumlah wilayah indonesia terutama saat musim hujan, mari kenali gejala nya dan segera lakukan langkah pencegahan nya. #SobatBinmas #cegahdbd #gejaladbd",0,0,11,273,"['#SobatBinmas', '#cegahdbd', '#gejaladbd']","['@ListyoSigitP', '@DivHumas_Polri']",[],https://pbs.twimg.com/profile_images/1531008129118670848/v7iBS_4V_normal.jpg,https://x.com/KorbinmasPolri/status/1626523077797621762,tweet_id:1626523077797621762
Media Indonesia,@mediaindonesia,2023-02-14T04:35:04.000Z,True,Jika gejala demam berdarah tidak segera ditangani akan mengakibatkan kondisi penyakit yang memburuk sehingga sama sekali tidak bisa disepelekan.  https://mediaindonesia.com/humaniora/558020/warga-dewasa-dianjutkan-vaksinasi-demam-berdarah…,0,0,0,200,[],[],[],https://pbs.twimg.com/profile_images/1881952191126331392/jiRnunoW_normal.jpg,https://x.com/mediaindonesia/status/1625352905036533761,tweet_id:1625352905036533761
SehatQ ID,@sehatq,2023-02-14T03:00:00.000Z,False,"Penyakit demam berdarah dengue (DBD) terjadi akibat gigitan nyamuk aedes aegypti. Siapa pun bisa terkena penyakit ini, termasuk bayi. Gejala DBD pada bayi terkadang lebih sulit dikenali karena mereka belum bisa mengutarakan keluhannya.#bayihttps://sehatq.com/artikel/gejala-dbd-pada-bayi…",1,7,3,260,['#bayi'],[],[],https://pbs.twimg.com/profile_images/1511250248987181058/jdtjJS0i_normal.jpg,https://x.com/sehatq/status/1625328978465796096,tweet_id:1625328978465796096
medcom_id,@medcom_id,2023-02-05T19:15:00.000Z,True,Demam Berdarah Dengue (DBD) jadi ancaman masyarakat. Kenali gejala dan penyebab serta pengobatannya.#MedcomID https://medcom.id/pendidikan/news-pendidikan/Wb7zl70N-penyebab-dbd-gejala-dan-pengobatannya…,0,0,0,68,['#MedcomID'],[],[],https://pbs.twimg.com/profile_images/1876925106825703424/PaeiZjal_normal.jpg,https://x.com/medcom_id/status/1622312854090309632,tweet_id:1622312854090309632
medcom_id,@medcom_id,2023-02-05T07:15:00.000Z,True,Demam Berdarah Dengue (DBD) jadi ancaman masyarakat. Kenali gejala dan penyebab serta pengobatannya.#MedcomID https://medcom.id/pendidikan/news-pendidikan/Wb7zl70N-penyebab-dbd-gejala-dan-pengobatannya…,0,0,0,81,['#MedcomID'],[],[],https://pbs.twimg.com/profile_images/1876925106825703424/PaeiZjal_normal.jpg,https://x.com/medcom_id/status/1622131660140724225,tweet_id:1622131660140724225
Humas Polsek Wates,@HumasPolsekWat1,2023-02-17T20:16:08.000Z,False,"Penyakit demam berdarah (DBD) dan malaria masih menjadi masalah kesehatan dan ancaman serius di sejumlah wilayah indonesia terutama saat musim hujan, mari kenali gejala nya dan segera lakukan langkah pencegahan nya.",0,2,5,285,[],[],[],https://pbs.twimg.com/profile_images/1379995014491561988/Mqmw12Od_normal.jpg,https://x.com/HumasPolsekWat1/status/1626676895801835520,tweet_id:1626676895801835520
Sukisno-352402,@sukisnokusuma,2023-02-27T07:21:19.000Z,False,Mendampingi pelaksanaan kegiatan Foging adanya gejala Demam berdarah di desa Bluluk kecamatan Bluluk,0,0,0,49,[],[],[],https://pbs.twimg.com/profile_images/1601866252645208070/P2Y57REm_normal.jpg,https://x.com/sukisnokusuma/status/1630105784783892480,tweet_id:1630105784783892480
tempo.co,@tempodotco,2023-02-23T22:02:34.000Z,True,"Demam Berdarah Dengue pada Anak: Penyebab, Gejala, dan Cara Mencegahnya https://cantika.com/read/1695251/demam-berdarah-dengue-pada-anak-penyebab-gejala-dan-cara-mencegahnya?utm_source=Twitter&utm_medium=dlvr.it… #TempoCantika",0,0,0,1.4K,['#TempoCantika'],[],[],https://pbs.twimg.com/profile_images/1895011381998424064/m0RPRhzr_normal.jpg,https://x.com/tempodotco/status/1628878007212576772,tweet_id:1628878007212576772
Roy Sparringa,@RoySparringa,2023-02-22T04:57:11.000Z,True,"Gejala Penyakit demam berdarah (Dengue), Zika dan Chikungunya sekilas mirip namun berbeda. Penting bagi dokter dan petugas kesehatan untuk mengenali gejala dan tanda peringatan infeksi ini. ",1,18,17,4.3K,[],['@blogdokter'],[],https://pbs.twimg.com/profile_images/1226017936386605056/_WAZJIq8_normal.jpg,https://x.com/RoySparringa/status/1628257573509148680,tweet_id:1628257573509148680
Official Account BuddyKu,@buddykuofficial,2023-02-19T13:00:02.000Z,False,"Penyakit Teuku Ryan Terungkap, Ria Ricis Sebut Gejala Demam Berdarah!https://buddyku.com/hiburan/02010d04343b4d278ed71d742378347c/penyakit-teuku-ryan-terungkap-ria-ricis-sebut-gejala-demam-berdarah…",0,0,0,27,[],[],[],https://pbs.twimg.com/profile_images/1590545967031660547/dWtmhzl7_normal.jpg,https://x.com/buddykuofficial/status/1627291921491316739,tweet_id:1627291921491316739
Cermati Indonesia,@cermati_ID,2023-02-28T11:56:12.000Z,False,"Gejala Demam Berdarah (DBD), Penyebab Penyakit DBD, Pertolongan Pertama, dan Pengobatannya http://dlvr.it/Sk72jM",0,0,0,134,[],[],[],https://pbs.twimg.com/profile_images/1589918522594906112/zDzUHRO0_normal.jpg,https://x.com/cermati_ID/status/1630537348596535297,tweet_id:1630537348596535297
Cassie_jk⁷,@Purpleyouzza,2023-03-10T13:02:39.000Z,False,Kaya gejala demam berdarah gk sih ini,0,0,0,272,[],[],[],https://pbs.twimg.com/profile_images/1839533452066250752/QRNRljpm_normal.jpg,https://x.com/Purpleyouzza/status/1634177951083425795,tweet_id:1634177951083425795
Xuelicious_,@Xuelicious,2023-03-09T03:56:01.000Z,False,"sampai di sg di checkup, sama klinik doang loh padahal, katanya udah ada gejala demam berdarah kok ga segera ke rs, terus pas dicek darah platelet udah kritis, kalau misal ada pendarahan bisa aja meninggal  lucu tapi nyata. Nginap disana 3 hari, sembuh.",1,0,1,137,[],[],['\\U0001fae0'],https://pbs.twimg.com/profile_images/1577342647102246912/rKG8cDPL_normal.jpg,https://x.com/Xuelicious/status/1633677995285311490,tweet_id:1633677995285311490
Ulfi Zulfiana,@ulfi_zulfiana,2023-03-09T02:10:09.000Z,False,"Ya Alloh ya Tuhanku kenapa nasibku begini  anakku kena gejala demam berdarah otomatis harus di rawat di RS., Mana ada uang buat rawat inap di RS akhirnya aq rawat di rumah aja tapi kan botol infusan harus bayar Kira2 abis berapa ya???",0,0,1,59,[],[],"['\\U0001f622', '\\U0001f62d', '\\U0001f62d', '\\U0001f62d', '\\U0001f914', '\\U0001f622', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1504807794855538688/6FyYN8_M_normal.jpg,https://x.com/ulfi_zulfiana/status/1633651353435385857,tweet_id:1633651353435385857
Wyro⚈,@Ry_Odji,2023-03-07T13:52:01.000Z,False,"Tiati aja, gejala demam berdarah tuh mirip tipes yg tiba² sembuh trus drop lg, apa kebalik ya gw lupa",0,0,0,77,[],[],[],https://pbs.twimg.com/profile_images/1928008114927980544/2CDHD_81_normal.jpg,https://x.com/Ry_Odji/status/1633103211505565696,tweet_id:1633103211505565696
rsmitrabangsa,@rsmitrabangsa,2023-03-01T07:30:00.000Z,False,"Jika kamu mengalami gejala seperti: demam tinggi, sakit kepala, nyeri otot, mual dan muntah, bisa jadi kamu sedang mengalami gejala demam berdarah. 
Namun jangan khawatir segera konsultasikan ke Rumah Sakit Mitra Bangsa ya sobat..#demamberdarah#rsmitrabangsa#kemitraaja",0,0,0,174,"['#demamberdarah', '#rsmitrabangsa', '#kemitraaja']",[],[],https://pbs.twimg.com/profile_images/1081486263675379718/DxMbGrpo_normal.jpg,https://x.com/rsmitrabangsa/status/1630832744573063168,tweet_id:1630832744573063168
Kosmo! Online,@kosmo_online,2023-03-24T01:59:11.000Z,False,"Antara gejala awal tibi termasuk batuk berpanjangan melebihi dua minggu, demam, berpeluh waktu malam, kurang selera makan, susut berat badan dan batuk berdarah.",0,2,2,749,[],[],[],https://pbs.twimg.com/profile_images/1787364379744481280/jrzyqs7J_normal.jpg,https://x.com/kosmo_online/status/1639084413991686145,tweet_id:1639084413991686145
"FITRI YANTI SUFRI, S.H., M.Kn.",@fitrisufri,2023-03-18T14:40:58.000Z,False,Aku terakhir kali dirawat di rs gejala demam berdarah,1,0,0,205,[],[],[],https://pbs.twimg.com/profile_images/1927758878298804224/Ld0EqYJd_normal.jpg,https://x.com/fitrisufri/status/1637101794005504001,tweet_id:1637101794005504001
𝐓𝐇𝐔𝐍𝐃𝐄𝐑𝐁𝐎𝐋𝐓 (lagi hiatus),@THUNDER8BOLT,2023-03-18T13:48:32.000Z,False,"7. gejala yang ditimbulkan demam berdarah?

Jawab mulai 20:49 sampai 20:53",1,4,0,256,[],[],[],https://pbs.twimg.com/profile_images/1705931147153391616/MPbUvTRE_normal.jpg,https://x.com/THUNDER8BOLT/status/1637088599857565696,tweet_id:1637088599857565696
Lapascurup,@CurupHumas,2023-03-13T12:49:19.000Z,False,"dan edukasi serta mendeteksi dini gejala penyakit yang timbul akibat cuaca yang berubah-ubah seperti flu, batuk, pilek, penyakit kulit, penyakit demam berdarah dan lain sebagainya sehingga dapat diberikan penanganan yang cepat dan tepat.

HUMAS",0,0,0,71,[],[],[],https://pbs.twimg.com/profile_images/1901231326633787392/9fjoYxZY_normal.jpg,https://x.com/CurupHumas/status/1635261758297505794,tweet_id:1635261758297505794
Sidokkes Polres Bengkulu Utara,@SidokkesUtara,2023-03-26T03:29:54.000Z,False,"Mari kita ketahui apa itu Demam berdarah,gejala dan cara pencegahannya ",0,0,0,48,[],[],['\\U0001f90d'],https://pbs.twimg.com/profile_images/1628220480426766336/jOtoTcOw_normal.png,https://x.com/SidokkesUtara/status/1639832018107392000,tweet_id:1639832018107392000
The Merdeka Times (TMT),@TheMerdekaTimes,2023-03-24T07:48:32.000Z,False,"“Bagi mengurangkan komplikasi kematian, individu yang mempunyai tanda dan gejala penyakit tibi seperti batuk yang berpanjangan melebihi dua minggu, demam, berpeluh pada waktu malam, kurang selera makan, susut berat badan dan batuk berdarah diminta menjalani pemeriksaan awal dan",1,0,0,117,[],[],[],https://pbs.twimg.com/profile_images/1543893155338014720/wRV5rkH1_normal.jpg,https://x.com/TheMerdekaTimes/status/1639172328620974083,tweet_id:1639172328620974083
Pemilik Hatimu,@duniazie,2023-03-27T01:42:21.000Z,False,"Gejala awal demam berdarah dengue antara lain: demam tinggi mendadak berlangsung sepanjang hari, nyeri kepala, nyeri saat menggerakan bola mata dan nyeri punggung, kadang disertai adanya tanda-tanda perdarahan..#AwasDigigitNyamukSemua Lawan DBD",0,0,1,142,['#AwasDigigitNyamuk'],[],[],https://pbs.twimg.com/profile_images/1246385433392467968/8iM06d41_normal.jpg,https://x.com/duniazie/status/1640167341186252801,tweet_id:1640167341186252801
Imawan Anshari,@awanmalangit,2023-03-27T01:21:30.000Z,False,"Tapi, tanda dan gejala demam berdarah tersebut mungkin akan bervariasi pada setiap orang, tergantung pada tingkat keparahan serta fase DBD yang dilewatinya. Namun yg terpenting, langsung cek kesehatan bila merasa kondisi badan tidak sehat. #AwasDigigitNyamuk Semua Lawan DBD",1,0,0,47,['#AwasDigigitNyamuk'],[],[],https://pbs.twimg.com/profile_images/1334471739770695681/BTHjh20h_normal.jpg,https://x.com/awanmalangit/status/1640162091758923779,tweet_id:1640162091758923779
Muthi Haura,@muthiiihauraa,2023-03-27T01:16:07.000Z,False,"Untuk demam berdarah ringan, maka ia akan menyebabkan demam tinggi dan gejala seperti flu.

Semua Lawan DBD #AwasDigigitNyamuk",1,0,0,46,['#AwasDigigitNyamuk'],[],[],https://pbs.twimg.com/profile_images/1691299251853422593/x3aaLxet_normal.jpg,https://x.com/muthiiihauraa/status/1640160736860311554,tweet_id:1640160736860311554
Shyntako,@shyntako,2023-03-27T02:55:00.000Z,False,"Tau gak sih, gejala demam berdarah yg parah tuh bisa menyebabkan pendarahan loh, tekanan darah turun tiba2 or bahkan kematian. Semua Lawan DBD #AwasDigigitNyamuk",1,0,0,87,['#AwasDigigitNyamuk'],[],[],https://pbs.twimg.com/profile_images/1406617330780557314/rpm3P8OE_normal.jpg,https://x.com/shyntako/status/1640185623352078337,tweet_id:1640185623352078337
Jiah Al Jafara,@jiahaljafara,2023-03-27T01:43:41.000Z,False,"Saat terkena Demam berdarah dengue, banyak yang kurang menyadari karena memang tidak mengalami tanda atau gejala infeksi

Semua Lawan DBD#AwasDigigitNyamuk",1,0,0,64,['#AwasDigigitNyamuk'],[],[],https://pbs.twimg.com/profile_images/953450748943122432/hsuwUoch_normal.jpg,https://x.com/jiahaljafara/status/1640167674964738050,tweet_id:1640167674964738050
Muthi Haura,@muthiiihauraa,2023-03-27T01:42:23.000Z,False,"Banyak orang tidak mengalami tanda atau gejala infeksi demam berdarah dengue. Ketika gejala benar-benar terjadi, mereka disalah artikan sebagai penyakit lain, seperti flu. Biasanya gejala akan muncul mulai empat hingga 10 hari setelah digigit.  Semua Lawan DBD #AwasDigigitNyamuk",1,0,1,65,['#AwasDigigitNyamuk'],[],[],https://pbs.twimg.com/profile_images/1691299251853422593/x3aaLxet_normal.jpg,https://x.com/muthiiihauraa/status/1640167349637742593,tweet_id:1640167349637742593
