Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Yuu,@Argoonautkun,2023-04-30T06:07:52.000Z,False,"Tipes?
Mending ke dokter, kalau sakit biasa minum obat pasti sembuh.
Pengalaman kemarin bgt, demam trus biasa minum panadol/obat demam pasti sembuh ini engga. Langsung ke dokter trus cek ternyata kena DBD. 
Lewat 1 hari ud ke isekai.  https://x.com/convomf/status/convomf/status/1652552140177707009…",0,0,0,156,[],[],['\\U0001f628'],https://pbs.twimg.com/profile_images/1744661769082314752/6hQCS7mt_normal.jpg,https://x.com/Argoonautkun/status/1652555348484698113,tweet_id:1652555348484698113
Wahyu Prasetya,@MrWahyuPrasetya,2023-04-30T03:39:10.000Z,False,"Tapi pas bapak sakit DBD (saya umur 8, kelas 4 SD), kami yg tinggal serumah harus tes darah. Ketahuan kalau goldar saya sama dgn bapak.
Muka juga ga jauh dari gabungan muka ibu & bapak.
Lama kelamaan, kulit saya juga mjdi lebih cerah sama seperti ibu (FYI, ibu keturunan Chinese).",0,0,0,132,[],[],[],https://pbs.twimg.com/profile_images/1751863713861353472/4lQ-jAoY_normal.jpg,https://x.com/MrWahyuPrasetya/status/1652517927713906688,tweet_id:1652517927713906688
Dhea,@dheawardani,2023-04-29T14:37:36.000Z,False,"Kayak aku waktu itu sakit DBD dan tifus harus dirawat, dihari yang sama kucingku juga sakit parasit darah (DBD nya kucing) dan dirawat juga. Pas aku sembuh boleh pulang, kucingku juga sembuh, jadi keluar RS aku langsung jemput kucingku yang abis dirawat juga",0,0,1,1.6K,[],[],"['\\U0001f602', '\\U0001f602']",https://pbs.twimg.com/profile_images/1882840233273851905/5gb3csyE_normal.jpg,https://x.com/dheawardani/status/1652321237878861824,tweet_id:1652321237878861824
C-Cat,@WYATB23,2023-04-29T08:18:46.000Z,False,"Merasa kurang itu baik nder , merasa ovt itu coba dikurangin nder... Saran coba cari learning objektif dari setiap case nder, sehari 1 aja, misal sakit dbd  l.o yg mesti ditau apa... Lm2 jd bs mangats",0,1,1,357,[],[],['\\U0001f44d'],https://pbs.twimg.com/profile_images/1743266335667458048/FeSJqie__normal.jpg,https://x.com/WYATB23/status/1652225900862410752,tweet_id:1652225900862410752
Margaux,@killiantology__,2023-04-27T14:59:37.000Z,False,Dulu bokap sempet sakit dbd abis itu langsung berenti ngerokok dengan ganti makan permen strepsills selama 2 sampe 3 tahun. Abis itu dapet kabar kalo gulanya tinggi akhirnya berenti makan permen.,0,0,0,58,[],[],[],https://pbs.twimg.com/profile_images/1844972646104170497/7mLnSZuy_normal.jpg,https://x.com/killiantology__/status/1651602002588340226,tweet_id:1651602002588340226
xoxowntrbear,@xoxowntrbear,2023-04-27T08:44:12.000Z,False,Cakep bgt bang . Bikinan disney kenapa floundernya kayak abis sakit tipes+dbd .,0,0,1,1.6K,[],[],[],https://pbs.twimg.com/profile_images/1431140245471252482/mjhmEwcI_normal.jpg,https://x.com/xoxowntrbear/status/1651507525802688513,tweet_id:1651507525802688513
𝗩𝗜𝗘𝗥𝗥𝗘 𝗖𝗢.,@VIERRECO,2023-04-27T04:35:54.000Z,False,"godain kite Id. Udah deh, pokoknya gue minta tolong, suruh anak-anak gue pulang. Bilang aje babenye sakit, mau sakit apa lu!?"" Tanti beralih pada Djalali agar bisa menentukan sakit pura-puranya.

""DBD dah.""
""Si Zoe dokter, yang pinter dikit nape? Dia tau ntu DBD lagi musim",1,0,0,190,[],[],[],https://pbs.twimg.com/profile_images/1800739640292577280/wGz4OTX__normal.jpg,https://x.com/VIERRECO/status/1651445038533218304,tweet_id:1651445038533218304
PKM KEBON JERUK,@pkm_kjeruk,2023-04-27T01:51:03.000Z,False,"terhadap Demam Berdarah Dengue (DBD) yang bisa dilakukan sebelum dibawa ke Rumah Sakit.. Apakah sobat mempunyai pengalaman tentang DBD?? Yuuk, tulis pengalaman mu di kolom komentar..

Tetap harus diingat ya, JANGAN LUPA melakukan Pemberantasan Sarang Nyamuk dan Jentik Seminggu",1,0,0,122,[],[],[],https://pbs.twimg.com/profile_images/672735942289960960/WshVMfaf_normal.png,https://x.com/pkm_kjeruk/status/1651403553670590465,tweet_id:1651403553670590465
𐙚 ISU ☆,@eeyoreliveinlhr,2023-04-26T18:44:47.000Z,False,kok gw pusing lg yah perasaan gw td udah smbuh bahkan td gw udh suuzon jgan jgan ini dokternya bilang gw dbd supaya gw bangkrut krna beli obat mahal doang tp kayanya gw beneran sakit deh ah benci bgt,0,0,0,53,[],[],[],https://pbs.twimg.com/profile_images/1820408607718203392/y5eqvbuA_normal.jpg,https://x.com/eeyoreliveinlhr/status/1651296281766268928,tweet_id:1651296281766268928
Cho,@choooooosen,2023-04-26T14:15:23.000Z,False,"Setelah dipikir dan evaluasi, life style yg ga baik dan padetnya jadwal jdi pengaruh terbesar sampe ktmu DBD. 

Dan ya akhirnya jdi sebuah pengahayatan, diingetkan ""gini loh rasanya badan yang sakit dan ga mampu ngelakuin apapun""",0,0,0,41,[],[],[],https://pbs.twimg.com/profile_images/1655746303073357824/apEmxmfV_normal.jpg,https://x.com/choooooosen/status/1651228482511183873,tweet_id:1651228482511183873
