No,Model_Type,Batch_Size,Max_Sequence_Length,Learning_Rate,Dropout,F1_Train,F1_Validation,Training_Time
51,cnn_lstm,16,77,3e-05,0.2,0.98,0.907,4.4
52,cnn_lstm,16,77,3e-05,0.3,0.943,0.896,2.63
53,cnn_lstm,16,128,2e-05,0.2,0.974,0.907,2.66
54,cnn_lstm,16,128,2e-05,0.3,0.97,0.926,3.47
55,cnn_lstm,16,128,3e-05,0.2,0.985,0.911,2.76
56,cnn_lstm,16,128,3e-05,0.3,0.977,0.919,3.15
57,cnn_lstm,32,77,2e-05,0.2,0.949,0.893,2.92
58,cnn_lstm,32,77,2e-05,0.3,0.945,0.893,2.65
59,cnn_lstm,32,77,3e-05,0.2,0.955,0.911,2.42
60,cnn_lstm,32,77,3e-05,0.3,0.953,0.903,2.51
