No,Model_Type,Batch_Size,Max_Sequence_Length,Learning_Rate,Dropout,F1_Train,F1_Validation,Training_Time
1,mlp,16,77,2e-05,0.2,0.925,0.844,2.59
2,mlp,16,77,2e-05,0.3,0.917,0.799,3.03
3,mlp,16,77,3e-05,0.2,0.947,0.879,3.23
4,mlp,16,77,3e-05,0.3,0.935,0.822,2.6
5,mlp,16,128,2e-05,0.2,0.937,0.857,1.98
6,mlp,16,128,2e-05,0.3,0.855,0.788,2.07
7,mlp,16,128,3e-05,0.2,0.947,0.856,1.79
8,mlp,16,128,3e-05,0.3,0.933,0.833,2.37
9,mlp,32,77,2e-05,0.2,0.922,0.8,1.92
10,mlp,32,77,2e-05,0.3,0.859,0.79,1.74
11,mlp,32,77,3e-05,0.2,0.947,0.834,2.16
12,mlp,32,77,3e-05,0.3,0.864,0.786,1.78
13,mlp,32,128,2e-05,0.2,0.925,0.846,2.13
14,mlp,32,128,2e-05,0.3,0.885,0.812,1.46
15,mlp,32,128,3e-05,0.2,0.945,0.834,1.31
16,mlp,32,128,3e-05,0.3,0.911,0.811,1.18
17,cnn,16,77,2e-05,0.2,0.99,0.856,1.85
18,cnn,16,77,2e-05,0.3,0.99,0.868,1.26
19,cnn,16,77,3e-05,0.2,0.984,0.9,1.09
20,cnn,16,77,3e-05,0.3,0.996,0.889,1.33
21,cnn,16,128,2e-05,0.2,0.99,0.867,2.39
22,cnn,16,128,2e-05,0.3,0.978,0.846,2.4
23,cnn,16,128,3e-05,0.2,0.998,0.878,2.48
24,cnn,16,128,3e-05,0.3,0.994,0.834,2.44
25,cnn,32,77,2e-05,0.2,0.958,0.844,2.57
26,cnn,32,77,2e-05,0.3,0.956,0.856,2.62
27,cnn,32,77,3e-05,0.2,0.986,0.854,2.78
28,cnn,32,77,3e-05,0.3,0.988,0.845,2.2
29,cnn,32,128,2e-05,0.2,0.953,0.834,2.19
30,cnn,32,128,2e-05,0.3,0.954,0.834,2.17
31,cnn,32,128,3e-05,0.2,0.978,0.844,2.1
32,cnn,32,128,3e-05,0.3,0.956,0.855,1.25
33,lstm,16,77,2e-05,0.2,0.943,0.857,1.26
34,lstm,16,77,2e-05,0.3,0.931,0.857,1.19
35,lstm,16,77,3e-05,0.2,0.954,0.868,1.42
36,lstm,16,77,3e-05,0.3,0.952,0.845,1.38
37,lstm,16,128,2e-05,0.2,0.943,0.868,1.18
38,lstm,16,128,2e-05,0.3,0.922,0.846,1.34
39,lstm,16,128,3e-05,0.2,0.942,0.868,1.18
40,lstm,16,128,3e-05,0.3,0.939,0.832,1.17
41,lstm,32,77,2e-05,0.2,0.893,0.846,3.61
42,lstm,32,77,2e-05,0.3,0.874,0.812,1.86
43,lstm,32,77,3e-05,0.2,0.927,0.855,1.64
44,lstm,32,77,3e-05,0.3,0.921,0.844,1.52
45,lstm,32,128,2e-05,0.2,0.897,0.834,1.5
46,lstm,32,128,2e-05,0.3,0.903,0.844,1.48
47,lstm,32,128,3e-05,0.2,0.927,0.845,1.36
48,lstm,32,128,3e-05,0.3,0.925,0.857,1.3
49,cnn_lstm,16,77,2e-05,0.2,0.947,0.865,1.31
50,cnn_lstm,16,77,2e-05,0.3,0.939,0.845,1.47
51,cnn_lstm,16,77,3e-05,0.2,0.943,0.913,2.81
52,cnn_lstm,16,77,3e-05,0.3,0.964,0.846,2.11
53,cnn_lstm,16,128,2e-05,0.2,0.943,0.846,1.58
54,cnn_lstm,16,128,2e-05,0.3,0.956,0.834,1.25
55,cnn_lstm,16,128,3e-05,0.2,0.964,0.867,1.36
56,cnn_lstm,16,128,3e-05,0.3,0.96,0.857,1.28
57,cnn_lstm,32,77,2e-05,0.2,0.897,0.821,1.01
58,cnn_lstm,32,77,2e-05,0.3,0.893,0.821,1.39
59,cnn_lstm,32,77,3e-05,0.2,0.94,0.832,0.95
60,cnn_lstm,32,77,3e-05,0.3,0.937,0.832,1.07
61,cnn_lstm,32,128,2e-05,0.2,0.907,0.856,1.78
62,cnn_lstm,32,128,2e-05,0.3,0.919,0.845,1.39
63,cnn_lstm,32,128,3e-05,0.2,0.925,0.856,1.86
64,cnn_lstm,32,128,3e-05,0.3,0.919,0.856,1.56
